sentence	author	title	allusion	variation_number	allusion_index	transformed_allusion
肃穆乌台上，雍容粉署中。	刘长卿	落第赠杨侍御兼拜员外仍充安大夫判官赴范阳	粉署	1	[[8, 9]]	
青玉紫骝鞍，骄多影屡盘。	沈佺期	紫骝马		0		
金门自有西来约，莫待萤光照竹扉。	刘沧	送友人下第东归	金门（扬雄）	1	[[0, 1]]	
人间不遣有名利，陌上始应无别离。	李昌符	送友人		0		
昔随刘越石，今日独归时。	耿湋	太原送许侍御出幕归东都	刘越石（刘琨）	1	[[2, 3, 4]]	
公时呵䝟貐，首唱却鲸鱼。	杜甫	秋日荆南送石首薛明府辞满告别奉寄薛尚书颂德叙怀斐然之作三十韵	鲸鲵（楚王）	1	[[9, 10]]	
阮瑀不能专笔砚，嵇康唯要乐琴尊。	李中	赠海上书记张济员外		0		
碧树环金谷，丹霞映上阳。	柳宗元	弘农公以硕德伟材屈于诬枉左官三岁复为大僚天监昭明人心感悦宗天窜伏湘浦拜贺末由谨献诗五十韵以毕微志	金谷（石崇）	1	[[3, 4]]	
栽成五柳吟归去，漉酒巾边伴菊闲。	汪遵	彭泽	漉酒（陶潜）	2	[[8, 9, 10]]	
静忆溪边宅，知君许谢公。	常衮	和考功员外杪秋忆终南旧宅之作	谢公（谢灵运）	1	[[9, 10]]	
二十空门元不著，一性如来体自同。	玄觉	永嘉證道歌		0		
近来能走马，不弱并州儿。	岑参	北庭西郊候封大夫受降回军献上		0		
花将人共笑，篱外露繁枝。	李商隐	高花		0		
章仇尚书倒屣迎，飞笺络绎奏明主。	李白	答杜秀才五松见赠	倒屣（王粲，蔡邕）	2	[[4, 5, 6]]	
愁尔一朝还到地，落在深泥谁复怜。	元稹	有鸟二十章 其七		0		
不暇陪八骏，虏庭悲所遣。	杜甫	八哀诗故秘书少监武功苏公源明	八骏（周穆王，西王母）	1	[[3, 4]]	
寄诗同心子，为我商声讴。	韩愈	驽骥	商歌（宁戚，齐桓公）	1	[[8, 9, 10]]	
众病婴公干，群忧集孝璋。	李端	宿荐福寺东池有怀故园因寄元校书	公干病（刘桢）	1	[[3, 4, 5]]	
幸入桃源因去世，方期丹诀一延年。	钱起	题嵩阳焦道士石壁	桃源（陶潜）	1	[[2, 3]]	
秾低似中陶潜酒，软极如伤宋玉风。	齐己	折杨柳词四首	大王风（宋玉，楚王）	1	[[12, 13, 14]]	
子玉和予去，应怜恨不穷。	周朴	春中途中寄南巴崔使君	子玉（崔瑗）	1	[[0, 1]]	
我昔孩提从我兄，我今衰白尔初成。	元稹	寒食日毛空路示侄晦及从简		0		
风尘三尺剑，社稷一戎衣。	杜甫	重经昭陵	一戎	2	[[8, 9, 10]]	
百发乌号遥碎柳，七尺龙文迥照莲。	骆宾王	从军中行路难二首之二	穿杨（养由基）	1	[[0, 1, 2]]	
少年学剑术，凌轹白猿公。	李白	结客少年场行	白猿	3	[[8, 9, 10]]	
老信相如渴，贫忧曼倩饥。	许浑	早秋三首之二	方朔（东方朔）	1	[[8, 9]]	
流觞想兰亭，捧剑传金人。	李适	三日书怀因示百僚	池上杯（司马炎，束皙）	1	[[9, 10, 11]]	
我虽在金台，头角长垂折。	杜牧	池州送孟迟先辈	金台	1	[[3, 4]]	
虚中始讶巨灵擘，陡处乍惊愚叟移。	林滋	望九华山	移山志（夸娥）	1	[[12, 13, 14]]	
伤鸟有弦惊不定，卧龙无水动应难。	白居易	得微之到官后书备知通州之事怅然有感因成四章	弦惊（魏加）	1	[[3, 4]]	
尔幸无羸角，何用触吾藩。	杨收	嘲吴人观者	触藩	1	[[8, 9]]	
绣衣柱史何昂藏，铁冠白笔横秋霜。	李白	赠潘侍御论钱少阳	铁冠	1	[[8, 9]]	
吴楚弄兵无剧孟，亚夫咍尔为徒劳。	李白	梁甫吟	剧孟	1	[[5, 6]]	
白酒杯中聊一歌，苍蝇苍蝇奈尔何。	高适	行路难	青蝇	1	[[8, 9]]	
弃繻怀远志，封泥负壮情。	李世民	入潼关	一丸（王元，隗嚣）	1	[[6, 7]]	
有莼有鱼，君子居焉。	萧颖士	江有枫一篇十章	鲈鱼（张翰）	1	[[3, 4]]	
终年常避喧，师事五千言。	秦系	山中赠张正则评事	五千言	1	[[8, 9, 10]]	
将必继管萧，岂惟蹑应徐。	陆长源	酬孟十二新居见寄	应徐	1	[[9, 10]]	
击革摐金燧牛尾，犬羊兵败如山死。	庄南杰	雁门太守行	即墨牛（田单）	1	[[4, 5, 6]]	
只缘无长物，始得作闲人。	白居易	无长物		0		
欲慰一时心，莫如千日酒。	孟郊	暮秋感思	千日醉（刘玄石）	1	[[8, 9, 10]]	
淮阴市井笑韩信，汉朝公卿忌贾生。	李白	行路难三首之二	淮笑韩信（韩信）	1	[[4, 5, 6, 7]]	
几年困方枘，一旦迷多岐。	吕温	同舍弟恭岁暮寄晋州李六协律三十韵	圆凿方枘	1	[[3, 4, 5]]	
同声惭卞玉，谬此托韦金。	郑愔	同韦舍人早朝	满籯金（韦贤）	1	[[9, 10]]	
似玉童颜尽，如霜病鬓新。	白居易	荅友问		0		
近喜扶阳系戎相，从来卫霍笑长缨。	杨凝	送客往鄜州	卫霍（卫青，霍去病）	1	[[10, 11]]	
火旗还锦缆，白马出江城。	杜甫	奉送卿二翁统节度镇军还江陵	白马将	1	[[6, 7, 8]]	
挂冠顾翠緌，悬车惜朱轮。	白居易	不致仕	悬车	1	[[6, 7]]	
邹枚入梁苑，逸少在山阴。	刘长卿	寄会稽公徐侍郎	邹枚	1	[[0, 1]]	
紫凤朝衔五色书，阳春忽布网罗除。	司空曙	酬张芬有赦后见赠	凤诏（石虎）	1	[[0, 1, 2]]	
上客新从左辅回，高阳兴助洛阳才。	白居易	喜梦得自冯翊归洛兼呈令公	习家（山简）	1	[[8, 9, 10]]	
谢氏寻山屐，陶公漉酒巾。	杜甫	寄张十二山人彪三十韵	漉酒（陶潜）	2	[[8, 9, 10]]	
薄命值乱离，经年避矛戟。	牛峤	登陈拾遗书台览杜工部留题慨然成咏		0		
桃源寂寂烟霞闭，天路悠悠星汉斜。	戴叔伦	赠韩道士	桃源（陶潜）	1	[[0, 1]]	
铜浑变秋节，玉律动年灰。	李元操	和从叔禄愔元日早朝	葭灰	1	[[10, 11]]	
清诗既名朓，金菊亦姓陶。	孟郊	秋怀	东篱（陶潜）	1	[[9, 10, 11]]	
真龙竟寂莫，土梗空俯偻。	杜甫	雷	真龙（子张，鲁哀公，沈诸梁）	1	[[0, 1]]	
出师暂放张良箸，得罪惟撑范蠡船。	贯休	绣州张相公见访	前筹（张良）	1	[[4, 5, 6]]	
破邪能自外，坚固喻金刚。	司马承祯	太上升玄消灾护命妙经颂		0		
你今意况大聪，不语修道有功。	王梵志	回波乐 其三十一		0		
使星随驿骑，归路有秋风。	独孤及	送游员外赴淮西	星使（李合）	1	[[0, 1]]	
主家台沼胜平阳，帝幸欢娱乐未央。	马怀素	奉和幸安乐公主山庄应制	平阳（刘彻，平阳公主，卫子夫）	1	[[5, 6]]	
老骥念千里，饥鹰舒六翮。	权德舆	奉和崔评事寄外甥刘同州并呈杜宾客许给事王侍郎昆弟杨少尹李侍御并见寄之作	老骥（曹操）	1	[[0, 1]]	
坐棠思邵伯，看柳忆嵇康。	王绩	春日还庄		0		
独怪子猷缘掌马，雪时不肯更乘舟。	李端	戏赠韩判官绅卿	子猷	1	[[2, 3]]	
兄弟真二陆，声名连八裴。	高适	酬裴员外以诗代书	二陆（陆机，陆云，陆弟）	1	[[3, 4]]	
山横万古色，鹤带九皋声。	殷尧藩	游王羽士山房	九皋	1	[[8, 9]]	
不劳邻舍笛，吹起旧时悲。	李德裕	无题	邻笛（向秀，吕安，嵇康）	1	[[4, 5]]	
徒为卞和识，不遇楚王珍。	李峤	玉	卞和	2	[[2, 3], [8, 9, 10]]	
叨承廊庙选，谬齿夔龙弼。	李峤	扈从还洛呈侍从群官	夔（伊尹，夔，龙）	2	[[8, 9]]	
听于无听，默默元性。	皮日休	六箴 其三 耳箴		0		
长捐楚客佩，未赐大夫环。	柳宗元	酬韶州裴曹长使君寄道州吕八大使因以见示二十韵一首	赐环	1	[[10, 11]]	
五湖竟负他年志，百战空垂异代名。	韩偓	过临淮故里	五湖心（范蠡，勾践）	1	[[0, 1, 2]]	
贾赋愁单阏，邹书怯大梁。	柳宗元	弘农公以硕德伟材屈于诬杯左官三岁复为大僚天监昭明人心感悦宗元窜伏湘浦拜贺末由谨献诗五十韵以毕微志	邹书（邹阳）	1	[[6, 7]]	
周南太史泪，蛮徼长卿书。	罗隐	封禅寺居	封禅草（司马相如）	1	[[8, 9, 10]]	
门多金埒骑，路引璧人车。	徐皓	晦日宴高氏林亭	玉人（卫玠，裴楷）	1	[[8, 9, 10]]	
湖山入闾井，鸥鸟傍神仙。	钱起	送沈少府还江宁	梅福	1	[[9, 10, 11]]	
犬马诚为恋，狐狸不足论。	杜甫	奉汉中王手札	埋轮（侯文，张纲）	1	[[6, 7, 8, 9, 10]]	
扬子解嘲徒自遣，冯唐已老复何论。	王维	重酬苑郎中（并序○时为库部员外）	解嘲（扬雄）	2	[[0, 1, 2, 3]]	
为见芳林含笑待，遂同温树不言归。	苏颋	侍宴桃花园咏桃花应制	温树	1	[[10, 11]]	
仙杖正惊龙化，美实当随凤熟。	韦式	一字至七字诗竹	龙竹（费长房）	1	[[4, 5, 6]]	
五月披裘者，应知不取金。	李白	杭州送裴大泽赴庐州长史	负薪（披裘公）	2	[[0, 1, 2, 3]]	
多识故侯悲宿草，曾看流水没桑田。	戴叔伦	赠康老人洽	邵平（召平）	1	[[2, 3]]	
草颠终近旭，懒癖必无嵇。	李咸用	谢友生遗端溪砚瓦	嵇康懒（山涛，嵇康）	1	[[6, 7]]	
崖沈谷没白皑皑，江石缺裂青枫摧。	杜甫	晚晴		0		
如今岂无騕袅与骅骝，时无王良伯乐死即休。	杜甫	天育骠骑歌	王良	1	[[12, 13]]	
颇识灌园意，于陵不自轻。	王维	春过贺遂员外药园	灌园	1	[[2, 3]]	
萍蓬风波急，桑榆日月侵。	韩愈	孟生诗	桑榆	2	[[6, 7, 8, 9, 10]]	
龙竹裁轻策，鲛绡熨下裳。	李商隐	玄微先生	鲛人	1	[[6, 7]]	
春初携酒此花间，几度临风倒玉山。	李群玉	题樱桃	玉山颓（嵇康）	1	[[12, 13]]	
作赋推潘岳，题诗许谢康。	李林甫	秋夜望月忆韩席等诸侍郎因以投赠	康乐（谢灵运）	1	[[9, 10, 11]]	
石凹仙药臼，峰峭佛香炉。	白居易	和微之春日投简阳明洞天五十韵		0		
可悲闻玉笛，不见走香车。	郑谷	长安感兴	马融笛（马融）	1	[[4, 5]]	
庾公明月吟连曙，谢守青山看入秋。	吴融	离霅溪感事献郑员外	庾楼（庾亮，殷浩）	1	[[0, 1, 2]]	
屡迁君擢桂，分尉我从梅。	王湾	哭补阙亡友綦母学士	梅福	1	[[10, 11]]	
蹉跎江浦生华发，牢落寒原会素车。	权德舆	哭张十八校书	鸡黍（张劭，范式）	1	[[13, 14]]	
白云黄竹歌声动，一人荒乐万人愁。	白居易	新乐府 八骏图 戒奇物惩佚游也		0		
才怜曼倩三冬后，艺许由基一箭中。	罗隐	隐尝在江陵忝故中令白公叨蒙知遇今复重过渚宫感事悲身遂成长句	穿杨（养由基）	1	[[10, 11, 12]]	
金门待诏何逍遥，名儒早问张子侨。	李德裕	雨中自秘书省访王三侍御知早入朝便入集贤侍御任集贤校书及升柏台又与秘阁相对同院张学士亦余特厚故以诗赠之	金马客（东方朔）	1	[[0, 1, 2]]	
心轻马融帐，谋夺子房帷。	元稹	酬翰林白学士代书一百韵	子房（张良）	1	[[8, 9]]	
元帅归龙种，司空握豹韬。	杜甫	喜闻官军已临贼境二十韵	龙韬	1	[[9, 10]]	
身当青山秀，文体多郢声。	皎然	杼山禅居寄赠东溪吴处士冯一首	白雪（宋玉）	1	[[9, 10]]	
销得人间无限事，江亭月白诵南华。	李洞	春日隐居官舍感怀		0		
孔璋才素健，羽檄定纷纷。	武元衡	河东赠别鍊师	陈琳（陈琳，曹操）	1	[[0, 1, 2]]	
旅客三秋至，层城四望开。	杜审言	登襄阳城		0		
鹑居化没，狙讹道长。	王勃	乾元殿颂		0		
潘岳叙年因鬓发，扬雄托谏在文章。	卢纶	和王员外冬夜寓直	二毛（潘岳）	1	[[5, 6, 7]]	
故人悬圃姿，琼树纷青葱。	权德舆	早发杭州泛富春江寄陆三十一公佐	琼树	1	[[6, 7]]	
翻霞散锦，倒日澄明。	李世民	晋祠铭		0		
晓凌飞鹊镜，宵映聚萤书。	王维	清如玉壶冰	聚萤（车胤）	1	[[8, 9]]	
临溪犹驻马，望岘欲沾裳。	李百药	王师渡汉水经襄阳	岘首（羊祜）	1	[[6, 7, 8]]	
始从豸角曳长裾，又吐鸡香奏玉除。	罗隐	淮南送工部卢员外赴阙	獬豸（楚文王）	1	[[2, 3]]	
直似王陵戆，非如宁武愚。	张九龄	豋荆州城楼	王陵戆（刘邦，王陵）	1	[[2, 3, 4]]	
无贪合浦珠，念守江陵橘。	杨衡	送王秀才往安南	木奴（孙休，李衡）	1	[[8, 9, 10]]	
三季分战国，七雄成乱麻。	李白	古风 其二十九		0		
二十八年何限客，不曾闲见一人行。	元稹	题漫天岭智藏师兰若僧云住此二十八年		0		
科随鹄箭频曾中，礼向侯弓以重招。	罗隐	寄渭北徐从事	鹄箭	1	[[2, 3]]	
蔼蔼花蕊乱，飞飞蜂蝶多。	杜甫	绝句六首 其二		0		
颜子巷深青草遍，庾君楼迥碧山多。	许浑	闻州中有宴寄崔大夫兼简邢群评事	颜子（孔子，颜回）	1	[[0, 1]]	
稳想海槎朝犯斗，健思胡马夜翻营。	韩偓	喜凉	乘槎	1	[[2, 3]]	
梁王昔全盛，宾客复多才。	高适	宋中十首之一	梁王（刘武）	1	[[0, 1]]	
地炉僧坐暖，山蘖火声肥。	李建勋	宿友人山居寄司徒相公 其一		0		
王母欲过刘彻家，飞琼夜入云軿车。	顾况	梁广画花歌	王母桃（东方朔，汉武帝）	1	[[3, 4, 5, 6]]	
东林北塘水，湛湛见底清。	白居易	其三 东林寺白莲		0		
手里无金莫嗟叹，尊中有酒且欢娱。	白居易	胡吉郑刘卢张等六贤皆多年寿予亦次焉偶于弊居合成尚齿之会七老相顾既醉且欢静而思之此会稀有因成七言六韵以纪之传好事者		0		
祈门官罢后，负笈向桃源。	李嘉祐	送韦邕少府归钟山	桃源（陶潜）	1	[[9, 10]]	
何当列御寇，去问仙人请。	聂夷中	访嵩阳道士不遇	风驭（列禦寇）	1	[[2, 3, 4]]	
苏武先还汉，黄公岂事秦。	杜甫	寄李十二白二十韵	紫芝（刘邦，夏黄公，东园公，甪里先生，绮里季，四皓）	1	[[6, 7]]	
宁亲西陟险，君去异王阳。	李端	送郑宥入蜀迎觐	九折（王阳，王尊）	1	[[9, 10, 11]]	
卤簿迟迟出国门，汉家公主嫁乌孙。	孙叔向	送咸安公主	公主嫁乌孙（刘建，刘细君，乌孙昆莫）	1	[[10, 11, 12, 13, 14]]	
寄与玉人天上去，桓将军见不教吹。	杜牧	寄★笛与宇文舍人	玉人（卫玠，裴楷）	1	[[2, 3]]	
胡童结束还难有，楚女腰肢亦可怜。	杜甫	清明二首之一	细腰（楚灵王）	1	[[8, 9, 10]]	
夙昔怀江海，平生混泾渭。	骆宾王	夏日游德州赠高四	分泾	1	[[9, 10]]	
我愿身为云，东野变为龙。	韩愈	醉留东野	从龙	1	[[4, 5]]	
我独全生异此辈，顺时荣落不相背。	皎然	湛处士枸杞架歌		0		
焚草淹轻秩，藏书厌旧编。	权德舆	和张秘监阁老献岁过蒋大拾遗因呈两省诸公并见示	焚稿（羊祜，谢弘微）	1	[[0, 1]]	
莫取金汤固，长令宇宙新。	杜甫	有感五首	金汤（蒯通）	1	[[2, 3]]	
自叹犹为折腰吏，可怜骢马路傍行。	韦应物	赠王侍御	五斗米（陶潜）	1	[[4, 5, 6]]	
黄雀知恩在，衔飞亦上楼。	卢纶	九日奉陪令公登白楼同咏菊	衔环（杨宝）	1	[[0, 1, 2]]	
神物爰止，灵晖载扬。	不详	郊庙歌辞 朝日乐章 雍和		0		
树皆人尚爱，辕即吏曾攀。	李逢吉	奉送李相公重镇襄阳	卧辙（侯霸，秦彭）	1	[[10, 11]]	
汲泉洒小台，台上无纤埃。	白居易	小台晚坐忆梦得		0		
先生有意许降临，更遣长须致双鲤。	韩愈	寄卢仝	双鱼	1	[[13, 14]]	
子有雄文藻思繁，龆年射策向金门。	李逢吉	送令狐秀才赴举	金门（扬雄）	1	[[13, 14]]	
逢人借问陶唐主，欲进冰蚕五色丝。	徐凝	员峤先生	陶唐	1	[[4, 5]]	
久是吴门客，尝闻谢守贤。	卢纶	送从叔士准赴任润州司士	谢朓	1	[[8, 9]]	
刘郎别后无遗履，丁令归来有旧巢。	薛能	许州题观察判官厅	阮郎（刘晨，阮肇）	1	[[0, 1]]	
莫将和氏泪，滴著老莱衣。	刘得仁	送友人下第归觐	卞和	1	[[2, 3, 4]]	
白社陶元亮，青云阮仲容。	李端	奉和秘书元丞杪秋忆终南旧居	陶潜	2	[[2, 3, 4]]	
国界波穷处，乡心日出时。	杜荀鹤	送宾贡登第后归海东		0		
美玉方齐价，迁莺尚怯飞。	窦巩	江陵遇元九李六二侍御纪事书情呈十二韵	迁莺	1	[[6, 7]]	
红锦障收，珊瑚树碎，至今笑石崇王恺。	李咸用	富贵曲	击珊瑚（石崇）	1	[[5, 6, 7]]	
遥思郢中曲，句句出冰壶。	贯休	夜对雪寄杜使君	白雪（宋玉）	1	[[2, 3, 4]]	
赵璧为谁点，隋珠枉被弹。	李白	送窦司马贬宜春	弹随	1	[[6, 7, 8]]	
鲍壶冰皎洁，王佩玉丁东。	李商隐	今月二日不自量度辄以诗一首四十韵干渎尊严伏蒙仁恩俯赐披览奖逾其实	玉壶冰（鲍照）	1	[[0, 1, 2]]	
召南风更阐，丞相阁还开。	孟浩然	荆门上张丞相	平津（公孙弘，薛泽）	1	[[6, 7, 8]]	
自于南国同埋剑，谁向东门便挂冠。	李咸用	依韵修睦上人山居十首	挂冠（逢萌）	1	[[13, 14]]	
仲蔚欲知何处在，苦吟林下拂诗尘。	杜牧	残春独来南亭因寄张祜	蓬蒿（张仲蔚，刘龚）	1	[[0, 1, 2]]	
万里南天外，求书禹穴间。	耿湋	常州留别	禹穴（夏禹）	1	[[8, 9]]	
凤台云母似天花，炼作芙蓉白云芽。	何仙姑	凤台云母		0		
诏下酂侯幕，徵贤宠上勋。	皎然	奉送陆中丞长源诏徵入朝	酂侯（刘邦，萧何）	1	[[2, 3]]	
暂得一代人，风光亦须觅。	缺名二	五言诗 其十		0		
今日朝廷须汲黯，中原将帅忆廉颇。	杜甫	奉寄高常侍（一作寄高三十五大夫）	汲黯直（汲黯）	1	[[5, 6, 7]]	
岳阳贤刺史，念此为俗屯。	元稹	赛神		0		
散材无所用，老向琐闱眠。	姚合	送狄尚书镇太原	散樗（惠施，庄子）	1	[[0, 1]]	
常闻古人语，损益周必复。	白居易	纳粟		0		
春宅弃汝去，秋帆催客归。	杜甫	登舟将适汉阳		0		
不将千里隔，何用一丸泥。	张说	奉和圣制潼关口号应制	一丸（王元，隗嚣）	2	[[8, 9, 10]]	
王粲实可重，祢衡争不狂。	方干	赠许牍山人	王粲（王粲）	1	[[0, 1]]	
老思不禁春，风光照眼新。	白居易	感春		0		
六艺从师得机要，百发穿杨含绝妙。	刘商	赋得射雉歌送杨协律表弟赴婚期	穿杨（养由基）	1	[[10, 11]]	
人间欢乐无过此，上界西方即不知。	白居易	与牛家妓乐雨后合宴		0		
岭上楼台千地起，城中钟鼓四天闻。	沈佺期	从幸香山寺应制		0		
白马宾徒散，青乌陇隧开。	郑愔	哭郎著作	鸡黍（张劭，范式）	1	[[0, 1, 2]]	
静不可终，终违其时。	李观	妄动箴		0		
他年免似骊山鬼，信有蓬莱不可寻。	刘威	感寓	蓬莱	1	[[10, 11]]	
檀栾千亩绿，知是辟疆园。	独孤及	萧文学山池宴集	辟疆园	1	[[8, 9, 10]]	
我今自号钓鱼郎，丝纶倍比任公长。	吕从庆	献题金鳌山		0		
不散东海金，何争西飞匿。	李白	君子有所思行	挥金（疏广）	1	[[4, 5]]	
茂陵刘郎秋风客，夜闻马嘶晓无迹。	李贺	金铜仙人辞汉歌	横汾（刘彻）	1	[[4, 5, 6]]	
多惭十载游梁客，未换青襟侍素王。	韦庄	寄右省李起居	游梁	1	[[4, 5]]	
自移西岳门长锁，一个行人一遍开。	王建	华岳庙二首 其二		0		
玄成美价存，子山旧业传。	杜甫	赠李十五丈别（李秘书文嶷）	玄成	1	[[0, 1]]	
腐草众所弃，犹能化为萤。	姚合	寄杨茂卿校书	腐草	1	[[0, 1]]	
知音难再逢，惜君方年老。	岑参	秋夕听罗山人弹三峡流泉	知音	1	[[0, 1]]	
身欢步兵酒，吏写鲁连书。	薛能	赠留端公二首之一	鲁连（鲁仲连）	1	[[8, 9]]	
望阙路仍远，子牟魂欲飞。	韦庄	婺州和陆谏议将赴阙怀阳羡山居	魏阙（公子牟）	1	[[6, 7, 8]]	
未至三十已高位，腰间金印色赭然。	岑参	送张献心充副使归河西杂句		0		
屡逢长者辙，时引故人车。	李峤	宅	长者车（陈平）	1	[[2, 3, 4]]	
自谓能生千里翼，黄昏依旧委蓬蒿。	于邺	下第不胜其忿题路左佛庙	斥鴳	1	[[12, 13, 14, 15]]	
远蜀祗无补，囚梁亦固扃。	杜甫	秦州见敕（一作除）目薛三璩（一作据）授司议郎毕四曜除监察与二子有故远喜迁官兼述索居凡三十韵	邹书（邹阳）	1	[[6, 7]]	
凤凰初下紫泥诏，谒帝称觞登御筵。	李白	玉壶吟	紫泥	2	[[4, 5, 6]]	
犹忧纳不中，鞭责及僮仆。	白居易	纳粟		0		
达士遗天地，东门有二疏。	李白	拟古十二首	二疏（疏受，疏广）	1	[[9, 10]]	
自顾缨上尘，裴回终日夕。	李益	饮马歌		0		
陈遵已投辖，山公正坐池。	韩仲宣	晦日重宴	山简	1	[[6, 7, 8]]	
为报习家多置酒，夜来风雪过江寒。	崔涂	初过汉江	习家（山简）	1	[[2, 3]]	
苍皇避乱兵，缅邈怀旧丘。	杜甫	破船		0		
种黍三十亩，雨来苗渐大。	白居易	村居卧病三首 其三		0		
忘怀不使海鸥疑，水映桃花酒满卮。	羊士谔	野望二者之二	白鸥（列子）	1	[[4, 5]]	
旅食伤飘梗，岩栖忆采薇。	刘长卿	罢摄官后将还旧居留辞李侍御	采薇（伯夷，叔齐）	1	[[9, 10]]	
卖卜严将卖饼孙，两贤高趣恐难伦。	韩偓	两贤	君平（严君平，严遵）	1	[[0, 1, 2, 3]]	
语当温树近，飞觉禁园深。	陆翱	禁林闻晓莺	温树	1	[[2, 3]]	
不学尧年隐，空令傲许由。	苏颋	奉和幸韦嗣立山庄应制	许由	1	[[9, 10]]	
绛霄轻霭翊三台，稽阮襟怀管乐才。	李郢	奉陪裴相公重阳日游安乐池亭	嵇阮	1	[[9, 10]]	
物性如蒺藜，化作春兰敷。	皎然	赠李中丞洪一首		0		
空悲鸢踮水，翻羡雁衔芦。	权德舆	奉和许阁老酬淮南崔十七端公见寄	衔芦	1	[[9, 10]]	
转枕挑灯候晓鸡，相君应叹太常妻。	权德舆	太常寺宿斋有寄	太常妻（周泽）	1	[[12, 13, 14]]	
天子临轩四方贺，朝廷无事唯端拱。	元稹	其十 蛮子朝		0		
忘情及宗炳，抱疾过刘桢。	陆龟蒙	江南秋怀寄华阳山人	刘桢病（刘桢）	1	[[9, 10, 11]]	
王母来空阔，羲和上屈盘。	李商隐	谢往桂林至彤庭窃咏	王母（西王母）	1	[[0, 1]]	
回潮迎伍相，骤雨送湘君。	李端	幽居作	湘妃（唐尧，女英，娥皇，舜，虞舜）	1	[[9, 10]]	
何郎烛暗谁能咏，韩寿香焦亦任偷。	韩偓	闺情	韩寿（贾充，贾午，韩寿）	2	[[8, 9, 10]]	
范蠡舟偏小，王乔鹤不群。	杜甫	观李固请司马弟山水图三首	子晋（王子乔）	2	[[6, 7, 8]]	
山薮师王烈，簪缨友戴颙。	罗隐	圣真观刘真师院十韵	戴颙	1	[[9, 10]]	
既非大川楫，则守南山雾。	权德舆	祗役江西路上以诗代书寄内	豹隐（陶答子，陶荅子妻）	1	[[8, 9, 10]]	
兴逸何妨寻剡客，唱高还肯寄巴人。	杨巨源	奉酬端公春雪见寄	白雪（宋玉）	2	[[8, 9], [13, 14]]	
纷纷醉舞踏衣裳，把酒路旁劝行客。	王建	赛神曲		0		
和烟和露一丛花，担入宫城许史家。	吴融	卖花翁	金张（张安世，许广汉，金日磾，史高）	2	[[12, 13, 14]]	
褰帷乃仍旧，坐啸非更张。	储光羲	晚次东亭献郑州宋使	褰帷	1	[[0, 1]]	
张仪会展平生舌，韩信那惭跨下羞。	李群玉	献王中丞	张仪	1	[[0, 1]]	
谁知彭泽意，更觅步兵那。	王绩	赠学仙者	陶潜	1	[[2, 3]]	
若使只凭三杰力，犹应汉鼎一毫轻。	司空图	杂题二首	三杰（张良，萧何，韩信）	1	[[4, 5]]	
邹枚入梁苑，逸少在山阴。	刘长卿	寄会稽公徐侍郎	邹枚	1	[[0, 1]]	
兴尽崔亭伯，言忘释道安。	陈子昂	秋日遇荆州府崔兵使宴	亭伯（崔骃）	2	[[2, 3, 4]]	
玄宴难瘳痹，临邛但发痟。	唐彦谦	汉代	玄晏（皇甫谧）	1	[[0, 1]]	
