sentence	author	title	allusion	variation_number	allusion_index
他日山中逢胜事，桃源洞里几人家。	刘长卿	送常十九归嵩少故林	桃源（陶潜）	1	[[8, 9]]
寂寂孤莺啼杏园，寥寥一犬吠桃源。	刘长卿	过郑山人所居	桃源（陶潜）	1	[[13, 14]]
桃源君莫爱，且作汉朝臣。	刘长卿	题大理黄主簿湖上高斋	桃源（陶潜）	1	[[0, 1]]
春来武陵道，几树落仙家。	包融	赋得岸花临水发	桃源（陶潜）	1	[[2, 3]]
帆色起归越，松声厌避秦。	厉玄	从军行	桃源（陶潜）	1	[[9, 10]]
将取一壶闲日月，长歌深入武陵溪。	司空图	丁未岁归王官谷	桃源（陶潜）	2	[[12, 13, 14], [12, 13]]
可是武陵溪，春芳著路迷。	司空图	春山	桃源（陶潜）	2	[[2, 3, 4], [2, 3]]
雨台谁属楚，花洞不知秦。	吴融	倒次元韵	桃源（陶潜）	1	[[8, 9, 10]]
只此无心便无事，避人何必武陵源。	吴融	偶书	桃源（陶潜）	2	[[12, 13, 14], [12, 13]]
何用深求避秦客，吾家便是武陵源。	吴融	山居即事四首之四	桃源（陶潜）	4	[[12, 13, 14], [4, 5], [12, 13], [5, 6]]
依稀小有洞，邂逅武陵源。	吴融	花村六韵	桃源（陶潜）	2	[[8, 9, 10], [8, 9]]
尽日更无乡井念，此时何必见秦人。	唐彦谦	绯桃	桃源（陶潜）	1	[[12, 13, 14]]
杜陵犹识汉，桃源不辨秦。	乔侃	人日登高	桃源（陶潜）	1	[[6, 7]]
桃源若远近，渔子棹轻舟。	奚贾	寻许山人亭子	桃源（陶潜）	1	[[0, 1]]
桃源何处是，游子正迷津。	孟浩然	南还舟中寄袁太祝	桃源（陶潜）	1	[[0, 1]]
忽闻荆山子，时出桃花源。	孟浩然	山中逢道士云公	桃源（陶潜）	2	[[8, 9, 10], [9, 10]]
相逢武陵客，独送豫章行。	孟浩然	送袁太祝尉豫章	桃源（陶潜）	2	[[2, 3, 4], [2, 3]]
归客莫相待，寻源殊未还。	孟浩然	题李十四庄兼赠綦母校书	桃源（陶潜）	1	[[6, 7]]
殷勤为访桃源路，予亦归来松子家。	孟浩然	高阳池送朱二	桃源（陶潜）	2	[[4, 5, 6], [4, 5]]
惊彼武陵状，移归此岩边。	孟郊	题陆鸿渐上饶新开山舍	桃源（陶潜）	1	[[2, 3]]
避秦不是无归意，一度逢花一断肠。	崔涂	江雨望花	桃源（陶潜）	1	[[0, 1]]
不逢秦世乱，未觉武陵深。	崔涂	王逸人隐居	桃源（陶潜）	1	[[8, 9]]
疑入武陵源，如逢汉阴老。	张九龄	与生公寻幽居处	桃源（陶潜）	2	[[2, 3, 4], [2, 3]]
待我休官了婚嫁，桃源洞里觅仙兄。	张仲方	赠毛仙翁	桃源（陶潜）	1	[[8, 9]]
方同沃洲去，不似武陵迷。	张南史	寄静虚上人云门	桃源（陶潜）	1	[[8, 9]]
长揖桃源士，举世同企羡。	张说	岳阳石门墨山二山相连有禅堂观天下绝境	桃源（陶潜）	2	[[2, 3], [2, 3, 4]]
桃花春径满，误识武陵源。	张说	翻著葛巾呈赵尹	桃源（陶潜）	2	[[8, 9, 10], [8, 9]]
何事桃源路忽迷，惟留云雨怨空闺。	张贲	和袭美醉中先起次韵	桃源（陶潜）	2	[[2, 3, 4], [2, 3]]
悔学秦人南避地，武陵原上又徵师。	戎昱	寄梁淑	桃源（陶潜）	2	[[2, 3, 4, 5], [8, 9]]
莫遣桃花迷客路，千山万水访君难。	戎昱	送吉州阎使君入道二首	桃源（陶潜）	0	[]
桃源宁异此，犹恐世人闻。	戴叔伦	晚春	桃源（陶潜）	1	[[0, 1]]
他时愿携手，莫比武陵源。	戴叔伦	桂阳北岭偶过野人所居聊书即事呈王永州邕李道州圻	桃源（陶潜）	2	[[8, 9, 10], [8, 9]]
乍疑秦世客，渐识楚人言。	戴叔伦	桂阳北岭隅过野人所居聊书即事呈王永州邕李道州圻	桃源（陶潜）	1	[[2, 3, 4]]
霄汉九重辞凤阙，云山何处访桃源。	戴叔伦	汉宫人入道	桃源（陶潜）	1	[[13, 14]]
桃源寂寂烟霞闭，天路悠悠星汉斜。	戴叔伦	赠韩道士	桃源（陶潜）	1	[[0, 1]]
为问桃源客，何人见乱时。	戴叔伦	送吉中孚校书归楚州旧山	桃源（陶潜）	2	[[2, 3, 4], [2, 3]]
春花正夹岸，何必问桃源。	戴叔伦	过友人隐居	桃源（陶潜）	1	[[9, 10]]
为是仙才登望处，风光便似武陵春。	方干	睦州吕郎中郡中环溪亭	桃源（陶潜）	2	[[12, 13, 14], [12, 13]]
云水千重绕洞门，独归何处是桃源。	施肩吾	送绝尘子归旧隐二首	桃源（陶潜）	1	[[13, 14]]
重林将叠嶂，此处可逃秦。	曲信陵	移居洞庭	桃源（陶潜）	1	[[9, 10]]
玉皇赐妾紫衣裳，教向桃源嫁阮郎。	曹唐	小游仙诗九十八首	桃源（陶潜）	1	[[10, 11]]
路傍樵客何须问，朝市如今不是秦。	朱湾	寻隐者韦九山人于东溪草堂	桃源（陶潜）	1	[[10, 11, 12, 13, 14]]
地闲分鹿苑，景胜类桃源。	李君何	曲江亭望慈恩寺杏园花发	桃源（陶潜）	1	[[9, 10]]
湘浦眠销日，桃源醉度春。	李嘉祐	送韦司直西行	桃源（陶潜）	1	[[6, 7]]
祈门官罢后，负笈向桃源。	李嘉祐	送韦邕少府归钟山	桃源（陶潜）	1	[[9, 10]]
蓬阁桃源两处分，人间海上不相闻。	李峤	送司马先生	桃源（陶潜）	1	[[2, 3]]
洞天应不夜，源树秪如春。	李德裕	尊师是桃源黄先生传法弟子常见尊师称先师呈迹今重赋此诗兼寄题黄先生旧馆	桃源（陶潜）	0	[]
仙路迷人应有术，桃源不必在深山。	李涉	赠长安小主人	桃源（陶潜）	1	[[8, 9]]
绿水接柴门，有如桃花源。	李白	之广陵宿常二南郭幽居	桃源（陶潜）	2	[[8, 9, 10], [9, 10]]
去去桃花源，何时见归轩。	李白	博平郑太守自庐山千里相寻入江夏北市门见访却之武陵立马赠别	桃源（陶潜）	2	[[2, 3, 4], [3, 4]]
行尽绿潭潭转幽，疑是武陵春碧流。秦人鸡犬桃花里，将比通塘渠见羞。	李白	和卢侍御通塘曲	桃源（陶潜）	3	[[10, 11, 12], [16, 17, 18, 19], [10, 11]]
海水三清浅，桃源一见寻。	李白	拟古十二首	桃源（陶潜）	1	[[6, 7]]
若待功成拂衣去，武陵桃花笑杀人。	李白	当涂赵炎少府粉图山水歌	桃源（陶潜）	2	[[8, 9, 10, 11], [8, 9]]
功成拂衣去，归入武陵源。	李白	登金陵冶城西北谢安墩	桃源（陶潜）	2	[[8, 9, 10], [8, 9]]
从兹一别武陵去，去后桃花春水深。	李白	答杜秀才五松见赠	桃源（陶潜）	1	[[4, 5]]
方从桂树隐，不羡桃花源。	李白	闻丹丘子于城北营石门幽居中有高凤遗迹仆离群远怀亦有栖遁之志因叙旧以寄之	桃源（陶潜）	2	[[8, 9, 10], [9, 10]]
谪官桃源去，寻花几处行。秦人如旧识，出户笑相迎。	李白	赠从弟南平太守之遥二首	桃源（陶潜）	1	[[2, 3]]
薜带何辞楚，桃源堪避秦。	李白	酬王补阙惠翼庄庙宋丞泚赠别	桃源（陶潜）	2	[[6, 7], [9, 10]]
见说桃源洞，如今犹避秦。	李益	寻纪道士偶会诸叟	桃源（陶潜）	2	[[2, 3], [9, 10]]
谁知武陵路，亦有汉家臣。	李端	归山居寄钱起	桃源（陶潜）	2	[[2, 3, 4], [2, 3]]
柳市名犹在，桃源梦已稀。	李端	闻吉道士还俗因而有赠	桃源（陶潜）	1	[[6, 7]]
蒲泽逢胡雁，桃源见晋人。	李端	送郭参军赴绛州	桃源（陶潜）	1	[[6, 7]]
武陵花木应长在，愿与渔人更一寻。	李端	送马尊师	桃源（陶潜）	1	[[0, 1]]
武陵洞里寻春客，已被桃花迷不归。	李群玉	恼从兄	桃源（陶潜）	2	[[0, 1, 2], [0, 1]]
谁昔探花源，考槃西岳阳。	李群玉	自澧浦东游江表途出巴丘投员外从公虞	桃源（陶潜）	1	[[3, 4]]
金谷园无主，桃源路不通。	李群玉	赠花	桃源（陶潜）	2	[[6, 7, 8], [6, 7]]
锦洞桃花远，青山竹叶深。	李群玉	送秦炼师	桃源（陶潜）	0	[]
曾入桃溪路，仙源信少双。	李质	宿日观东房诗	桃源（陶潜）	1	[[6, 7]]
此花不逐溪流出，晋客无因入洞来。	杜牧	酬王秀才桃花园见寄	桃源（陶潜）	0	[]
多垒满山谷，桃源无处求。	杜甫	不寐	桃源（陶潜）	1	[[6, 7]]
缅思桃源内，益叹身世拙。	杜甫	北征	桃源（陶潜）	1	[[2, 3]]
悲秋宋玉宅，失路武陵源。	杜甫	奉汉中王手札	桃源（陶潜）	2	[[8, 9, 10], [8, 9]]
故山多药物，胜概忆桃源。	杜甫	奉留赠集贤院崔于二学士	桃源（陶潜）	1	[[9, 10]]
庞公隐时尽室去，武陵春树他人迷。	杜甫	寄从孙崇简	桃源（陶潜）	2	[[8, 9, 10], [8, 9]]
桃源人家易制度，橘洲田土仍膏腴。	杜甫	岳麓山道林二寺行	桃源（陶潜）	2	[[0, 1, 2], [0, 1]]
传语桃源客，人今出处同。	杜甫	巫峡敝庐奉赠侍御四舅别之沣朗	桃源（陶潜）	2	[[2, 3, 4], [2, 3]]
茅屋还堪赋，桃源自可寻。	杜甫	春日江村五首	桃源（陶潜）	1	[[6, 7]]
如行武陵暮，欲问桃花宿。	杜甫	赤谷西崦人家	桃源（陶潜）	1	[[2, 3]]
春草封归恨，源花费独寻。	杜甫	风疾舟中伏枕书怀三十六韵奉呈湖南亲友	桃源（陶潜）	1	[[6, 7]]
若教避俗秦人见，知向河源旧侣夸。	杨凭	千叶桃花	桃源（陶潜）	0	[]
曾逢异人说，风景似桃源。	杨发	南溪书院	桃源（陶潜）	1	[[9, 10]]
步入桃源里，晴花更满枝。	欧阳衮	和项斯游头陀寺上方	桃源（陶潜）	1	[[2, 3]]
桃源在在阻风尘，世事悠悠又遇春。	武元衡	春斋夜雨忆郭通微	桃源（陶潜）	1	[[0, 1]]
武陵川径入幽遐，中有鸡犬秦人家。	武元衡	桃源行送友	桃源（陶潜）	1	[[0, 1]]
一见桃花发，能令秦汉迷。	殷遥	友人山亭	桃源（陶潜）	1	[[8, 9, 10]]
同作危时避秦客，此行何似武陵滩。	汪遵	东海	桃源（陶潜）	3	[[4, 5], [12, 13], [5, 6]]
匣里有琴樽有酒，人间便是武陵溪。	汪遵	短歌吟	桃源（陶潜）	2	[[12, 13, 14], [12, 13]]
自言避喧非避秦，薜衣耕凿帝尧人。	沈佺期	入少密溪	桃源（陶潜）	1	[[5, 6]]
漾舟人不见，卧入武陵花。	法振	月夜泛舟	桃源（陶潜）	1	[[8, 9]]
源桃不余欺，先发秦人家。	独孤及	伤春怀归	桃源（陶潜）	1	[[0, 1]]
欲识桃花最多处，前程问取武陵儿。	独孤及	送别荆南张判官	桃源（陶潜）	1	[[12, 13]]
源水终无路，山阿若有人。	王勃	出境游山二首之一	桃源（陶潜）	0	[]
欲访桃源入溪路，忽闻鸡犬使人疑。	王昌龄	武陵开元观黄链师院三首	桃源（陶潜）	1	[[2, 3]]
桃源勿遽返，再访恐君迷。	王维	和宋中丞夏日游福贤观天长寺寺即陈左相宅所施之作	桃源（陶潜）	1	[[0, 1]]
桃源一向绝风尘，柳市南头访隐沦。	王维	春日与裴迪过新昌里访吕逸人不遇	桃源（陶潜）	1	[[0, 1]]
杏树坛边渔父，桃花源里人家。	王维	田园乐七首	桃源（陶潜）	2	[[7, 8, 9], [8, 9]]
悠然策藜杖，归向桃花源。	王维	菩提寺禁口号又示裴迪	桃源（陶潜）	2	[[8, 9, 10], [9, 10]]
笑谢桃源人，花红复来觌。	王维	蓝田山石门精舍	桃源（陶潜）	2	[[2, 3, 4], [2, 3]]
草色日向好，桃源人去稀。	王维	送钱少府还蓝田	桃源（陶潜）	2	[[6, 7, 8], [6, 7]]
斜溪横桂渚，小径入桃源。	王绩	游仙四首	桃源（陶潜）	1	[[9, 10]]
不知今有汉，唯言昔避秦。	王绩	田家三首	桃源（陶潜）	1	[[9, 10]]
不知今有汉，唯言昔避秦。	王绩	田家三首之二	桃源（陶潜）	1	[[9, 10]]
更说桃源更深处，异花长占四时天。	白行简	赠毛仙翁	桃源（陶潜）	1	[[2, 3]]
草遍颍阳山，花开武陵水。	皇甫冉	春早	桃源（陶潜）	2	[[8, 9, 10], [8, 9]]
花源君若许，虽远亦相寻。	皇甫冉	赋得荆溪夜湍送蒋逸人归义兴山	桃源（陶潜）	1	[[0, 1]]
我来隐道非隐身，如今世上无风尘。路是武陵路，人非秦代人。	皎然	兵后西日溪行	桃源（陶潜）	2	[[18, 19, 20], [18, 19]]
应向秦时武陵路，花间寂历一人行。	皎然	西白溪期裴方舟不至	桃源（陶潜）	2	[[4, 5, 6], [4, 5]]
门开芳杜径，室距桃花源。	卢照邻	三月曲水宴得尊字	桃源（陶潜）	2	[[8, 9, 10], [9, 10]]
桃源迷处所，桂树可淹留。	卢照邻	过东山谷口	桃源（陶潜）	1	[[0, 1]]
宁知武陵趣，宛在市朝间。	祖咏	题韩少府水亭	桃源（陶潜）	2	[[2, 3, 4], [2, 3]]
如今非是秦时世，更隐桃花亦笑人。	秦系	山中赠耿拾遗湋兼两省故人	桃源（陶潜）	1	[[9, 10, 11]]
一似桃源隐，将令过客迷。	秦系	春日闲居三首	桃源（陶潜）	1	[[2, 3]]
向此隐来经几载，如今已是汉家朝。	秦系	题章野人山居	桃源（陶潜）	1	[[8, 9, 10, 11, 12]]
武陵缘源不可到，河阳带县讵堪誇。	窦群	假日寻花	桃源（陶潜）	1	[[0, 1]]
人言上皇代，犬吠武陵家。	綦毋潜	若耶溪逢孔九	桃源（陶潜）	1	[[8, 9]]
疏属便同巫峡路，洛川真是武陵溪。	罗虬	比红儿诗	桃源（陶潜）	2	[[12, 13, 14], [12, 13]]
迹似桃源客，身撄竹使符。	羊士谔	郡斋读经	桃源（陶潜）	2	[[2, 3, 4], [2, 3]]
地非樵者路，武陵又何逢。	聂夷中	题贾氏林泉	桃源（陶潜）	1	[[6, 7]]
青野雾销凝晋洞，碧山烟散避秦溪。已是大仙怜后进，不应来向武陵迷。	胡曾	早发潜水驿谒郎中员外	桃源（陶潜）	3	[[12, 13], [12, 13, 14], [28, 29]]
方驰桂林誉，未暇桃源美。	萧颖士	蒙山作	桃源（陶潜）	1	[[8, 9]]
常恐便随巫峡散，何因重有武陵期。	薛涛	牡丹	桃源（陶潜）	1	[[12, 13]]
闻说花源堪避秦，幽寻数月不逢人。	苏广文	自商山宿隐居	桃源（陶潜）	2	[[2, 3], [5, 6]]
莫学武陵人，暂游桃源里。	裴迪	崔九欲往南山马上口号与别	桃源（陶潜）	3	[[2, 3, 4], [8, 9], [2, 3]]
闻说桃源好迷客，不如高卧眄庭柯。	裴迪	春日与王右丞过新昌里访吕逸人不遇	桃源（陶潜）	1	[[2, 3]]
何妨将我去，一看武陵春。	贯休	江边道士	桃源（陶潜）	2	[[8, 9, 10], [8, 9]]
带月时闻山鸟语，郡城知近武陵溪。	贾岛	夏夜上谷宿开元寺	桃源（陶潜）	2	[[12, 13, 14], [12, 13]]
无云秦汉隔，别访武陵花。	郑愔	奉和幸上官昭容院献诗四首	桃源（陶潜）	1	[[8, 9]]
谁谓桃源里，天书问考槃。	钱起	中书王舍人辋川旧居	桃源（陶潜）	1	[[2, 3]]
居人散山水，即景真桃源。	钱起	初黄绶赴蓝田县作	桃源（陶潜）	1	[[9, 10]]
桃源数曲尽，洞口两岸坼。	钱起	寻华山云台观道士	桃源（陶潜）	1	[[0, 1]]
宛谓武陵洞，潜鹰造化移。	钱起	山居新种花药与道士同游赋诗	桃源（陶潜）	2	[[2, 3, 4], [2, 3]]
桃源应渐好，仙客许相寻。	钱起	岁暇题茅茨	桃源（陶潜）	1	[[0, 1]]
秦人入云去，知向桃源里。	钱起	洞仙谣	桃源（陶潜）	1	[[8, 9]]
忽忆武陵事，别家疑数秋。	钱起	登覆釜山遇道人二首	桃源（陶潜）	2	[[2, 3, 4], [2, 3]]
那知幽石下，不与武陵通。	钱起	石井	桃源（陶潜）	1	[[8, 9]]
桃花洞里举家去，此别相思复几春。	钱起	送毕侍御谪居	桃源（陶潜）	1	[[0, 1, 2]]
今宵竹林下，谁觉花源远。	钱起	酬王维春夜竹亭赠别	桃源（陶潜）	1	[[8, 9]]
幸入桃源因去世，方期丹诀一延年。	钱起	题嵩阳焦道士石壁	桃源（陶潜）	1	[[2, 3]]
何必武陵源上去，涧边好过落花中。	陆希声	阳羡杂咏十九首桃花谷	桃源（陶潜）	2	[[2, 3, 4], [2, 3]]
前年相送灞陵春，今日天涯各避秦。	韦庄	江上别李秀才	桃源（陶潜）	1	[[13, 14]]
终期王母摘，不羡武陵深。	韦处厚	桃坞	桃源（陶潜）	1	[[8, 9]]
桃源洞口来否，绛节霓旌久留。	韩偓	六言三首	桃源（陶潜）	1	[[0, 1]]
棹寻闻犬洞，槎入饮牛津。	韩偓	无题	桃源（陶潜）	1	[[2, 3, 4]]
秦客何年驻，仙源此地深。	韩愈	同窦（牟）韦（执中）寻刘尊师不遇（以同寻三字为韵。愈分得寻字）	桃源（陶潜）	2	[[0, 1], [6, 7]]
秦客何年驻，仙源此地深。	韩愈	同窦书寻刘尊师不遇	桃源（陶潜）	2	[[0, 1], [6, 7]]
桃源迷路竟茫茫，枣下悲歌徒纂纂。	韩愈	游青龙寺赠崔大补阙	桃源（陶潜）	1	[[0, 1]]
桂水遥相忆，花源暗有期。	韩翃	寄武陵李少府	桃源（陶潜）	1	[[6, 7]]
闻君招隐地，髣髴武陵春。	骆宾王	同辛簿简仰酬思玄上人林泉四首	桃源（陶潜）	2	[[8, 9, 10], [8, 9]]
缉芰知还楚，披榛似避秦。	骆宾王	同辛簿简仰酬思玄上人林泉四首之一	桃源（陶潜）	1	[[9, 10]]
时有桃源客，来访竹林人。	骆宾王	畴昔篇	桃源（陶潜）	2	[[2, 3, 4], [2, 3]]
自堪成独往，何必武陵源。	高适	同熊少府题卢主簿茅斋	桃源（陶潜）	2	[[8, 9, 10], [8, 9]]
曲留明怨惜，梦尽失欢娱。	杜甫	大历三年春白帝城放船出瞿塘峡久居夔府将适江陵漂泊有诗凡四十韵	阳台（宋玉，楚襄王，瑶姬）	1	[[6, 7, 8, 9]]
未减行雨荆台下，自比凌波洛浦游。	上官仪	咏画障	阳台（宋玉，楚襄王，瑶姬）	0	[]
东南正云雨，不得见阳台。	于武陵	王将军宅夜听歌	阳台（宋玉，楚襄王，瑶姬）	1	[[9, 10]]
何山无朝云，彼云亦悠扬；何山无暮雨，彼雨亦苍茫。	于濆	巫山高	阳台（宋玉，楚襄王，瑶姬）	0	[]
流苏帐里人，犹在阳台畔。	于濆	早发	阳台（宋玉，楚襄王，瑶姬）	1	[[8, 9]]
鄙哉楚襄王，独好阳云台。	储光羲	杂诗二首之二	阳台（宋玉，楚襄王，瑶姬）	2	[[2, 3, 4], [8, 9, 10]]
神来云雨合，神去蕙兰香。	储嗣宗	圣女祠	阳台（宋玉，楚襄王，瑶姬）	0	[]
襄王忽妖梦，宋玉复淫辞。万事捐宫馆，空山云雨期。	元稹	楚歌十首之四	阳台（宋玉，楚襄王，瑶姬）	0	[]
苍山云雨逐明神，唯有香名万岁春。	刘商	题黄陂夫人祠	阳台（宋玉，楚襄王，瑶姬）	0	[]
闻道瞿塘滪堆，青山流水近阳台。知君此去无还日，妾亦随波不复回。	刘媛	送远	阳台（宋玉，楚襄王，瑶姬）	1	[[12, 13]]
倾国倾城汉武帝，为云为雨楚襄王。古来容光人所羡，况复今日遥相见。	刘希夷	公子行	阳台（宋玉，楚襄王，瑶姬）	2	[[12, 13, 14], [8, 9, 10, 11]]
云归巫峡音容断，路隔星河去住难。	刘损	愤惋诗三首	阳台（宋玉，楚襄王，瑶姬）	0	[]
婵娟似恨襄王梦，猿叫断岩秋藓稀。	刘沧	题巫山庙	阳台（宋玉，楚襄王，瑶姬）	1	[[4, 5, 6]]
相逢相笑尽如梦，为雨为云今不知。	刘禹锡	有所嗟二首	阳台（宋玉，楚襄王，瑶姬）	0	[]
料得襄王惆怅极，更无云雨到阳台。	刘言史	赠童尼	阳台（宋玉，楚襄王，瑶姬）	1	[[13, 14]]
不知巫峡雨，何事海西边。	刘长卿	杨州雨中张十宅观妓	阳台（宋玉，楚襄王，瑶姬）	0	[]
此中一见乱人目，只疑行到云阳台。	刘长卿	观李凑所画美人障子	阳台（宋玉，楚襄王，瑶姬）	2	[[12, 13, 14], [13, 14]]
蒹葭新有雁，云雨不离猿。	司空曙	送史申之峡州	阳台（宋玉，楚襄王，瑶姬）	0	[]
云白当山雨，风清满峡波。	司空曙	送夔州班使君	阳台（宋玉，楚襄王，瑶姬）	0	[]
襄王席上一神仙，眼色相当语不传。	吴融	浙东筵上有寄	阳台（宋玉，楚襄王，瑶姬）	0	[]
三峡却为行雨客，九天曾是散花人。	吴融	还俗尼（本是歌妓）	阳台（宋玉，楚襄王，瑶姬）	0	[]
为云为雨徒虚语，倾国倾城不在人。	唐彦谦	牡丹	阳台（宋玉，楚襄王，瑶姬）	1	[[0, 1, 2, 3]]
妾家巫山隔汉川，君度南庭向胡苑。	乔知之	和李侍郎古意	阳台（宋玉，楚襄王，瑶姬）	0	[]
家本巫山阳，归去路何长。	乔知之	定情篇	阳台（宋玉，楚襄王，瑶姬）	0	[]
风柳摇摇无定枝，阳台云雨梦中归。	严续姬	赠别	阳台（宋玉，楚襄王，瑶姬）	5	[[8, 9, 10], [10, 11, 12], [8, 9, 10, 11], [8, 9], [11, 12]]
自有阳台女，朝朝拾翠过。	孟浩然	同张明府碧溪赠答	阳台（宋玉，楚襄王，瑶姬）	2	[[2, 3, 4], [2, 3]]
今夜神仙女，应来感梦情。	孟浩然	送桓子之郢成礼	阳台（宋玉，楚襄王，瑶姬）	0	[]
雪深迷郢路，云暗失阳台。	孟浩然	途次望乡	阳台（宋玉，楚襄王，瑶姬）	1	[[9, 10]]
朝云暮雨成古墟，萧萧野竹风吹亚。	孟郊	悼亡	阳台（宋玉，楚襄王，瑶姬）	1	[[0, 1, 2, 3]]
神女向高唐，巫山下夕阳。	宋之问	内题赋得巫山雨	阳台（宋玉，楚襄王，瑶姬）	1	[[0, 1]]
裴回行作雨，婉娈逐荆王。	宋之问	内题赋得巫山雨（一作沈佺期诗。题云巫山高）	阳台（宋玉，楚襄王，瑶姬）	0	[]
一散阳台雨，方随越鸟巢。	宋之问	宋公宅送宁谏议	阳台（宋玉，楚襄王，瑶姬）	2	[[2, 3, 4], [2, 3]]
疑兼阳台雨，似杂巫山猿。	岑参	秋夕听罗山人弹三峡流泉	阳台（宋玉，楚襄王，瑶姬）	2	[[2, 3, 4], [2, 3]]
细看只似阳台女，醉着莫许归巫山。	岑参	醉戏窦子美人	阳台（宋玉，楚襄王，瑶姬）	2	[[4, 5, 6], [4, 5]]
巫山唱罢行云过，犹自微尘舞画梁。	崔	和人听歌	阳台（宋玉，楚襄王，瑶姬）	0	[]
醉中求习氏，梦里忆襄王。	崔湜	襄阳作	阳台（宋玉，楚襄王，瑶姬）	0	[]
神魂倘遇巫娥伴，犹逐朝云暮雨归。	崔素娥	别韦洵美诗	阳台（宋玉，楚襄王，瑶姬）	2	[[10, 11, 12, 13], [4, 5]]
云雨兮飞二十年，当时求梦不曾眠。今来白头重相见，还上襄王玳瑁筵。	张又新	赠广陵妓	阳台（宋玉，楚襄王，瑶姬）	0	[]
巴东有巫山，窈窕神女颜。	张潮	江风行	阳台（宋玉，楚襄王，瑶姬）	1	[[8, 9]]
萧萧暮雨荆王梦，漠漠春烟蜀帝魂。	张祜	送人归蜀	阳台（宋玉，楚襄王，瑶姬）	1	[[4, 5, 6]]
不妨高唐云，却藉宋玉说。	张祜	送蜀客	阳台（宋玉，楚襄王，瑶姬）	1	[[2, 3, 4]]
城临蜀帝祀，云接楚王台。	张说	下江南向夔州	阳台（宋玉，楚襄王，瑶姬）	1	[[8, 9, 10]]
何事桃源路忽迷，惟留云雨怨空闺。	张贲	和袭美醉中先起次韵	阳台（宋玉，楚襄王，瑶姬）	0	[]
裁分楚女朝云片，剪破姮娥夜月光。	徐寅	追和白舍人咏白牡丹	阳台（宋玉，楚襄王，瑶姬）	0	[]
殷勤好取襄王意，莫向阳台梦使君。	戎昱	送零陵妓	阳台（宋玉，楚襄王，瑶姬）	3	[[10, 11, 12], [4, 5, 6], [10, 11]]
妾身愿作巫山云，飞入仙郎梦魂里。	戴叔伦	相思曲	阳台（宋玉，楚襄王，瑶姬）	1	[[4, 5, 6]]
旧栈歌难度，朝云湿未开。	戴叔伦	经巴东岭	阳台（宋玉，楚襄王，瑶姬）	0	[]
才会雨云须别去，语惭不及琵琶槽。	方干	赠美人四首	阳台（宋玉，楚襄王，瑶姬）	0	[]
巫山千丈高，亦恐梦相失。	曹邺	古相送	阳台（宋玉，楚襄王，瑶姬）	0	[]
非复阳台下，空将惑楚君。	李世民	赋得含峰云	阳台（宋玉，楚襄王，瑶姬）	1	[[2, 3]]
