sentence	author	title	allusion	variation_number	allusion_index	transformed_allusion
黄绶俄三载，青云未九迁。	钱起	李四劝为尉氏尉李七勉为开封尉	黄绶	1	[[0, 1]]	[0, 1,黄绶]
曳裾诚已矣，投笔尚凄然。	高适	信安王幕府诗	投笔（班超）;曳裾（邹阳）	2	[[6, 7]];[[0, 1]]	[6, 7,投笔（班超）];[0, 1,曳裾（邹阳）]
男儿功名遂，亦在老大时。	杜甫	送高三十五书记		0		
解榻招徐稚，登楼引仲宣。	元稹	献荥阳公诗五十韵	解榻（周璆，徐稚，陈蕃）	2	[[0, 1, 2, 3, 4]]	[0, 1, 2, 3, 4,解榻（周璆，徐稚，陈蕃）]
既同和氏璧，终有玉人知。	李咸用	赠来鹏	卞和	1	[[2, 3, 4]]	[2, 3, 4,卞和]
保宁帝业青萍在，投弃儒书绛帐空。	方干	王将军	绛帐（马融）;青萍	2	[[12, 13]];[[4, 5]]	[12, 13,绛帐（马融）];[4, 5,青萍]
东山妓逐飞花散，北海尊随逝水空。	李群玉	哭郴州王使君	逝川（孔子）;东山妓（谢安）;北海尊（孔融）	3	[[12, 13]];[[0, 1, 2]];[[8, 9, 10]]	[12, 13,逝川（孔子）];[0, 1, 2,东山妓（谢安）];[8, 9, 10,北海尊（孔融）]
欲向桃林下，先过梓树中。	李峤	牛	休牛（周武王）	1	[[2, 3]]	[2, 3,休牛（周武王）]
笑他范蠡贪婪甚，相罢金多始退闲。	徐夤	退居	范蠡	1	[[2, 3]]	[2, 3,范蠡]
久向三茅穷艺术，仍传五柳旧琴书。	李群玉	送陶少府赴选	五柳（陶潜）	1	[[10, 11]]	[10, 11,五柳（陶潜）]
闻道玉门犹被遮，应将性命逐轻车。	李颀	古从军行	轻车（李蔡）	1	[[13, 14]]	[13, 14,轻车（李蔡）]
富贵空回首，喧争懒著鞭。	杜甫	秋日夔府咏怀奉寄郑监李宾客一百韵	著鞭（祖逖）	1	[[9, 10]]	[9, 10,著鞭（祖逖）]
最深城郭在人烟，疑借壶中到梵天。	李绅	其十二 其十三		0		
王子求仙月满台，玉笙清转鹤裴回。曲终飞去不知处，山下碧桃春自开。	许浑	缑山庙	子晋（王子乔）	1	[[0, 2]]	[0, 1, 2,子晋（王子乔）]
守分辞芳辇，含情泣团扇。	徐贤妃	长门怨	团扇（班婕妤）	2	[[8, 9, 10]]	[8, 9, 10,团扇（班婕妤）]
家贫惟好月，空愧子猷过。	刘长卿	月下呈章秀才	子猷	1	[[8, 9]]	[8, 9,子猷]
圣哲承休运，伊夔列上台。	丁仙芝	越棠贡白雉（一作孙昌胤诗）	夔（伊尹，夔，龙）	2	[[6, 7]]	[6, 7,夔（伊尹，夔，龙）]
红芳片片由青帝，忍向西园看落残。	齐己	湘中春兴	青帝	1	[[5, 6]]	[5, 6,青帝]
遂有山阳作，多惭鲍叔知。	杜甫	过故斛斯校书庄二首	邻笛（向秀，吕安，嵇康）;管鲍（管仲，鲍叔牙）	2	[[2, 3, 4]];[[8, 9, 10]]	[2, 3, 4,邻笛（向秀，吕安，嵇康）];[8, 9, 10,管鲍（管仲，鲍叔牙）]
才有异恩颁稷契，已将优礼及邹枚。	韩偓	锡宴日作	邹枚;稷卨（契，卨，稷）	2	[[13, 14]];[[5, 6]]	[13, 14,邹枚];[5, 6,稷卨（契，卨，稷）]
其兄因献璞，再刖不履地。卞和名永永，与宝不相坠。劝尔出门行，行难莫行易。	元稹	出门行	卞和	2	[[3, 4], [12, 13]]	[3, 4,卞和]; [12, 13,卞和]
不题三五字，何以达壶公。	窦牟	陪韩院长韦河南同寻刘师不遇	壶中（壶公）	1	[[9, 10]]	[9, 10,壶中（壶公）]
当时珠泪垂多少，直到如今竹尚斑。	高骈	湘妃庙	湘妃（唐尧，女英，娥皇，舜，虞舜）	1	[[3, 4]]	[3, 4,湘妃（唐尧，女英，娥皇，舜，虞舜）]
花香逐荀令，草色对王孙。	刘长卿	奉和杜相公新移长兴宅呈元相公	荀令香（荀彧）	1	[[0, 1, 2, 3]]	[0, 1, 2, 3,荀令香（荀彧）]
我逢纵横者，是我牙与翼。	李华	杂诗六首	纵横	1	[[2, 3]]	[2, 3,纵横]
顾我飘蓬者，长随泛梗移。	李德裕	秋日郡楼望赞皇山感而成咏	泛梗（苏秦）	1	[[8, 9]]	[8, 9,泛梗（苏秦）]
黄金堪作屋，何不作重楼。	李商隐	无题	金屋（刘彻）	1	[[0, 2]]	[0, 1, 2,金屋（刘彻）]
时来访老疾，步屧到蓬蒿。	杜甫	北邻	蓬蒿（张仲蔚，刘龚）	1	[[9, 10]]	[9, 10,蓬蒿（张仲蔚，刘龚）]
左思裁赋日，王充作论年。	李峤	砚	左思	2	[[0, 1, 2, 3]]	[0, 1, 2, 3,左思]
竹风催淅沥，花雨让飘飖。	杨巨源	春雪题兴善寺广宣上人竹院	花雨	1	[[6, 7]]	[6, 7,花雨]
有娀未抵瀛洲远，青雀如何鸩鸟媒。	李商隐	中元作	青鸟（刘彻，西王母）	1	[[8, 9]]	[8, 9,青鸟（刘彻，西王母）]
漱流今已矣，巢许岂尧臣。	贾岛	长孙霞李溟自紫阁白阁二峰见访	巢由（巢父，许由）	1	[[6, 7]]	[6, 7,巢由（巢父，许由）]
此官出入凤池头，通化门前第一州。	王建	赠华州郑大夫		0		
兵围梁殿金瓯破，火发陈宫玉树摧。	司空图	南北史感遇十首之五	后庭花（陈叔宝）	1	[[12, 14]]	[12, 13, 14,后庭花（陈叔宝）]
依稀小有洞，邂逅武陵源。	吴融	花村六韵	桃源（陶潜）	2	[[8, 9, 10]]	[8, 9, 10,桃源（陶潜）]
倘因松子去，长与世人辞。	孟浩然	寄天台道士	赤松（刘邦，张良，王子乔，黄初平）	1	[[2, 3]]	[2, 3,赤松（刘邦，张良，王子乔，黄初平）]
且欲近寻彭泽宰，陶然共醉菊花杯。	崔曙	九日登望仙台呈刘明府容	送酒（陶潜，王弘）	1	[[11, 12, 13]]	[11, 12, 13,送酒（陶潜，王弘）]
何日到彭泽，长歌陶令前。	李白	寄韦南陵冰余江上乘兴访之遇寻颜尚书笑有此赠	陶潜	2	[[3, 4], [8, 9]]	[3, 4,陶潜]; [8, 9,陶潜]
到县余花在，过门五柳闲。	周贺	送张堙之睦州	五柳（陶潜）	1	[[8, 9]]	[8, 9,五柳（陶潜）]
清秋来几时，宋玉已先知。	卢纶	和太常李主簿秋中山下别墅即事	悲秋（宋玉，屈原）	1	[[6, 8]]	[6, 7, 8,悲秋（宋玉，屈原）]
山公醉后能骑马，别是风流贤主人。	李白	江夏赠韦南陵冰	山简	1	[[0, 1, 2]]	[0, 1, 2,山简]
朝登剑阁云随马，夜渡巴江雨洗兵。	岑参	奉和相公发益昌	洗兵	1	[[13, 14]]	[13, 14,洗兵]
门外长溪水，怜君又濯缨。	杜牧	贻迁客	沧浪（屈原）	1	[[9, 10]]	[9, 10,沧浪（屈原）]
回首青山独不语，羡君谈笑万年枝。	李嘉祐	晚发咸阳寄同院遗补	万年枝	1	[[12, 13, 14]]	[12, 13, 14,万年枝]
殷勤嘱归客，莫话桃源人。	刘长卿	送子婿崔真甫李穆往扬州四首	桃源（陶潜）	2	[[8, 9, 10]]	[8, 9, 10,桃源（陶潜）]
避秦不是无归意，一度逢花一断肠。	崔涂	江雨望花	桃源（陶潜）	1	[[0, 1]]	[0, 1,桃源（陶潜）]
曾是巢许浅，始知尧舜深。	王维	送韦大夫东京留守	巢由（巢父，许由）	1	[[2, 3]]	[2, 3,巢由（巢父，许由）]
正翮抟风超紫塞，立冬几夜宿阳台。	杜甫	见王监兵马使说近山有白黑二鹰请余赋诗	大鹏（庄子）	1	[[2, 3]]	[2, 3,大鹏（庄子）]
高皇冷笑重瞳客，盖世拔山何所为。	徐夤	偶书	拔山（项羽，虞姬）	1	[[10, 11]]	[10, 11,拔山（项羽，虞姬）]
风云有路皆烧尾，波浪无程尽曝腮。	许浑	晚登龙门驿楼	暴泥	1	[[13, 14]]	[13, 14,暴泥]
故人荆府掾，尚有柏台威。	孟浩然	闻裴侍御朏自襄州司户除豫州司户因以投寄	柏台	1	[[8, 9]]	[8, 9,柏台]
二赋人间真吐凤，五年溪上不惊鸥。	何颉之	和韩子苍游赤壁	吐凤才（扬雄）	1	[[5, 6]]	[5, 6,吐凤才（扬雄）]
方同沃洲去，不似武陵迷。	张南史	寄静虚上人云门	桃源（陶潜）;沃洲	2	[[8, 9]];[[2, 3]]	[8, 9,桃源（陶潜）];[2, 3,沃洲]
海树萧索天雨霜，管声寥亮月苍苍。	岑参	裴将军宅芦管歌		0		
白水见舅氏，诸翁乃仙伯。	杜甫	白水（即奉先）县崔少府十九翁高斋三十韵（原注。天宝十五载五月作。）	梅福	1	[[9, 10]]	[9, 10,梅福]
由来貔虎士，不满凤皇城。	杜甫	复愁十二首	吹箫（弄玉，秦穆公，萧史）;貔虎	2	[[8, 9]];[[2, 3]]	[8, 9,吹箫（弄玉，秦穆公，萧史）];[2, 3,貔虎]
亦知霸世才难得，却是蒙尘事最平。深谷作陵山作海，茂弘流辈莫伤情。	罗隐	台城	陵谷	1	[[19, 20]]	[19, 20,陵谷]
且知无玉馔，谁肯逐金丸。金丸玉馔盛繁华，自言轻侮季伦家。	骆宾王	畴昔篇	金丸（韩嫣）	2	[[8, 9, 10]]	[8, 9, 10,金丸（韩嫣）]
凿齿尺牍，荀勖音律。	李瀚	蒙求		0		
直缘后学无功业，不虑文翁不至公。	方干	处州献卢员外	文翁	1	[[10, 11]]	[10, 11,文翁]
坛高已降三清鹤，海近应通八月槎。	罗隐	寄西华黄炼师	乘槎	1	[[12, 13, 14]]	[12, 13, 14,乘槎]
峨豸忝备列，伏蒲愧分泾。	韩愈	答张彻	分泾;青蒲（刘奭，史丹）	2	[[9, 10]];[[6, 7]]	[9, 10,分泾];[6, 7,青蒲（刘奭，史丹）]
从今不羡乘槎客，曾到三星列宿傍。	李山甫	赠徐三十	乘槎	3	[[4, 5, 6]]	[4, 5, 6,乘槎]
雨过微风起，狂飘千万家。	李中	柳絮		0		
时应念衰疾，书疏及沧浪。	杜甫	魏十四侍御就弊庐相别	沧浪（屈原）	1	[[9, 10]]	[9, 10,沧浪（屈原）]
药中求见黄芽易，诗里思闻白雪难。	齐己	寄曹松	白雪（宋玉）	1	[[12, 13]]	[12, 13,白雪（宋玉）]
佳人祓禊赏韶年，倾国倾城并可怜。	万齐融	三日绿潭篇	倾城（刘彻，李延年）	3	[[8, 9, 10, 11]]	[8, 9, 10, 11,倾城（刘彻，李延年）]
徒言树萱草，何处慰离人。	钱起	送郎四补阙东归	萱草	1	[[3, 4]]	[3, 4,萱草]
长沙今贾傅，东海旧于公。	包佶	酬于侍郎湖南见寄十四韵	长沙谪（贾谊）	1	[[0, 2]]	[0, 1, 2,长沙谪（贾谊）]
以兹得高卧，任物化自淳。	皎然	奉酬于中丞使君郡斋卧病见示一首		0		
想是三刀梦，森然在目前。	李德裕	题剑门	刀州（王浚）	2	[[2, 3, 4]]	[2, 3, 4,刀州（王浚）]
人言上皇代，犬吠武陵家。	綦毋潜	若耶溪逢孔九	桃源（陶潜）	1	[[8, 9]]	[8, 9,桃源（陶潜）]
三叹承汤鼎，千欢接舜壶。	贺知章	奉和圣制送张说上集贤学士赐宴赋得谟字	负鼎（伊尹）	1	[[3, 4]]	[3, 4,负鼎（伊尹）]
树皆人尚爱，辕即吏曾攀。	李逢吉	奉送李相公重镇襄阳	卧辙（侯霸，秦彭）	1	[[10, 11]]	[10, 11,卧辙（侯霸，秦彭）]
壮怀空掷班超笔，久客谁怜季子裘。	殷尧藩	九日	投笔（班超）	1	[[3, 6]]	[3, 4, 5, 6,投笔（班超）]
悬冠谢陶令，褫佩怀疏傅。	元晦	越亭二十韵	陶潜	1	[[3, 4]]	[3, 4,陶潜]
欲共麻姑住，仙城半在空。	徐凝	武夷山仙城	麻姑	1	[[2, 3]]	[2, 3,麻姑]
适赵非解纷，游燕往无说。	高适	赠别王十七管记	却秦（鲁仲连）	1	[[0, 2]]	[0, 1, 2,却秦（鲁仲连）]
回首周南客，驱驰魏阙心。	杜甫	晴二首之二	魏阙（公子牟）;周南太史公（司马谈，司马迁）	3	[[8, 9, 10]];[[2, 3, 4]]	[8, 9, 10,魏阙（公子牟）];[2, 3, 4,周南太史公（司马谈，司马迁）]
茆室承三顾，花源接九重。	沈佺期	陪幸韦嗣立山庄	三顾（刘备，诸葛亮）	1	[[3, 4]]	[3, 4,三顾（刘备，诸葛亮）]
人间物象不供取，饱饮游神向悬圃。	齐己	读李白集	玄圃（周穆王）	1	[[13, 14]]	[13, 14,玄圃（周穆王）]
中原初逐鹿，投笔事戎轩。	魏徵	述怀	投笔（班超）;逐鹿（蒯通）	2	[[6, 7]];[[3, 4]]	[6, 7,投笔（班超）];[3, 4,逐鹿（蒯通）]
时文哲后，肃事严禋。	不详	郊庙歌辞 祀九宫贵神乐章 寿和		0		
津途别有趣，况乃濯吾缨。	张九龄	自豫章南还江上作	沧浪（屈原）	1	[[8, 9]]	[8, 9,沧浪（屈原）]
如今便是征人妇，好织回文寄窦滔。	窦巩	从军别家	锦字（苏若兰）	1	[[10, 11]]	[10, 11,锦字（苏若兰）]
坐听白雪唱，翻入棹歌中。	孟浩然	秋日陪（一作和。题上无秋日二字）李侍御渡松滋江	白雪（宋玉）	2	[[2, 3, 4]]	[2, 3, 4,白雪（宋玉）]
归客衡门外，仍怜返景幽。	綦母潜	题沈东美员外山池	衡门	1	[[2, 3]]	[2, 3,衡门]
曲留明怨惜，梦尽失欢娱。	杜甫	大历三年春白帝城放船出瞿塘峡久居夔府将适江陵漂泊有诗凡四十韵	阳台（宋玉，楚襄王，瑶姬）	1	[[6, 7, 8, 9]]	[6, 7, 8, 9,阳台（宋玉，楚襄王，瑶姬）]
尔见山吏部，当应无陆沉。	李白	送杨少府赴选	陆沉;山涛	2	[[9, 10]];[[2, 3, 4]]	[9, 10,陆沉];[2, 3, 4,山涛]
遂使康乐侯，披榛著双屐。	刘长卿	奉陪萧使君入鲍达洞寻灵山寺	康乐（谢灵运）	1	[[2, 3]]	[2, 3,康乐（谢灵运）]
叱起文武业，可以豁洪溟。	杜牧	感怀诗一首（时沧州用兵）	牧羊儿（黄初平）	1	[[0, 1]]	[0, 1,牧羊儿（黄初平）]
庭养冲天鹤，溪流上汉槎。	王维	奉和圣制幸玉真公主山庄因题石壁十韵之作应制	乘槎	1	[[8, 9, 10]]	[8, 9, 10,乘槎]
尘生脱粟甑，万里违高堂。	李群玉	自澧浦东游江表途出巴丘投员外从公虞	甑生尘（范冉）	1	[[0, 2]]	[0, 1, 2,甑生尘（范冉）]
猿愁鱼踊水翻波，自古流传是汨罗。	韩愈	湘中	汨罗（屈原）	1	[[13, 14]]	[13, 14,汨罗（屈原）]
德星常有会，相望在文昌。	孙逖	和韦兄春日南亭宴兄弟	德星（陈寔）	1	[[0, 1]]	[0, 1,德星（陈寔）]
郑庄宾客地，衰白远来过。	杜甫	暮春陪李尚书李中丞过郑监湖亭泛舟	郑驿（郑当时）	1	[[0, 1, 2, 3, 4]]	[0, 1, 2, 3, 4,郑驿（郑当时）]
可怜庾信寻荒径，犹得三朝托后车。	李商隐	宋玉	庾信哀（庾信）	1	[[2, 4]]	[2, 3, 4,庾信哀（庾信）]
谩说陶潜篱下醉，何曾得见此风流。	王昌龄	九日登高	送酒（陶潜，王弘）	1	[[2, 4]]	[2, 3, 4,送酒（陶潜，王弘）]
千载得鲍叔，末契有所及。	杜甫	送率府程录事还乡	管鲍（管仲，鲍叔牙）	1	[[3, 5]]	[3, 4, 5,管鲍（管仲，鲍叔牙）]
终期抛印绶，共占少微星。	刘禹锡	赠乐天	少微星	1	[[8, 9, 10]]	[8, 9, 10,少微星]
终作适荆蛮，安排用庄叟。	杜甫	将适吴楚留别章使君留后兼幕府诸公得柳字	适荆蛮（王粲）	1	[[2, 3, 4]]	[2, 3, 4,适荆蛮（王粲）]
徒欲心存阙，终遭耳属垣。	李商隐	哭遂州萧侍郎二十四韵	魏阙（公子牟）	1	[[2, 3, 4]]	[2, 3, 4,魏阙（公子牟）]
独坐清天下，专征出海隅。	李白	中丞宋公以吴兵三千赴河南军次寻阳脱余之囚参谋幕府因赠之	三独（宣秉）	1	[[0, 1]]	[0, 1,三独（宣秉）]
从今虚醉饱，无复污车茵。	温庭筠	中书令裴公挽歌词二首	吐茵（丙吉）	1	[[8, 9, 10]]	[8, 9, 10,吐茵（丙吉）]
尧功终有待，文德本无忧。	吕温	顺宗至德大圣大安孝皇帝挽歌词三首 其一		0		
分薄嵇心懒，哀多庾鬓班。	杜牧	中秋日拜起居表晨渡天津桥即事十六韵献居守相国崔公兼呈工部刘公	庾信哀（庾信）;嵇康懒（山涛，嵇康）	2	[[8, 10]];[[4, 5]]	[8, 9, 10,庾信哀（庾信）];[4, 5,嵇康懒（山涛，嵇康）]
独有山阳宅，平生永不谖。	钱起	经李蒙颍阳旧居	邻笛（向秀，吕安，嵇康）	1	[[2, 3, 4]]	[2, 3, 4,邻笛（向秀，吕安，嵇康）]
主人有酒欢今夕，请奏鸣琴广陵客。	李颀	琴歌	广陵散（嵇康）	1	[[12, 13, 14]]	[12, 13, 14,广陵散（嵇康）]
李膺门客为闲客，梅福官衔改旧衔。	周朴	喜贺拔先辈衡阳除正字	梅福;李膺	2	[[8, 9]];[[0, 1]]	[8, 9,梅福];[0, 1,李膺]
丽质仙姿烟逐风，凤皇声断吹台空。	李群玉	和吴中丞悼笙妓	吹箫（弄玉，秦穆公，萧史）	1	[[10, 12]]	[10, 11, 12,吹箫（弄玉，秦穆公，萧史）]
煖风张乐席，晴日看花尘。	李廓	落第		0		
闻说桃源好迷客，不如高卧眄庭柯。	裴迪	春日与王右丞过新昌里访吕逸人不遇	桃源（陶潜）	1	[[2, 3]]	[2, 3,桃源（陶潜）]
南宫清深禁闱密，唱和有类吹埙篪。	韩愈	和虞部卢四酬翰林钱七赤藤杖歌	埙篪	1	[[13, 14]]	[13, 14,埙篪]
篇咏投康乐，壶觞就步兵。	皇甫冉	闲居作	康乐（谢灵运）;步兵（阮籍）	2	[[3, 4]];[[9, 10]]	[3, 4,康乐（谢灵运）];[9, 10,步兵（阮籍）]
回首长安道，方欢宴柏梁。	李世民	宴中山	柏梁	1	[[9, 10]]	[9, 10,柏梁]
几府争驰毛义檄，一乡看侍老莱衣。	曹邺	送曾德迈归宁宜春	老莱（老莱子）	3	[[12, 13, 14]]	[12, 13, 14,老莱（老莱子）]
悬旌要路口，倚剑短亭中。	杜甫	寄司马山人十二韵	倚天剑	1	[[6, 7]]	[6, 7,倚天剑]
绿萝长不厌，却欲还东山。	李白	送赵判官赴黔府中丞叔幕	东山（谢安）	1	[[9, 10]]	[9, 10,东山（谢安）]
倩语张骞莫辛苦，人今从此识天河。	上官婉儿	游长乐公主流杯池二十五首	乘槎	1	[[12, 13, 14]]	[12, 13, 14,乘槎]
子房仙去孔明死，更有何人解指踪。	费冠卿	闲居即事	子房（张良）	1	[[0, 1]]	[0, 1,子房（张良）]
高歌犹爱思归引，醉语惟誇漉酒巾。	卢纶	无题	漉酒（陶潜）	2	[[12, 13, 14]]	[12, 13, 14,漉酒（陶潜）]
昭阳今再入，宁敢恨长门。	戎昱	闺情	长门	1	[[9, 10]]	[9, 10,长门]
献纳开东观，君王问长卿。	杜甫	赠陈二补阙	献赋（刘彻，司马相如，扬雄，杨得意）	1	[[8, 9, 10]]	[8, 9, 10,献赋（刘彻，司马相如，扬雄，杨得意）]
自从青鸟不堪使，更得蓬莱消息无。	鲍溶	望麻姑山	蓬莱;青鸟（刘彻，西王母）	2	[[10, 11]];[[2, 3]]	[10, 11,蓬莱];[2, 3,青鸟（刘彻，西王母）]
家封汉阳郡，文会楚材过。	孟浩然	宴张记室宅	楚材	1	[[8, 9]]	[8, 9,楚材]
郊天配享，德合无疆。	不详	郊庙歌辞 明皇祀圜丘乐章 寿和		0		
欲求岱岳燔柴礼，已锡鲁人缝掖衣。	鲍溶	寄宋申锡评事时从李少师移军回归	缝掖	1	[[12, 13]]	[12, 13,缝掖]
令尹关中仙史会，河阳县里玉人闲。	武元衡	酬陆三与邹十八侍御	河阳（潘岳）	1	[[8, 9]]	[8, 9,河阳（潘岳）]
豳土人迁避夷狄，鼎湖龙去哭轩辕。	白居易	江南遇天宝乐叟	鼎湖（黄帝）	3	[[8, 9, 10, 11]]	[8, 9, 10, 11,鼎湖（黄帝）]
陶潜何处登高醉，倦客停桡一事无。	刘商	重阳日寄上饶李明府	陶潜	1	[[0, 1]]	[0, 1,陶潜]
如见海底日，曈曈始欲生。	元结	夜宴石鱼湖作		0		
萧萧五马动，欲别谢临川。	刘长卿	鄂渚送池州程使君	五马	1	[[2, 3]]	[2, 3,五马]
贾生独未达，原宪竟忘贫。	戴叔伦	送张南史	长沙谪（贾谊）;原宪贫（原宪）	2	[[0, 2]];[[6, 8]]	[0, 1, 2,长沙谪（贾谊）];[6, 7, 8,原宪贫（原宪）]
舍予在泥辙，飘迹上云津。	孟郊	赠李观	涸鳞（庄子）	1	[[3, 4]]	[3, 4,涸鳞（庄子）]
但求椿寿永，莫虑杞天崩。	杜甫	寄刘峡州伯华使君四十韵	庄椿（庄子）;杞国忧	2	[[2, 3]];[[8, 9]]	[2, 3,庄椿（庄子）];[8, 9,杞国忧]
赖有阳春曲，穷愁且代劳。	骆宾王	蓬莱镇	白雪（宋玉）	2	[[2, 3, 4]]	[2, 3, 4,白雪（宋玉）]
贤臣虽蕴经邦术，明主终无谏猎时。	方干	献王大夫	谏猎（扬雄）	1	[[12, 13]]	[12, 13,谏猎（扬雄）]
还闻股肱郡，元首咏康哉。	张九龄	奉和圣制早度蒲津关	咏康哉（舜）	1	[[8, 9, 10]]	[8, 9, 10,咏康哉（舜）]
味调方荐实，腊近又先春。	韦处厚	盛山十二诗梅溪	盐梅（傅说，殷高宗）	1	[[1, 2]]	[1, 2,盐梅（傅说，殷高宗）]
河上喜相得，壶中趣每同。	李白	赠卢徵君昆弟	壶中（壶公）	1	[[6, 7]]	[6, 7,壶中（壶公）]
白石通宵煮，寒泉尽日舂。	贾岛	山中道士	煮白石	1	[[0, 2]]	[0, 1, 2,煮白石]
怀仙梅福市，访旧若耶溪。	孟浩然	久滞越中贻谢南池会稽贺少府	梅福	1	[[2, 3]]	[2, 3,梅福]
百年如梦竟何成，白发重来此地行。	李涉	题涧饮寺		0		
此中真妙理，谁道不长生。	吕岩	五言 其十五		0		
徵黄看即及，莫叹滞江城。	李汉儒	和绵州于中丞登越王楼作	颍川政（黄霸）	1	[[1, 2]]	[1, 2,颍川政（黄霸）]
心似白云归帝乡，暂停良画别龚黄。	李中	又送赴关	龚黄	1	[[13, 14]]	[13, 14,龚黄]
屏除俗事尽，养活道情全。	白居易	新昌新居书事四十韵因寄元郎中张博士		0		
扣船应渔父，因唱沧浪吟。	常建	晦日马镫曲稍次中流作	沧浪（屈原）	2	[[3, 4], [8, 9]]	[3, 4,沧浪（屈原）]; [8, 9,沧浪（屈原）]
应问襄阳旧风俗，为余骑马习家池。	李颀	送郝判官	习家（山简）	2	[[12, 13, 14]]	[12, 13, 14,习家（山简）]
野水平桥路，春沙映竹村。	杜甫	弊庐遣兴奉寄严公		0		
要衣须破束，欲炙须解牛。	李咸用	长歌行	无全牛（庖丁）	1	[[9, 10]]	[9, 10,无全牛（庖丁）]
商人酒滴庙前草，萧索风生斑竹林。	陈羽	湘君祠	湘妃（唐尧，女英，娥皇，舜，虞舜）	1	[[12, 13]]	[12, 13,湘妃（唐尧，女英，娥皇，舜，虞舜）]
