sentence	author	title	allusion	variation_number	allusion_index
更笑巫山曲，空传暮雨过。	杨师道	初宵看婚	阳台（宋玉，楚襄王，瑶姬）	1	[[8, 10]]
行雨若迷归处路，近南惟见祝融峰。	杨凭	赠马炼师	阳台（宋玉，楚襄王，瑶姬）	1	[[0, 2]]
洛川昔云遇，高唐今尚违。	武平一	妾薄命	阳台（宋玉，楚襄王，瑶姬）	1	[[6, 8]]
仙梦香魂不久留，满川云雨满宫愁。	汪遵	瑶台	阳台（宋玉，楚襄王，瑶姬）	1	[[10, 12]]
谁入巫山梦，唯应洛水神。	王涯	思君恩	阳台（宋玉，楚襄王，瑶姬）	1	[[2, 5]]
朝朝作行云，襄王迷处所。	皇甫冉	见诸姬学玉台体	阳台（宋玉，楚襄王，瑶姬）	1	[[6, 8]]
云雨今归何处去，黄鹂飞上野棠花。	窦巩	宫人斜	阳台（宋玉，楚襄王，瑶姬）	1	[[0, 2]]
何事不归巫峡去，故来人世断人肠。	章孝标	贻美人	阳台（宋玉，楚襄王，瑶姬）	1	[[4, 6]]
巫山洛浦本无情，总为佳人便得名。今日雕阴有神艳，后来公子莫相轻。	罗虬	比红儿诗	阳台（宋玉，楚襄王，瑶姬）	1	[[0, 2]]
疏属便同巫峡路，洛川真是武陵溪。	罗虬	比红儿诗之六十一	阳台（宋玉，楚襄王，瑶姬）	1	[[4, 6]]
行雨有时度，溪流何日穷。	蒋冽	巫山之阳香溪之阴明妃神女旧迹存焉	阳台（宋玉，楚襄王，瑶姬）	1	[[0, 2]]
欲令从此行霖雨，先赐巫山一片云。	薛𦀒	敕赠康尚书美人	阳台（宋玉，楚襄王，瑶姬）	1	[[12, 15]]
思惟不是梦，此会胜高唐。	薛能	戏题	阳台（宋玉，楚襄王，瑶姬）	1	[[9, 11]]
也知暮雨生巫峡，争奈朝云属楚王。	袁皓	寄岳阳严使君	阳台（宋玉，楚襄王，瑶姬）	1	[[10, 12]]
从教水溅罗裙湿，还道朝来行雨归。	裴虔馀	柳枝词咏篙水溅妓衣	阳台（宋玉，楚襄王，瑶姬）	1	[[12, 14]]
精灵应自在，云雨不相关。	许棠	贞女祠	阳台（宋玉，楚襄王，瑶姬）	1	[[6, 8]]
云雨有归时，鸡犬无还日。	邵谒	经安容先生旧居	阳台（宋玉，楚襄王，瑶姬）	1	[[0, 2]]
疑逐朝云去，翻随暮雨来。	郑世翼	看新婚	阳台（宋玉，楚襄王，瑶姬）	1	[[2, 4]]
江山追宋玉，云雨忆荆王。	钱起	送衡阳归客	阳台（宋玉，楚襄王，瑶姬）	1	[[6, 8]]
状瑶台之微月，点巫山之朝云。	陈子昂	彩树歌	阳台（宋玉，楚襄王，瑶姬）	1	[[11, 13]]
朝云无处所，荆国亦沦亡。	陈子昂	感遇诗三十八首之二十七	阳台（宋玉，楚襄王，瑶姬）	1	[[0, 2]]
无心伴行雨，何必梦荆王。	陈希烈	赋得云生栋梁间	阳台（宋玉，楚襄王，瑶姬）	1	[[8, 11]]
云行疑带雨，星步欲凌风。	韦渠牟	步虚词十九首	阳台（宋玉，楚襄王，瑶姬）	1	[[0, 2]]
明朝若相忆，云雨出巫山。	顾况	春游曲二首	阳台（宋玉，楚襄王，瑶姬）	1	[[9, 11]]
风流化为雨，日暮下巫阳。	高蟾	楚思	阳台（宋玉，楚襄王，瑶姬）	1	[[3, 5]]
舆辇乘人日，登临上凤京。	刘宪	奉和人日清晖阁宴群臣遇雪应制	吹箫（弄玉，秦穆公，萧史）	1	[[9, 10]]
粉貌早闻残洛市，箫声犹自傍秦宫。	吴融	无题	吹箫（弄玉，秦穆公，萧史）	1	[[8, 10]]
凤皇城头日欲斜，门前高树鸣春鸦。	岑参	感遇	吹箫（弄玉，秦穆公，萧史）	1	[[0, 1]]
制跸乘骊阜，回舆指凤京。	李乂	幸白鹿观应制	吹箫（弄玉，秦穆公，萧史）	1	[[9, 10]]
鸾辂已辞乌鹊渚，箫声犹绕凤皇台。	李峤	奉和初春幸太平公主南庄应制	吹箫（弄玉，秦穆公，萧史）	1	[[8, 10]]
朝游茂陵道，夜宿凤凰城。	李嶷	少年行三首	吹箫（弄玉，秦穆公，萧史）	1	[[8, 10]]
丽质仙姿烟逐风，凤皇声断吹台空。	李群玉	和吴中丞悼笙妓	吹箫（弄玉，秦穆公，萧史）	1	[[10, 12]]
织女桥边乌鹊起，仙人楼上凤皇飞。	李邕	奉和初春幸太平公主南庄应制	吹箫（弄玉，秦穆公，萧史）	1	[[8, 10]]
由来貔虎士，不满凤皇城。	杜甫	复愁十二首	吹箫（弄玉，秦穆公，萧史）	1	[[8, 9]]
掩涕辞丹凤，衔悲向白龙。	东方虬	昭君怨三首	吹箫（弄玉，秦穆公，萧史）	1	[[3, 5]]
黄鸟远啼鳷鹊观，春风流出凤皇城。	杨凌	春霁花萼楼南闻宫莺	吹箫（弄玉，秦穆公，萧史）	1	[[12, 13]]
南山同圣寿，长对凤皇城。	杨巨源	春日奉献圣寿无疆词十首	吹箫（弄玉，秦穆公，萧史）	1	[[8, 9]]
云披丹凤阙，日下黑龙川。	武平一	奉和登骊山高顶寓目应制	吹箫（弄玉，秦穆公，萧史）	1	[[2, 4]]
清晨朝凤京，静夜思鸿宝。	沈佺期	同工部李侍郎适访司马子微	吹箫（弄玉，秦穆公，萧史）	1	[[3, 4]]
山朝豫章馆，树转凤凰城。	王维	恭懿太子挽歌五首	吹箫（弄玉，秦穆公，萧史）	1	[[8, 10]]
岂独座中堪仰望，孤高应到凤凰城。	秦韬玉	八月十五日夜同卫谏议看月	吹箫（弄玉，秦穆公，萧史）	1	[[12, 14]]
缑岭独能徵妙曲，嬴台相共吹清音。	罗邺	题笙	吹箫（弄玉，秦穆公，萧史）	1	[[8, 10]]
凤去空遗箫管音，星翻寥落银河水。	萧祜	游石堂观	吹箫（弄玉，秦穆公，萧史）	1	[[0, 2]]
行望凤京旋凯捷，重来麟阁画丹青。	贺朝	从军行	吹箫（弄玉，秦穆公，萧史）	1	[[2, 3]]
凤飞终不返，剑化会相从。	韩愈	大行皇太后挽歌词三首	吹箫（弄玉，秦穆公，萧史）	1	[[3, 5]]
丹凤朱城白日暮，青牛绀幰红尘度。	骆宾王	帝京篇	吹箫（弄玉，秦穆公，萧史）	1	[[0, 2]]
复道斜通鳷鹊观，交衢直指凤皇台。	骆宾王	帝京篇	吹箫（弄玉，秦穆公，萧史）	1	[[12, 13]]
一枝何足解人愁，抛却还随定远侯。	罗隐	送泰州从事	桂枝（郤诜）	1	[[0, 2]]
上国才将五字去，全家便待一枝归。	方干	送吴彦融赴举	桂枝（郤诜）	1	[[12, 14]]
东堂一枝在，为子惜年华。	司空曙	送乔广下第归淮南	桂枝（郤诜）	1	[[2, 4]]
碧霄知己在，香桂月中攀。	冷朝阳	送唐六赴举	桂枝（郤诜）	1	[[8, 10]]
桂攀明月曾观国，蓬转西风却问津。	高骈	留别彰德军从事范校书	桂枝（郤诜）	1	[[0, 2]]
昆山如可得，一片伫为荣。	刘轲	玉声如乐	桂枝（郤诜）	1	[[0, 2]]
试向昆山投瓦砾，便容灵沼濯埃尘。	周匡物	及第后谢座主	桂枝（郤诜）	1	[[2, 4]]
虽欣月桂居先折，更羡春兰最后荣。	周墀	贺王仆射放榜	桂枝（郤诜）	1	[[3, 4]]
几出东堂谢不才，便甘閒望故山回。	张蠙	抒怀	桂枝（郤诜）	1	[[2, 4]]
珍重郤家好兄弟，明年禄位在何方。	方干	送缙陵王少府赴举	桂枝（郤诜）	1	[[2, 4]]
鹄箭亲疏虽异的，桂花高下一般香。	李咸用	赠陈望尧	桂枝（郤诜）	1	[[8, 9]]
荆璞献多还得售，桂堂恩在敢轻回。	翁承赞	喜弟承检登科	桂枝（郤诜）	1	[[8, 9]]
上林新桂年年发，不许平人折一枝。	胡曾	下第	桂枝（郤诜）	1	[[12, 15]]
东堂曾受荐，垂白志犹坚。	许棠	陈情献江西李常侍五首	桂枝（郤诜）	1	[[0, 2]]
手中已有新春桂，多谢烟香更入衣。	郑谷	擢第后入蜀经罗村路见海棠盛开偶有题咏	桂枝（郤诜）	1	[[0, 2]]
郤堂流桂景，陈巷集车音。	韦庄	和薛先辈见寄初秋寓怀即事之作二十韵	桂枝（郤诜）	1	[[0, 2]]
东堂岁去衔杯懒，南浦期来落泪频。	黄滔	新野道中	桂枝（郤诜）	1	[[0, 2]]
闾里何人不相庆，万家同唱郢中词。	刘长卿	奉酬辛大夫喜湖南腊月连日降雪见示之作	白雪（宋玉）	1	[[12, 14]]
歌疑郢中客，态比洛川神。	孟浩然	和张二自稂县还途中遇雪	白雪（宋玉）	1	[[2, 4]]
且泛篱下菊，还聆郢中唱。	张九龄	九月九日登龙山	白雪（宋玉）	1	[[8, 10]]
渔为江上曲，雪作郢中词。	张九龄	酬王六寒朝见贻	白雪（宋玉）	1	[[8, 10]]
联辞虽许谢，和曲本惭巴。	李商隐	喜雪	白雪（宋玉）	1	[[6, 8]]
隐忍阳城笑，喧传郢市歌。	李商隐	镜槛	白雪（宋玉）	1	[[2, 3]]
应知郢上曲，高唱出东堂。	李损之	都堂试贡士日庆春雪	白雪（宋玉）	1	[[4, 5]]
寄君郢中歌，曲罢心断绝。	李白	淮海对雪赠傅霭	白雪（宋玉）	1	[[2, 4]]
彩毫飞白云，不减郢中篇。	李群玉	送友人之峡	白雪（宋玉）	1	[[8, 10]]
送君扬楫去，愁绝郢城篇。	李群玉	送郑京昭之云安	白雪（宋玉）	1	[[8, 9]]
因酬郢中律，霜鬓数茎新。	杜荀鹤	和高秘书早春对雪登楼见寄之什	白雪（宋玉）	1	[[2, 4]]
长跪读书心暂缓，短章投我曲何高。	独孤及	喜辱韩十四郎中书兼封近诗示代书题赠	白雪（宋玉）	1	[[12, 13]]
已见郢人唱，新题石门诗。	皎然	奉酬袁使君高春游鹡鸰峰兰若见怀	白雪（宋玉）	1	[[2, 3]]
新声殊激楚，丽句同歌郢。	皎然	答俞校书冬夜	白雪（宋玉）	1	[[9, 11]]
姑峰映仙质，郢路杂歌尘。	许敬宗	奉和喜雪应制	白雪（宋玉）	1	[[6, 7]]
还似郢中歌一曲，夜来春雪照西楼。	许浑	酬江西卢端公兰口阻风见寄之什	白雪（宋玉）	1	[[2, 4]]
遥思郢中曲，句句出冰壶。	贯休	夜对雪寄杜使君	白雪（宋玉）	1	[[2, 4]]
多君有知己，一和郢中吟。	高适	同郭十题杨主簿新厅	白雪（宋玉）	1	[[8, 10]]
独唱郢中雪，还游天际霞。	鲍溶	送僧东游	白雪（宋玉）	1	[[2, 4]]
一轴郢人歌处雪，两重朱氏著来衣。	黄滔	翁文尧员外拥册礼之归一路有诗名昼锦集先将寄示因书五十六字	白雪（宋玉）	1	[[3, 5]]
云涛烟浪最深处，人传中有三神山。	白居易	海漫漫	蓬莱	1	[[14, 15]]
商于避世堪同日，渭曲逢时必有年。	方干	赠中岩王处士	紫芝（刘邦，夏黄公，东园公，甪里先生，绮里季，四皓）	1	[[9, 10]]
不用愁羁旅，宣城太守贤。	权德舆	送张周二秀才谒宣州薛侍郎	谢朓	1	[[6, 8]]
宣城传逸韵，千载谁此响。	钱起	奉和张荆州巡农晚望	谢朓	1	[[0, 2]]
谢才偏许朓，阮放最怜咸。	陆龟蒙	和袭美江南书情二十韵寄秘阁韦校书贻之商洛宋先辈垂文二同年次韵	谢朓	1	[[0, 1]]
昔从谢太守，宾客宛陵城。	鲍溶	送僧之宣城	谢朓	1	[[2, 3]]
可以濯吾缨，斯言诚所慕。	司马扎	沧浪峡	沧浪（屈原）	1	[[2, 3]]
晓碧流视听，夕清濯衣袍。	孟郊	立德新居	沧浪（屈原）	1	[[7, 9]]
津途别有趣，况乃濯吾缨。	张九龄	自豫章南还江上作	沧浪（屈原）	1	[[8, 9]]
淮源之水清，可以濯君缨。	李乂	钱唐州高使君赴任	沧浪（屈原）	1	[[2, 4]]
缨尘徒自满，欲濯待清波。	李咸用	自愧	沧浪（屈原）	1	[[6, 8]]
未知斯水上，可以濯吾缨。	李群玉	大云池泛舟	沧浪（屈原）	1	[[8, 9]]
哲士务缨弁，鄙夫恋蓬藜。终当税尘驾，盥濯依春溪。	权德舆	晓发武阳馆即事书情	沧浪（屈原）	1	[[19, 20]]
西湖天下名，可以濯吾缨。	薛能	题汉州西湖	沧浪（屈原）	1	[[8, 9]]
愿言随狎鸟，从此濯吾缨。	苏颋	题寿安王主簿池馆	沧浪（屈原）	1	[[8, 9]]
浩然心自合，何必濯吾缨。	齐己	秋江	沧浪（屈原）	1	[[8, 9]]
木叶萧萧动归思，西风画角汉东城。	刘沧	雨后游南门寺	鲈鱼（张翰）	1	[[5, 7]]
因谢陆内史，莼羹何足传。	孟浩然	岘潭作	鲈鱼（张翰）	1	[[6, 8]]
鲈鲙剩堪忆，莼羹殊可餐。	岑参	送张秘书充刘相公通汴河判官便赴江外觐省	鲈鱼（张翰）	1	[[6, 8]]
一点灯前独坐身，西风初动帝城砧。	李群玉	请告南归留别同馆（中元作）	鲈鱼（张翰）	1	[[8, 10]]
只闻斥逐张公子，不觉悲同楚大夫。	罗隐	杜陵秋思	鲈鱼（张翰）	1	[[4, 5]]
名惭桂苑一枝绿，鲙忆松江两箸红。	罗隐	东归别常修	鲈鱼（张翰）	1	[[9, 10]]
有莼有鱼，君子居焉。	萧颖士	江有枫一篇十章	鲈鱼（张翰）	1	[[3, 4]]
青桂一枝年少事，莫因鲈鲙涉穷秋。	许浑	别张秀才	鲈鱼（张翰）	1	[[10, 12]]
早炊香稻待鲈鲙，南渚未明寻钓翁。	许浑	夜归驿楼	鲈鱼（张翰）	1	[[5, 7]]
莼羹若可忆，惭出掩柴扉。	郎士元	赠万生下第还吴	鲈鱼（张翰）	1	[[0, 2]]
一雁南飞动客心，思归何待秋风起。	韩翃	和高平朱参军思归作	鲈鱼（张翰）	1	[[11, 14]]
从来此地誇羊酪，自有莼羹定却人。	韩翃	送客之江宁	鲈鱼（张翰）	1	[[10, 12]]
镜水君所忆，莼羹余旧便。	高适	秦中送李九赴越	鲈鱼（张翰）	1	[[6, 8]]
再刖未甘何处说，但垂双泪出咸秦。	姚鹄	随州献李侍御二首	卞和	1	[[1, 2]]
忽对荆山璧，委照越吟人。	庾抱	卧痾喜霁开扉望月简宫	卞和	1	[[2, 4]]
所痛无罪者，明时屡遭刖。	曹邺	下第寄知己	卞和	1	[[10, 11]]
荆山有玉犹在璞，未遇良工虚掷鹊。	李咸用	送人	卞和	1	[[0, 2]]
知君分如此，赠逾荆山璧。	李德裕	重忆山居六首罗浮山	卞和	1	[[8, 10]]
大国本多士，荆岑无遗璧。	李益	华阴东泉同张处士诣藏律师兼简县内同官因寄齐中书	卞和	1	[[6, 7]]
荆山璞在终应识，楚国人知不是狂。	窦庠	酬谢韦卿二十五兄俯赠辄敢书情	卞和	1	[[0, 2]]
荆山产美玉，石石皆坚贞。未必尽有玉，玉且问石生。	聂夷中	客有追叹后时者作诗勉之	卞和	1	[[0, 2]]
勿信玉工言，徒悲荆国人。	陈子昂	观荆玉篇	卞和	1	[[8, 9]]
众宝归和氏，吹嘘多俊人。	韦应物	寄令狐侍郎	卞和	1	[[3, 5]]
归来华表上，应笑北邙尘。	于武陵	赠王道士	令威（丁令威）	1	[[1, 4]]
空有缄题报亲爱，一千年后始西归。	刘威	送元秀才入道	令威（丁令威）	1	[[9, 12]]
空夜露残惊堕羽，辽天秋晚忆归程。	刘沧	月夜闻鹤唳	令威（丁令威）	1	[[8, 10]]
乡关不是无华表，自为多惊独上迟。	司空图	自河西归山二首	令威（丁令威）	1	[[5, 7]]
千年城郭如相问，华表峨峨有夜霜。	司空曙	送曲山人之衡州	令威（丁令威）	1	[[8, 10]]
何言斯物变，翻覆似辽东。	孔德绍	赋得华亭鹤	令威（丁令威）	1	[[9, 11]]
道边白鹤来华表，陌上苍麟卧古丘。	张继	秋日道中	令威（丁令威）	1	[[4, 7]]
碧窗月落琴声断，华表云深鹤梦长。	戴叔伦	哭朱放	令威（丁令威）	1	[[8, 10]]
若把古今相比类，姓丁仙鹤亦如斯。	方干	送道人归旧岩	令威（丁令威）	1	[[8, 10]]
秦世老翁归汉世，还同白鹤返辽城。	施肩吾	桃源词二首	令威（丁令威）	1	[[10, 12]]
辽东老鹤应慵惰，教探桑田便不回。	曹唐	小游仙诗九十八首	令威（丁令威）	1	[[0, 2]]
碧落高高云万重，当时孤鹤去无踪。不期陵谷迁朝市，今日辽东特地逢。	李涉	逢旧二首	令威（丁令威）	1	[[26, 28]]
海鹤一笑之，思归向辽东。	李白	至陵阳山登天柱石酬韩侍御见招隐黄山	令威（丁令威）	1	[[9, 11]]
闻说沧溟今已浅，何当白鹤更归来。	李端	与道者别	令威（丁令威）	1	[[13, 15]]
人间华表堪留语，剩向秋风寄一声。	李縠	和皮日休悼鹤	令威（丁令威）	1	[[2, 4]]
襄王薄行迹，莫学冷如丁。	杜甫	奉酬薛十二丈判官见赠	令威（丁令威）	1	[[10, 11]]
何年去华表，几度穷苍冥。	杨衡	题玄和师仙药室	令威（丁令威）	1	[[3, 5]]
代北鸾骖至，辽西鹤骑旋。	王勃	八仙径（寺南又有昌利观。去寺有数里。岩径窈窕。杖而后进）	令威（丁令威）	1	[[6, 7]]
闲行池畔随孤鹤，若问多应道姓丁。	秦系	题洪道士山院	令威（丁令威）	1	[[13, 15]]
辽水华亭旧所闻，病中毛羽最怜君。	罗隐	病中题主人庭鹤	令威（丁令威）	1	[[0, 2]]
华表翘风未可期，变丁投卫两堪疑。	薛能	失鹤二首	令威（丁令威）	1	[[0, 2]]
借问飞鸣华表上，何如粉缋彩屏中。	钱起	画鹤篇（省中作）	令威（丁令威）	1	[[3, 6]]
姓丁黄鹤辽东去，客倩仙翁海上人。	鲍溶	寄卢给事汀吴员外丹	令威（丁令威）	1	[[4, 6]]
黄鹤亦姓丁，寥寥何处飞。	鲍溶	感兴	令威（丁令威）	1	[[3, 5]]
垂名入甲成龙去，列姓如丁作鹤来。	黄滔	二月二日宴中贻同年封先辈渭	令威（丁令威）	1	[[11, 12]]
幽匣狱底埋，神人水心守。本是稽泥淬，果非雷焕有。	元稹	说剑	双剑（干将，张华，莫邪，雷焕）	1	[[20, 22]]
竹在晓烟孤凤去，剑荒秋水一龙沉。	周朴	哭李端	双剑（干将，张华，莫邪，雷焕）	1	[[8, 9]]
可惜龙泉剑，流落在丰城。	宋之问	送杜审言	双剑（干将，张华，莫邪，雷焕）	1	[[9, 11]]
匣气冲牛斗，山形转辘轳。	崔融	咏宝剑	双剑（干将，张华，莫邪，雷焕）	1	[[2, 5]]
尚如匣中剑，分形会同处。	张潮	襄阳行	双剑（干将，张华，莫邪，雷焕）	1	[[2, 4]]
白虹时切玉，紫气夜干星。	李峤	剑	双剑（干将，张华，莫邪，雷焕）	1	[[6, 8]]
蜀郡灵槎转，丰城宝剑新。	李峤	屋	双剑（干将，张华，莫邪，雷焕）	1	[[6, 8]]
宝剑双蛟龙，雪花照芙蓉。雌雄终不隔，神物会当逢。	李白	古风之十六	双剑（干将，张华，莫邪，雷焕）	1	[[1, 3]]
雷焕丰城掘剑池，年深事远迹依稀。	李群玉	宝剑	双剑（干将，张华，莫邪，雷焕）	1	[[2, 4]]
薛公龙泉姿，其气在斗牛。	李群玉	将之京国赠薛员外	双剑（干将，张华，莫邪，雷焕）	1	[[9, 11]]
半夜剑吹牛斗动，二年门掩雀罗愁。	李群玉	献王中丞（时有除拜）	双剑（干将，张华，莫邪，雷焕）	1	[[4, 6]]
蛟龙缠倚剑，鸾凤夹吹箫。	杜甫	哭王彭州抡	双剑（干将，张华，莫邪，雷焕）	1	[[0, 2]]
把臂开尊饮我酒，酒酣击剑蛟龙吼。	杜甫	相逢歌赠严二别驾	双剑（干将，张华，莫邪，雷焕）	1	[[12, 14]]
掘剑知埋狱，提刀见发硎。	杜甫	秦川见敕目薛三璩授司议郎毕四曜除监察与二子有故远喜迁官兼述索居凡三十韵	双剑（干将，张华，莫邪，雷焕）	1	[[3, 5]]
斗间收紫气，台上挂清光。	柳宗元	弘农公以硕德伟材屈于诬枉左官三岁复为大僚天监昭明人心感悦宗元窜伏湘浦拜贺末由谨献诗五十韵以毕微志	双剑（干将，张华，莫邪，雷焕）	1	[[0, 2]]
孤负平生剑，空怜射斗光。	沈亚之	答殷尧藩赠罢泾源记室	双剑（干将，张华，莫邪，雷焕）	1	[[8, 11]]
