sentence	allusion	variation_number	allusion_index	transformed_allusion
一会出来，秋华堂坐席，李夫人首座，问起凤来仪酒令，秋痕一一告诉。三位太太都十分赞赏。李夫人道：‘我们何不做个东家效颦。’	东施效颦	1	[[54, 57]]	[54, 55, 56, 57, 东施效颦]
姑女告吏验治，孝妇自诬服狱，具上府，于公争之，不能得，竟论杀孝妇，郡中枯旱三年。	东海孝妇	1	[[29, 31]]	[29, 30, 31, 东海孝妇]
惊心赤地三年旱，慰眼黄云八月天。	东海孝妇	1	[[4, 6]]	[4, 5, 6, 东海孝妇]
<巨仁>愤怨，书于狱壁曰：<于公>恸哭三年旱，<邹衍>含悲五月霜。	东海孝妇	1	[[19, 21]]	[19, 20, 21, 东海孝妇]
微风敢喜北窗卧，大旱恐非东海冤。	东海孝妇; 北窗高卧	2	[[12, 14], [4, 6]]	[12, 13, 14, 东海孝妇]; [4, 5, 6, 北窗高卧]
又问：「如杀孝妇，天为之旱，如何？	东海孝妇	1	[[5, 7]]	[5, 6, 7, 东海孝妇]
民谣有云：东海杀孝妇，大旱三年。	东海孝妇	1	[[7, 9]]	[7, 8, 9, 东海孝妇]
人言杀尔三年旱，应是巢成更不忧。	东海孝妇	1	[[4, 6]]	[4, 5, 6, 东海孝妇]
昔者东海枉杀孝妇，旱者久之，一吏不明，匹妇非命，则天为之旱，以昭其冤。	东海孝妇	1	[[5, 7]]	[5, 6, 7, 东海孝妇]
古时东海辟孝妇，草木枯瘁连三冬。	东海孝妇	1	[[4, 6]]	[4, 5, 6, 东海孝妇]
时乎东篱之下，菊可采也，千古南山，悠悠见之，何高风隐德，举世不见元亮？	东篱菊	1	[[2, 3]]	[2, 3, 东篱菊]
采菊篱边，种瓜圃内，都只到邙山一土丘，惺惺汉，皮囊扯破。	东篱菊	1	[[0, 1]]	[0, 1, 东篱菊]
九日雨中重阳风雨里，此际忆陶渊，篱菊采盈把，白衣酒自添，孟嘉曾落帽，桓景佩萸鲜，时节无空过，烹茗胜绮筵。	东篱菊; 孟嘉落帽; 孟嘉落帽; 重九登高; 重九登高	5	[[16, 17], [28, 29], [31, 32], [34, 35], [36, 37]]	[16, 17, 东篱菊]; [28, 29, 孟嘉落帽]; [31, 32, 孟嘉落帽]; [34, 35, 重九登高]; [36, 37, 重九登高]
相将菌阁卧青溪，且用藤杯泛黄菊。	东篱菊	1	[[13, 14]]	[13, 14, 东篱菊]
尝戴布帽，曳长领袍，履穿踵决，拂袖蹁跹行。	东郭履	1	[[10, 11]]	[10, 11, 东郭履]
所言实者，内解备故，行无缺故，衣弊履穿，谦光晦迹，外若不肖，名大丈夫。	东郭履	1	[[17, 18]]	[17, 18, 东郭履]
雪中东郭履，堂上老莱衣。	东郭履; 老莱娱亲	2	[[2, 4], [8, 10]]	[2, 3, 4, 东郭履]; [8, 9, 10, 老莱娱亲]
从今借书数还往，不惜踏穿东郭履。	东郭履	1	[[12, 14]]	[12, 13, 14, 东郭履]
惠虚自此慕道，好丹石，虽衣弊履穿，不以为陋。	东郭履	1	[[14, 15]]	[14, 15, 东郭履]
隐居山林，衣弊履穿，以为冠，莫测其名。	东郭履	1	[[7, 8]]	[7, 8, 东郭履]
同一衣服，群从丽都而孤子垢敝褴褛，或且裋褐不完，肘见履穿矣。	东郭履	1	[[26, 27]]	[26, 27, 东郭履]
卧病表安自愁绝，履穿谁与问先生。	东郭履	1	[[8, 9]]	[8, 9, 东郭履]
履穿羞路雪，盖敝怯京埃。	东郭履	1	[[0, 1]]	[0, 1, 东郭履]
忽有一行脚僧，自大理府鸡足山来，衣敝履穿，面目&lt；皮干&gt；&lt；黑每&gt；，言语不伦，若有狂易之疾。	东郭履	1	[[18, 19]]	[18, 19, 东郭履]
履穿谁复问，新进竞青緺。	东郭履	1	[[0, 1]]	[0, 1, 东郭履]
履穿袍敝突不墨，辞币与粟甘清贫。	东郭履	1	[[0, 1]]	[0, 1, 东郭履]
士有道德不能行，惫也；衣弊履穿，贫也，非惫也。	东郭履	1	[[13, 14]]	[13, 14, 东郭履]
若不扬州何逊宅，定是西湖处士家。	东阁官梅	1	[[2, 5]]	[2, 3, 4, 5, 东阁官梅]
送何研孙同年省亲扬州官梅诗兴动扬州，巢父东游悔掉头！	东阁官梅	1	[[10, 13]]	[10, 11, 12, 13, 东阁官梅]
若非扬州何逊宅，定是西湖处士家。	东阁官梅	1	[[2, 5]]	[2, 3, 4, 5, 东阁官梅]
卷226_33杜甫东阁官梅动诗兴，还如何逊在扬州。	东阁官梅	1	[[9, 12]]	[9, 10, 11, 12, 东阁官梅]
老杜诗：东阁官梅动诗兴，还如何逊在扬州。	东阁官梅	1	[[4, 7]]	[4, 5, 6, 7, 东阁官梅]
同严公子大用东园赏梅东阁官梅要洗妆，青云公子不相忘。	东阁官梅	1	[[10, 13]]	[10, 11, 12, 13, 东阁官梅]
卷十六老杜诗云：“东阁官梅动诗兴，还如何逊在扬州。	东阁官梅	1	[[9, 12]]	[9, 10, 11, 12, 东阁官梅]
寂寥聊似，扬州何逊，不为江梅。	东阁官梅	1	[[5, 8]]	[5, 6, 7, 8, 东阁官梅]
便唤取何郎，一尊同醉，东阁官梅。	东阁官梅	1	[[11, 14]]	[11, 12, 13, 14, 东阁官梅]
正是：何逊梅花知在否，仲舒礼药竟安归。	东阁官梅	1	[[3, 6]]	[3, 4, 5, 6, 东阁官梅]
老杜《桃竹杖引》云：“江心蟠（《历代诗话》本作卷十六老杜诗云：“东阁官梅动诗兴，还如何逊在扬州。	东阁官梅	1	[[32, 35]]	[32, 33, 34, 35, 东阁官梅]
扬州何逊在，政用小诗催。	东阁官梅	1	[[0, 3]]	[0, 1, 2, 3, 东阁官梅]
扬州好花非不多，奈尔绝品无双何，水沈香渍素玉蘂，琉璃滑叶青瑶柯，东风二月花时节，二十四桥香浸月，小山丛桂避芳尘，东阁官梅褪残雪，向来名士多品题，括香御史今亦知，何日移春献天子，不负此花天下奇。	东阁官梅	1	[[56, 59]]	[56, 57, 58, 59, 东阁官梅]
当年东阁诗兴，夫岂吾欺。	东阁官梅	1	[[2, 5]]	[2, 3, 4, 5, 东阁官梅]
《和裴迪登蜀州东亭送客逢早梅相忆见寄》杜甫东阁官梅动诗兴，（起句即拗，今俗云必拗第三字方可，误也。	东阁官梅	1	[[21, 24]]	[21, 22, 23, 24, 东阁官梅]
自去何郎无好咏，东风愁寂几回开？	东阁官梅	1	[[2, 3]]	[2, 3, 东阁官梅]
陋彼孤山翁，徒夸疎影横，官梅与野梅，固难一例评。	东阁官梅	1	[[12, 13]]	[12, 13, 东阁官梅]
惟江阴缪氏《云自在龛丛书》，多补刻故书阙文，亦单刻宋元旧本，虽平津馆、士礼居不能过之。	东阁招贤	1	[[31, 33]]	[31, 32, 33, 东阁招贤]
至八月，澄使弟子十人斋于别室，澄时暂入东阁。	东阁招贤	1	[[19, 20]]	[19, 20, 东阁招贤]
何到任后，卒于官，黄挽以联云：「清慎勤万口成碑，即今宦橐萧然，剩有西台留谏草；诗书画一朝绝笔，令我征帆到此，不填东阁吊官梅。	东阁官梅; 东阁官梅	2	[[56, 57], [59, 60]]	[56, 57, 东阁官梅]; [59, 60, 东阁官梅]
归平津之馆，时闻枥马之嘶；舍广城之传，裁见诸侯之客。	东阁招贤; 老骥伏枥	2	[[1, 2], [8, 9]]	[1, 2, 东阁招贤]; [8, 9, 老骥伏枥]
君不见，邵平东陵时，何若瓜田心自如。	东陵瓜	1	[[6, 7]]	[6, 7, 东陵瓜]
梦里曾作南柯守，少时元是东陵侯。	东陵瓜; 南柯梦	2	[[12, 14], [4, 5]]	[12, 13, 14, 东陵瓜]; [4, 5, 南柯梦]
一泓秋水泛蒹葭，最赏心安枣邵瓜。	东陵瓜; 枣大如瓜	2	[[13, 14], [11, 12]]	[13, 14, 东陵瓜]; [11, 12, 枣大如瓜]
及秦氏灭学，其道浸微。	焚书坑儒	1	[[1, 4]]	[1, 2, 3, 4, 焚书坑儒]
当时才子，竞著黄衫；命世清流，为牵红线。	丝幕牵红	1	[[16, 18]]	[16, 17, 18, 丝幕牵红]
耕云曰：‘古人有射屏、牵丝、设席等事，皆所以择婿也。’	丝幕牵红	1	[[11, 12]]	[11, 12, 丝幕牵红]
屏间孔雀人难中，幕里红丝谁敢牵。	丝幕牵红; 锦屏射雀	2	[[8, 14], [0, 3]]	[8, 9, 10, 11, 12, 13, 14, 丝幕牵红]; [0, 1, 2, 3, 锦屏射雀]
两处红丝千里系，一条黑路六人忙。	丝幕牵红; 月下老人	2	[[2, 6], [2, 6]]	[2, 3, 4, 5, 6, 丝幕牵红]; [2, 3, 4, 5, 6, 月下老人]
哥哥心狠毒嫂嫂不仁，暗使机谋苦逼我再招夫，闪得我一似丧家狗。	丧家之狗	1	[[26, 28]]	[26, 27, 28, 丧家之狗]
陆游贫居即事意绪丧家狗，形骸槁木枝。	丧家之狗	1	[[8, 10]]	[8, 9, 10, 丧家之狗]
及其失事也，嗒焉丧志，皇皇然如丧家之犬。	丧家之狗	1	[[15, 18]]	[15, 16, 17, 18, 丧家之狗]
收去干之魂，虽知甚幸；若丧家之犬，私窃自怜。	丧家之狗	1	[[12, 15]]	[12, 13, 14, 15, 丧家之狗]
夫诸侯有暂垒以遏寇，有甲兵以御侮，而小白犹能为辞其耻，而终为霸主以救之，矧夫子累然若丧家之狗，无堑垒，无甲兵，脱载为宋卫所暴，匡季陵劫，则由也不得施。	丧家之狗	1	[[42, 45]]	[42, 43, 44, 45, 丧家之狗]
仲尼以丧家之狗，公旦类朴斲之材，咎繇面如蒙箕，伊尹形若槁骸。	丧家之狗	1	[[3, 6]]	[3, 4, 5, 6, 丧家之狗]
循墙如丧狗，俯颈似饥鸢。	丧家之狗	1	[[3, 4]]	[3, 4, 丧家之狗]
又意绪丧家狗，形骸槁木枝。	丧家之狗	1	[[3, 5]]	[3, 4, 5, 丧家之狗]
与韩国人李容机笔谈有感而作累若丧家犬，飘蓬一李生！	丧家之狗	1	[[15, 17]]	[15, 16, 17, 丧家之狗]
独自冒雨归，茫茫丧家狗。	丧家之狗	1	[[8, 10]]	[8, 9, 10, 丧家之狗]
向为鸳班贵客、今为鹄形丧狗，哀苦万状，生不如死矣。	丧家之狗	1	[[11, 12]]	[11, 12, 丧家之狗]
归妹失时无友，覆家出走，何如丧狗。	丧家之狗	1	[[14, 15]]	[14, 15, 丧家之狗]
公既丧明，而责知随州，寻窜永州，答子厚必欲置之死地。	丧明之痛	1	[[2, 3]]	[2, 3, 丧明之痛]
已经有许多人知道他遭了‘丧明之痛’。	丧明之痛	1	[[12, 15]]	[12, 13, 14, 15, 丧明之痛]
一子令珍，早亡，朝夕温清者四女。公慨然有丧明之痛。	晨昏定省	1	[[10, 11]]	[10, 11, 晨昏定省]
只今汉上烽烟满，慷慨中流忆祖生。	中流击楫	1	[[8, 11]]	[8, 9, 10, 11, 中流击楫]
长江涨绿冯夷舞，击楫东来亲一鼓。	中流击楫	1	[[8, 9]]	[8, 9, 中流击楫]
千年销尽英雄气，留与吾侪击楫吟。	中流击楫	1	[[12, 13]]	[12, 13, 中流击楫]
壮志渡江叻击楫，老怀寻壑愿巾车。	中流击楫	1	[[5, 6]]	[5, 6, 中流击楫]
虚期万里风，徒愧中流楫。	中流击楫; 乘风破浪	2	[[8, 10], [2, 4]]	[8, 9, 10, 中流击楫]; [2, 3, 4, 乘风破浪]
玉帐分兵赋采薇，梅华吹雪上戎衣。将军意气中流楫。丞相功名采石矶。	中流击楫	1	[[20, 22]]	[20, 21, 22, 中流击楫]
已从击楫悲荒垒，更想沉舟听鼓鼙。	中流击楫	1	[[2, 3]]	[2, 3, 中流击楫]
失令岂能埋剑戟，得时方可用镃基；漫夸印旺兼多合，不遇刑冲总不宜。	丰城剑气; 虽有镃基。不如待时; 虽有镃基。不如待时	3	[[4, 5], [9, 9], [13, 14]]	[4, 5, 丰城剑气]; [9, 虽有镃基。不如待时]; [13, 14, 虽有镃基。不如待时]
沧海骊珠能几见，酆城龙劒不终藏。	探骊得珠	1	[[0, 3]]	[0, 1, 2, 3, 探骊得珠]
年事推兄忝，人才觉弟优。经过辨酆剑，意气逐吴钩。	丰城剑气	1	[[15, 16]]	[15, 16, 丰城剑气]
空讽平津好珠玉，不知更得及门么？	东阁招贤	1	[[2, 3]]	[2, 3, 东阁招贤]
政拙催科，自占阳城之考；奸容狱市，敢师齐相之言。	阳城拙; 阳城拙; 曹参为相; 曹参为相	4	[[0, 1], [7, 10], [12, 15], [19, 22]]	[0, 1, 阳城拙]; [7, 8, 9, 10, 阳城拙]; [12, 13, 14, 15, 曹参为相]; [19, 20, 21, 22, 曹参为相]
雅好辞赋，允登高之才；藉章隶书，均临池之敏。	临池学书	1	[[17, 18]]	[17, 18, 临池学书]
墨池涌出金泉格食神生是。墨池涌出金泉水，辛巳生逢癸巳傍，灿烂文章如锦绣，高攀仙桂紫薇郎。	临池学书; 蟾宫折桂	2	[[0, 1], [38, 39]]	[0, 1, 临池学书]; [38, 39, 蟾宫折桂]
作此法不能依样葫芦，拘泥成法，必须多游名山，留心生石，胸中先有会趣，庶免临池窒笔。	依样画葫芦	1	[[5, 8]]	[5, 6, 7, 8, 依样画葫芦]
神采奕然，传流有绪，岂非墨池奇遘耶。	临池学书	1	[[12, 13]]	[12, 13, 临池学书]
工诗赋，善古文词，临池得二王神理，该博古今典籍，百家诸子，靡不淹贯。	临池学书	1	[[9, 10]]	[9, 10, 临池学书]
阿纲学书蚓满幅，阿绘学语莺啭木。	春蚓秋蛇	1	[[2, 6]]	[2, 3, 4, 5, 6, 春蚓秋蛇]
舂鉏貌闲暇，羡鱼情至骨。	临河羡鱼	1	[[6, 7]]	[6, 7, 临河羡鱼]
见弹曾求炙，临川复羡鱼。	临河羡鱼	1	[[9, 10]]	[9, 10, 临河羡鱼]
不逐浮云不羡鱼，杏花茅屋向阳居。	临河羡鱼	1	[[5, 6]]	[5, 6, 临河羡鱼]
不羡鱼虾利，惟寻鸥鹭盟。	鸥鹭忘机	1	[[8, 10]]	[8, 9, 10, 鸥鹭忘机]
人皆退而结网，我独临渊羡鱼；合全局而统计熟筹，臣又有不能不皇然改图、翻然决计者。	临河羡鱼	1	[[9, 12]]	[9, 10, 11, 12, 临河羡鱼]
谁欤羡鱼者，独自钓寒烟。	临河羡鱼	1	[[2, 3]]	[2, 3, 临河羡鱼]
是以川上不归，皆顾羡鱼之网。	临河羡鱼	1	[[9, 12]]	[9, 10, 11, 12, 临河羡鱼]
结网羡鱼容可及，覆巢完卵敢多求！	临河羡鱼; 巢倾卵破	2	[[2, 3], [8, 11]]	[2, 3, 临河羡鱼]; [8, 9, 10, 11, 巢倾卵破]
羡鱼虽迹似，匪钓却心闲。	临河羡鱼	1	[[0, 1]]	[0, 1, 临河羡鱼]
孰云垂钓叟，徒是羡鱼情。	临河羡鱼	1	[[8, 9]]	[8, 9, 临河羡鱼]
力挽狂澜吾辈事，区区田舍犹轻，思将恨海总填平；临流踯躅，岂是羡鱼情。	临河羡鱼	1	[[30, 31]]	[30, 31, 临河羡鱼]
聊学抽毫而进牍，岂追羡鱼以临川。	临河羡鱼	1	[[10, 11]]	[10, 11, 临河羡鱼]
霎时间石火冰寒，早办个凤想仙缘。休等待临渊结网，只落得月缺花残。	临河羡鱼	1	[[19, 22]]	[19, 20, 21, 22, 临河羡鱼]
临川感流以叹逝兮，登山怀远而悼近。	逝川	1	[[5, 6]]	[5, 6, 逝川]
羡鱼犹未已，临水欲垂钩。	临河羡鱼	1	[[0, 1]]	[0, 1, 临河羡鱼]
所以早登甲第，一生有吉无凶，仕至观察，后退归优游林下，生六子皆登科第，夫妇齐眉，寿越八旬。	举案齐眉	1	[[37, 38]]	[37, 38, 举案齐眉]
相生相合，必然偕老齐眉；相克相冲，决定终朝反目。	举案齐眉	1	[[9, 10]]	[9, 10, 举案齐眉]
应带勾陈兼值福，盂德耀复产于斯时；（勾陈主黑丑，子孙主贤淑，故应爻旺相临之而无损伤者，其妻必如孟光，貌虽不扬而其德则美也。	举案齐眉	1	[[9, 10]]	[9, 10, 举案齐眉]
既荐巫山枕，又奉齐眉食。	巫山云雨; 举案齐眉	2	[[2, 4], [7, 10]]	[2, 3, 4, 巫山云雨]; [7, 8, 9, 10, 举案齐眉]
凡六十以上齐眉命妇，均得邀彩缎珍品之赐。	举案齐眉	1	[[5, 6]]	[5, 6, 举案齐眉]
小娟直与院判齐眉而终。	举案齐眉	1	[[6, 7]]	[6, 7, 举案齐眉]
嗷嗷晨乌，其子反哺，我岂不如，郁其谁诉？	乌哺	1	[[7, 8]]	[7, 8, 乌哺]
慈乌返哺犹怀感，鸿雁才飞便着行。	乌哺	1	[[0, 1]]	[0, 1, 乌哺]
附斗母天尊肥亲丸方世上只有肥儿丸，并无肥亲丸，揆之乌鸟反哺之，私可以，人而不如鸟乎。	乌哺	1	[[25, 26]]	[25, 26, 乌哺]
嗷嗷林乌，受哺于子。	乌哺; 乌哺	2	[[0, 3], [5, 9]]	[0, 1, 2, 3, 乌哺]; [5, 6, 7, 8, 9, 乌哺]
反哺日未足，非是惜微躬。	乌哺	1	[[0, 1]]	[0, 1, 乌哺]
应为嗷嗷鸟反哺，真成落落蛇安足。	乌哺; 画蛇添足	2	[[5, 6], [12, 14]]	[5, 6, 乌哺]; [12, 13, 14, 画蛇添足]
乌程有高树，逾百尺，旁无附枝，上有鹤巢，民欲取之，不可上，乃伐其根；鹤恐杀其子，自拔氅毛投于地，时人或称以为瑞，曰：“天子造羽仪，鸟兽自献羽毛。”	鸿渐	1	[[62, 63]]	[62, 63, 鸿渐]
声中如告诉，未尽反哺心。	乌哺	1	[[8, 9]]	[8, 9, 乌哺]
世言荆轲，其称太子丹之命，‘天雨粟，马生角’也，太过。	天粟马角; 天粟马角	2	[[14, 16], [18, 20]]	[14, 15, 16, 天粟马角]; [18, 19, 20, 天粟马角]
白马故人，青鸟送往。	范张鸡黍	1	[[0, 3]]	[0, 1, 2, 3, 范张鸡黍]
男女既及冠笄，尚犹中门未出，家之僮仆并未少识乌衣，而红颜者更无论已。	乌衣门第	1	[[22, 23]]	[22, 23, 乌衣门第]
其兄病，有乌衣人令杀之，向其请乞，终不下手。	乌衣门第	1	[[5, 6]]	[5, 6, 乌衣门第]
户复开，一人有八尺许，乌衣帽，持杖坐床下，与之熟相视，吐舌至膝。	乌衣门第	1	[[11, 12]]	[11, 12, 乌衣门第]
《齐书》曰：王僧处迁御史中丞，甲族由来多不居宪职，王氏分枝居乌衣者位宦微减。	乌衣门第	1	[[30, 31]]	[30, 31, 乌衣门第]
乌衣门巷，百两迎归；龙藻文章，三星并咏。	乌衣门第	1	[[0, 1]]	[0, 1, 乌衣门第]
王谢居址刘禹锡诗：「朱雀桥边野草花，乌衣巷口夕阳斜。	乌衣门第	1	[[18, 20]]	[18, 19, 20, 乌衣门第]
少年不学稼，朝出乌衣巷，暮饮青楼下。	乌衣门第	1	[[8, 10]]	[8, 9, 10, 乌衣门第]
其风流蕴藉，真有王谢家风气，若斯人之徒，顾岂易得哉！	乌衣门第	1	[[8, 10]]	[8, 9, 10, 乌衣门第]
乌衣垂盼：郗选述其从弟用宾，尝谕予只有两地可以相处，遇则弭笔承明；否则碧山紫府点校青瑶矣。	乌衣门第	1	[[0, 1]]	[0, 1, 乌衣门第]
颜真卿之笔，凛然如社稷臣；虞世南之笔，卓乎如廊庙之器；以至王僧虔之字若王谢家子弟：是岂独由外人之学？	乌衣门第	1	[[35, 37]]	[35, 36, 37, 乌衣门第]
潘郎寓直生秋兴，韩子长歌忆短檠，惊鹊绕枝巢未稳，幽虫临砌隐馀声。	乌鹊南飞	1	[[16, 17]]	[16, 17, 乌鹊南飞]
碧梧萧索。正绕南枝鹊。宝瑟尘生，金雁空零落。	乌鹊南飞	1	[[7, 9]]	[7, 8, 9, 乌鹊南飞]
几时得似宾鸿北归，倒做了乌鹊南飞。	乌鹊南飞	1	[[12, 15]]	[12, 13, 14, 15, 乌鹊南飞]
玉兔秋毫可数，疏星外、乌鹊南飞。	乌鹊南飞	1	[[11, 14]]	[11, 12, 13, 14, 乌鹊南飞]
惊鹊绕枝风满幌，寒钟送晓月当楹。	乌鹊南飞	1	[[0, 1]]	[0, 1, 乌鹊南飞]
繁星入疏树，惊鹊倦秋风。	乌鹊南飞	1	[[6, 7]]	[6, 7, 乌鹊南飞]
得坎浮槎应有命，投林惊鹊且安枝。	乌鹊南飞	1	[[10, 11]]	[10, 11, 乌鹊南飞]
谁念江海飘零，不堪回首，惊鹊南枝冷。	乌鹊南飞	1	[[12, 13]]	[12, 13, 乌鹊南飞]
道人身似南枝鹊，更尽秋宵一再飞。	乌鹊南飞	1	[[4, 6]]	[4, 5, 6, 乌鹊南飞]
可堪到处，乌惊鹊绕，一寸此时心折。	乌鹊南飞	1	[[6, 7]]	[6, 7, 乌鹊南飞]
王褒、庾信之徒既覊旅关中，亦当有南枝之思耳。	陆凯传情	1	[[16, 17]]	[16, 17, 陆凯传情]
踟蹰历阳道，乡思满南枝。	陆凯传情	1	[[9, 10]]	[9, 10, 陆凯传情]
愿及南枝谢，早随北雁翩。	陆凯传情	1	[[2, 3]]	[2, 3, 陆凯传情]
越客初投分，南枝得寄栖。	陆凯传情	1	[[6, 7]]	[6, 7, 陆凯传情]
相思试折南枝寄，东阁官梅尚有无。	陆凯传情	1	[[4, 5]]	[4, 5, 陆凯传情]
章台杨柳绿如云，忆折南枝早赠君。	陆凯传情	1	[[10, 11]]	[10, 11, 陆凯传情]
岂为行吟来楚泽，终期结绶到南枝。	陆凯传情	1	[[13, 14]]	[13, 14, 陆凯传情]
你休得要怨波涛，却不道时来自有鹊填桥。	乌鹊填桥	1	[[15, 17]]	[15, 16, 17, 乌鹊填桥]
岂能无意酬乌鹊，惟与蜘蛛乞巧丝。	乞巧	1	[[12, 13]]	[12, 13, 乞巧]
灵鹊填河，犹无定期。	乌鹊填桥	1	[[0, 3]]	[0, 1, 2, 3, 乌鹊填桥]
鹊灵此夕填桥，支机不畔经纶手。	乌鹊填桥	1	[[0, 5]]	[0, 1, 2, 3, 4, 5, 乌鹊填桥]
凤凰翼以翳车兮，命乌鹊以筑梁。	乌鹊填桥	1	[[9, 13]]	[9, 10, 11, 12, 13, 乌鹊填桥]
灵鹊飞秋夕，香车驾暮烟。	乌鹊填桥	1	[[3, 4]]	[3, 4, 乌鹊填桥]
倥偬搭面，送神女于巫山；仓猝催妆，迎天孙于鹊渡。	乌鹊填桥; 巫山云雨	2	[[21, 22], [5, 10]]	[21, 22, 乌鹊填桥]; [5, 6, 7, 8, 9, 10, 巫山云雨]
闻之国王，蒙召见，问及履历，谦光云系生员，王笑曰：“道不行，乘桴浮于海耶！	乘桴浮海	1	[[30, 31]]	[30, 31, 乘桴浮海]
惟杜恕惎闻之，而云：“己得此辈，当乘桴蹈仓海，不能自谐在其间也。	乘桴浮海	1	[[17, 18]]	[17, 18, 乘桴浮海]
远海乘桴意，高山伐木情。	乘桴浮海	1	[[2, 3]]	[2, 3, 乘桴浮海]
南征问悬榻，东逝想乘桴。	乘桴浮海; 陈蕃榻	2	[[9, 10], [3, 4]]	[9, 10, 乘桴浮海]; [3, 4, 陈蕃榻]
又云：“裘马清狂锦水滨，最繁华地作闲人。	乘肥衣轻	1	[[4, 5]]	[4, 5, 乘肥衣轻]
