allusion	variation_list
东陵瓜	['东陵', '东陵侯', '东陵瓜', '青门', '五色瓜', '种瓜侯', '邵平瓜', '邵瓜', '东园瓜', '种瓜东门', '东门瓜', '城东瓜', '秦侯瓜', '东门种瓜', '东陵故侯', '东陵荷镵', '东陵隐', '五色东陵瓜', '五色', '瓜', '卖瓜侯', '卖瓜叟', '卜隐青门', '召平瓜', '召平种瓜', '召陵瓜', '故侯', '故侯园', '故侯瓜', '瓜熟青门', '瓜田故侯', '种瓜五色', '种瓜青门', '秦氏故侯', '邵侯瓜', '邵圃瓜', '邵平田', '邵圃', '邵平园']
南柯梦	['南柯', '槐安', '南柯一梦', '槐安国', '一枕槐安', '梦入槐', '蚁战', '南柯梦', '一南柯', '梦槐安', '槐安梦', '蚁', '梦一柯', '梦南柯', '一枕南柯', '一觉南槐', '一觉庭槐', '一枕槐根', '侯王蚁', '南柯国', '南柯太守', '梦中太守', '南柯姻', '大槐', '大槐国', '大槐安', '大槐宫', '大槐宫殿', '大槐枕', '官蚁穴', '枕上南柯', '枯槐聚蚁', '柯下梦', '梦断槐安', '梦入大槐安', '梦入槐柯', '梦入槐根', '梦大槐', '梦槐柯', '梦蚁穴', '梦里南柯', '槐南梦', '槐壤', '槐南', '槐国', '槐中梦', '槐南一梦', '槐柯一梦', '槐根梦', '槐梦', '槐阴梦', '槐阴蚁梦', '槐柯蚁穴', '槐宫', '槐柯', '槐根封蚁', '槐根洞', '槐根']
枣大如瓜	['如瓜枣', '枣大如瓜', '安期枣', '枣如瓜', '枣似瓜', '如瓜大枣', '安期瓜', '安枣', '枣瓜', '仙枣如瓜', '偷桃啖枣', '安期海上瓜', '安期瓜枣']
焚书坑儒	['秦火', '秦坑', '坑儒', '秦灰', '焚书', '秦焚', '焚书坑儒', '秦氏灭学', '燔诗书', '坑儒士', '秦氏坑焚', '秦灭学', '坑儒烧书', '焚典坑儒', '焚坑', '燔书坑儒', '儒硎']
丝幕牵红	['牵红线', '牵丝', '幕里红丝谁敢牵', '红丝千里系', '丝幕牵红', '丝幕红牵', '丝幕难亲', '幕里红丝', '牵彩线', '牵红']
锦屏射雀	['射雀', '中雀', '孔雀屏开', '画雀', '屏间孔雀', '锦屏', '射屏', '金屏射', '铜屏射雀', '银屏', '银屏射雀', '中目', '孔雀屏', '孔雀金屏', '射中雀屏', '射雀屏', '屏中图孔雀', '屏开雀', '屏开孔雀', '屏张金雀', '屏悬孔雀', '屏选', '悬屏']
月下老人	['月下', '月下老人', '月书', '月老', '红线', '红丝千里系', '老人', '月下老', '月下老儿', '向月窥囊', '姻缘簿', '定昏店', '月下书', '月下赤绳', '月下绳', '月中簿', '系足之绳', '系足人', '系足红丝', '系足缘']
丧家之狗	['丧家狗', '丧家之犬', '丧家之狗', '丧狗', '丧家犬']
丧明之痛	['丧明之痛', '丧明', '卜夏之痛', '子夏盲', '子夏索居', '子夏', '离群']
晨昏定省	['定省', '晨昏', '温清', '省昏', '晨昏定省', '昏定晨省', '晨省', '冬温夏凊']
中流击楫	['击楫', '中流楫', '慷慨中流', '誓江', '击楫中流', '祖生', '中流击楫', '中流击枻', '中流鼓楫', '中流誓', '击中流', '击中流楫', '击楫誓中流', '击楫誓江', '击楫长江', '击楫誓', '刘鞭祖楫', '枕戈击楫', '横楫', '渡江击楫', '渡江楫']
乘风破浪	['乘风破浪', '万里风', '乘风', '宗悫', '破浪乘风', '破浪', '破浪乘风之愿', '乘破浪风', '乘长风', '乘风御', '破长风']
沧浪濯缨	['濯足', '濯缨', '渔父', '沧浪', '沧浪客', '沧浪子', '濯沧浪', '濯尘缨', '濯长缨', '沧浪之水', '沧浪濯缨', '孺子歌', '沧浪濯']
丰城剑气	['埋剑', '剑', '剑化', '剑气', '丰城剑气', '丰城', '丰狱', '冲星', '冲斗剑', '冲星剑', '埋丰', '斗牛', '剑气冲星', '剑飞', '双龙', '延津', '张雷', '斸龙泉', '星剑', '气冲牛斗', '酆剑', '张华识', '丰城宝气', '丰城气', '紫气', '两龙剑', '丰城宝剑', '丰剑', '丰城剑', '丰城狱剑', '丰城神剑', '丰城龙剑', '丰狱剑', '酆城剑', '丰城狱', '丰城神物', '丰狱气', '光连斗气', '冲斗', '冲天剑', '冲斗太阿', '剑化延津', '剑化龙', '剑合', '剑合丰城', '剑合双龙', '剑合延津', '剑合延平', '剑埋丰城', '剑埋', '龙壤', '剑影', '剑沉丰狱', '剑没丰城', '剑射', '冲南斗', '剑气凌云', '剑光', '烛牛斗', '射天', '剑跃双龙', '剑辞圜室', '剑龙出海', '南斗龙光', '双剑', '识气', '宝剑重合', '射斗光芒', '射斗牛', '延平津', '延津剑', '延平双剑', '延津宝剑', '延津剑合', '延津之合', '延津剑会', '延津龙剑', '张华之剑', '张公龙剑', '张雷识剑光']
虽有镃基。不如待时	['时']
探骊得珠	['骊珠', '探骊', '探珠', '龙珠', '探龙颔', '骊龙颔', '龙颔', '沧海骊珠', '骊龙颔下珠', '探骊珠', '探骊得珠', '偷珠', '千金珠', '得玄珠', '摘骊龙珠', '摘骊颔珠', '沧海探珠', '珠生骊龙颔', '虬珠', '采珠', '颔下骊珠', '颔珠', '骊渊', '骊颔珠', '骊龙', '珠']
阳城拙	['政拙']
曹参为相	['奸容狱市']
临池学书	['临池', '墨池', '临池学书', '池上学', '池水', '含墨', '池边写字', '试墨临池', '写遍未裁衣']
蟾宫折桂	['蟾宫', '折桂', '蟾桂', '步蟾宫', '仙桂', '月桂', '攀蟾折桂', '蟾枝', '折丹桂', '蟾宫折桂', '展志', '蟾宫扳桂', '蟾宫著锦袍', '蟾枝交彩', '丹桂曾攀玉兔宫', '一枝仙桂']
依样画葫芦	['依样葫芦', '葫芦依样', '依样画葫芦', '依本画葫芦', '依葫芦画瓢']
春蚓秋蛇	['春蚓秋蛇', '秋蛇春蚓', '秋蛇', '学书蚓满幅', '春蛇秋蚓', '春蚓笔']
兰亭会	['兰亭', '曲水流觞', '兰亭修禊', '山阴', '禊帖', '禊序', '觞咏', '临曲池而行觞', '羽觞随流波', '流觞', '兰亭会', '兰亭丝竹', '兰亭宴', '兰亭觞咏', '会', '山阴游', '山阴禊事', '王谢山阴会', '羽觞随波', '一觞一咏', '修禊饮', '禊饮', '兰亭侣', '兰亭帖', '兰亭豪逸']
毛遂自荐	['耀颖之才', '擢颖', '脱颖囊锥', '脱颖而出', '脱颖', '露颖', '毛遂自荐', '毛遂登门', '一言九鼎', '出囊颖', '十九人', '吐颖呈锋', '囊中处', '囊中脱颖', '囊脱', '锥颖', '囊锥露颖', '囊中锥', '囊锥', '囊中颖', '囊里盛锥', '因人成事', '因人碌碌', '处囊', '处囊脱颖', '处囊锥', '如锥', '敛颖囊中', '毛生锥', '毛遂', '碌碌因人', '脱囊', '自荐毛', '败锥', '透颖锥', '锥处囊中', '锥囊']
狡兔三窟	['三窟', '冯谖三窟', '狡兔三窟', '狡兔', '夷甫', '狡兔三穴', '狡窟', '多穴', '狡兔求窟', '狡兔计', '三兔穴', '三穴', '三窟狡', '三窟谋身']
临河羡鱼	['羡鱼', '临渊羡鱼', '羡鱼之网', '临川']
鸥鹭忘机	['狎鸥', '鸥鹭盟', '不惊鸥', '盟鸥', '鸥盟', '狎鸥鸟', '鸥侣', '鸥鹭', '狎鸟', '忘机鸥复来', '忘机狎鸥', '狎鸥鹭', '机忘', '鸥鹭忘机', '海上逢鸥', '海翁', '忘机', '鸥鸟伴', '鸥鸟忘机', '鸥鸟', '相依', '鸥鹭寻盟', '相得', '知音', '入鸥', '寒鸥约', '忘机鸥鹭', '忘情鱼鸟', '忘机鸥鸟', '机动', '惊鸥', '沙鸥期', '海上鸥盟', '海上盟鸥', '海翁狎鸟', '海客忘机', '海客无机', '海边', '海边鸥鸟', '海鸟忘机']
巢倾卵破	['完卵', '无完卵', '覆巢破卵', '巢倾卵覆', '破巢完卵', '破卵倾巢', '覆巢完卵', '巢毁而卵不破', '覆巢毁卵', '倾巢', '巢倾卵破']
逝川	['不舍昼夜', '叹逝', '逝波', '逝水']
梁园赋雪	['梁园', '授简', '兔苑', '梁苑客', '赋雪', '兔园', '雪', '梁苑雪', '梁苑', '梁园赋客', '延枚酒', '梁苑池台', '梁园赋', '赏', '兔苑宾', '召邹生', '奉笔兔园', '末至客', '兔园词客']
白云亲舍	['瞻云', '白云亲舍', '亲舍云飞', '亲舍暮云孤', '亲舍白云', '狄云望杳', '白云之思', '白云之望', '白云孤飞', '白云望断', '白云', '立望', '白云舍', '白云路远', '白云踪', '目与云飞', '顾瞻白云', '乡共白云连', '心逐白云']
举案齐眉	['齐眉', '举案齐眉', '眉案', '德耀', '伯鸾', '齐眉举案', '伯鸾德耀', '孟光', '孟光案', '梁孟', '梁鸿', '奉齐眉食', '梁鸿案', '举案', '举案与眉齐', '举齐眉案', '伯鸾妻', '孟光妻', '孟妇', '孟德曜', '孟光举案', '孟光齐眉', '孟案', '庑下齐眉', '德曜', '德耀眉齐']
巫山云雨	['行云', '阳云', '巫山枕', '巫云', '雨云', '阳台人', '高唐', '巫峡', '巫山云雨', '为云为雨', '云朝', '雨暮', '云雨', '峡云', '巫山一段云', '巫娥', '楚岫', '楚神', '神女', '荐枕', '荐梦', '襄王梦', '阳台', '楚台', '阳台云', '阳台云雨', '阳台雨', '阳台女', '阳台梦', '雨云乡', '雨散云收', '雨歇云收', '雨迹云踪', '高唐梦', '送神女于巫山', '巫山', '暮云归', '云雨巫娥', '巫云梦影', '巫云楚雨', '巫云蜀雨', '巫山之梦', '巫山梦', '巫山荐枕', '巫山行雨', '巫山路', '巫山雨', '巫峡梦', '巫峡行云', '巫峡雨', '巫阳云雨', '巫阳归梦', '巫阳雨', '巫雨', '为雨为云', '云归巫峡', '云情雨意', '云飘雨送', '云愁雨怨', '云愁雨恨', '云朝雨暮', '云期雨信', '云期雨约', '云梦闲情', '云雨梦', '云雨峡', '云雨巫山', '云雨晦阳台', '十二巫峰', '十二巫峰女', '另楚寒巫', '巫娥荐枕', '巫山神女', '巫峰', '握雨携云', '暮为行雨', '暮雨朝云', '暮洒朝行', '暮雨', '朝云暮雨', '朝云约', '梦高唐', '梦云', '梦雨', '楚台情', '楚台云', '楚雨']
洛神	['凌波', '洛浦', '凌波袜', '洛浦凌波', '生尘步', '宓妃袜', '洛神', '洛女', '洛妃', '洛媛', '洛宓', '洛川神', '洛波神', '洛浦仙姝', '洛浦甄', '洛浦神', '洛浦鸿', '凌波仙女', '凌波仙子', '凌波微步', '凌波仙步', '凌波步', '凌波罗袜', '宓妃洛女', '宓妃留枕', '宝枕', '宝枕赠陈思', '水妃', '洛女凌波']
乌哺	['反哺', '乌鸟', '慈乌', '乌鸟私情', '慈鸦', '嗷嗷林乌', '受哺于子。']
舜弦	['南风', '薰风', '虞弦', '虞琴', '舜弦', '舜乐', '五弦歌', '五弦琴', '凯润', '南熏音', '南薰', '南薰吟', '南薰曲', '南音', '弦', '弹', '曲', '南风歌', '篇', '舜', '舜风', '南风手', '薰', '舜风熏', '帝舜歌', '舜歌']
画蛇添足	['蛇足', '添蛇足', '画蛇添足', '蛇安足', '为蛇画足', '画蛇足', '蛇添足', '画蛇著足', '妄画蛇足', '为蛇添足', '画足添蛇']
鸿渐	['羽仪', '渐鸿', '鸿渐', '鸿盘', '鸿陆1', '翩翩之鸿', '鸿磐', '鸿逵']
天粟马角	['天雨粟']
范张鸡黍	['鸡黍', '具鸡黍', '鸡黍襟期', '范张鸡黍', '鸡黍约', '白马故人', '割鸡炊黍', '巨卿哭', '张范', '通梦', '故人鸡黍', '死结生交', '炊黍', '期张']
乌衣门第	['乌衣', '乌衣巷', '王谢家', '乌衣门第', '乌衣诸郎', '乌衣之游', '王谢', '乌衣事', '乌衣子弟', '乌巷', '乌衣旧里']
乌鹊南飞	['惊鹊', '南枝鹊', '乌鹊南飞', '三绕鹊', '乌三匝', '乌鹊绕枝', '乌鹊绕树', '唱南乌']
陆凯传情	['南枝', '寄梅', '梅花约', '江南驿使', '一番花信', '陆凯传情', '一枝折寄', '一枝堪寄', '一枝', '寄北', '一枝春', '一枝春信', '一枝梅信', '南枝寄', '寄折梅', '寄梅花', '寄陇头梅', '寄岭头梅', '寄驿人', '折梅花', '折野梅', '折梅逢使', '折花', '寄人', '折赠一枝', '攀梅', '攀驿', '春色', '寄迟', '梅折一枝', '梅花使', '梅花驿使', '梅花信', '梅信', '梅花驿']
乌鹊填桥	['乌鹊桥', '星桥', '鹊填桥', '鹊渡', '乌鹊', '鹊渡银河', '鹊填河', '鹊驾', '灵鹊填河', '鹊灵此夕填桥', '乌鹊以筑梁', '秋夕', '成桥', '架鹊桥', '填桥', '乌鹊为桥', '乌鹊填河', '乌鹊成桥', '乌鹊渡', '灵鹊填桥', '七夕', '乌鹊渚', '仙鹊梁银汉', '喜鹊填河', '喜鹊桥', '填桥乌鹊', '明河鹊桥', '星桥鹊语', '星桥鹊驾', '可渡', '桥横乌鹊', '桥通乌鹊', '桥鹊', '河女鹊', '河汉桥', '河汉鹊桥', '灵津驾鹊', '碧汉填河', '织女桥']
乞巧	['乞巧', '穿针楼', '乞巧楼', '穿针夜', '弄双针', '针楼', '乞巧穿针']
乘桴浮海	['乘桴', '浮海', '乘桴浮海', '乘桴入海', '乘桴翁', '夫子乘桴', '孔子思浮海', '鲁叟乘桴', '宣尼浮海叹', '浮海叹']
陈蕃榻	['下榻', '徐孺榻', '悬榻', '南州高士', '陈蕃下榻', '陈榻', '悬床', '南州榻', '徐稚榻', '徐榻', '陈蕃榻', '陈君榻', '陈徐榻', '一榻高悬', '一榻挂壁', '下尘榻', '孺子榻', '悬徐之榻', '悬陈榻', '扫榻', '挂榻', '留徐榻']
乘肥衣轻	['裘马', '肥马轻裘', '乘肥衣轻', '乘肥', '肥轻', '轻肥']
三神山	['蓬莱', '三山', '蓬岛', '三神山', '三岛', '瀛洲', '蓬瀛', '蓬壶', '蓬山', '徐巿', '三壶', '三山岛', '三岛灵山', '三神丘', '海上三山', '海上三神山', '海上山']
倒屣迎宾	['倒屣', '倒屐', '倒屣交迎', '倒屣迎上客', '倒屣出迎', '倒屣迎宾', '倒屣延宾', '倒屣迎', '迎', '逢迎', '倒履出迎', '倒履迎', '倒屦出迎', '倒屦', '迎门', '倒迎门屣', '倒凫舄']
吐哺握发	['一沐三握发', '吐哺握发', '捉发', '握发', '握发吐哺', '三握发', '吐食握发', '吐哺捉发', '三吐', '三吐三握', '三哺', '三握再吐', '吐哺', '吐捉', '吐握', '吐沐', '吐食下士', '姬公吐握', '挥沐吐餐', '握发吐餐', '握沐', '握沐吐飧', '一饭三吐哺', '三握', '发一握']
乘车戴笠	['车笠', '戴笠', '乘车戴笠', '乘车并乘马', '戴笠乘车', '乘马', '下车揖', '下车', '揖', '卿车我笠', '我笠君车', '戴笠故交', '担簦跨马']
披裘负薪	['皮相', '负薪', '五月披裘', '披裘']
乘轩鹤	['乘轩', '乘轩鹤', '乘轩之赏', '轩中鹤', '鹤轩', '鹤乘轩', '乘轩宠', '乘轩禄位', '乘轩者', '使鹤', '卫公宠', '卫国乘轩队', '卫轩宠', '卫人鹤', '卫国鹤', '卫鹤乘轩', '大夫轩', '宠鹤', '舞鹤乘轩', '轩郎']
鹤立鸡群	['鹤立鸡群', '鹤立', '鸡群', '鸡鹤', '鹤避鸡群', '反避鸡群', '鸡群之鹤', '独鹤鸡群', '野鹤在鸡群', '野鹤立鸡群', '鹤举鸡群', '鹤在鸡群', '鹤处鸡群', '鹤立群', '鹤行鸡群', '人中嵇绍']
攀龙附凤	['攀龙附凤', '攀鳞', '攀鳞附翼', '附翼攀鳞', '附凤', '攀龙鳞', '附凤翼', '攀附', '攀龙托凤', '攀龙附骥', '附凤翔', '攀凤翼']
乘龙出鼎湖	['鼎湖', '遗弓', '龙髯', '弓剑', '桥山', '攀慕', '鼎成', '龙去鼎湖', '遗弓剑', '号弓', '弓堕', '攀号', '攀髯', '黄帝已乘龙去', '龙胡', '调鼎', '失弓', '乘龙出鼎湖', '乘龙1', '乌号', '乌嗥', '乌弓', '乌号思', '剑鼎', '升龙', '哭遗弓', '哭堕髯', '哭湖弓', '堕弓', '堕乌号', '弓剑之思', '弓剑桥山', '捧弓号', '攀弓剑', '攀龙', '攀鼎湖髯', '桥山弓剑', '桥山龙去', '泣鼎湖', '荆山鼎成', '遗', '髯鼎升遐', '髯断', '黄帝登仙', '黄帝上天', '黄帝骑龙', '鼎成龙去', '铸鼎', '鼎成仙驭']
辽东鹤	['化鹤', '鹤归', '鹤归华表', '丁令威', '辽东白鹤', '辽东华表', '鹤姓丁', '辽东鹤', '辽阳鹤', '丁令', '千年', '辽鹤', '辽海故家', '归鹤', '华表', '孤鹤', '辽东', '辽东归鹤', '辽城鹤', '辽天归鹤', '辽天老鹤', '辽天鹤', '辽海鹤', '辽门之鹤', '丁令还乡', '丁令归来', '丁家鹤', '丁令鹤', '丁鹤', '丁鹤语', '人民城郭之异', '仙鹤来归', '令威丁', '令威仙', '令威化鹤', '令威华表之感', '令威语', '别后华表', '化鹤仙', '化鹤令威', '化鹤千年', '去山林', '化鹤归来', '化鹤归', '化鹤重来', '化鹤飞还', '千岁鹤', '千年辽鹤', '千岁鹤归', '化鹤还', '千秋化鹤', '华表归', '华表鹤归', '华表歌', '华表鹤', '城是人非', '姓丁仙鹤', '姓丁鹤', '姓丁黄鹤', '孤鹤归飞', '客姓丁', '归华表', '归辽海', '归辽鹤', '归郭令威']
留侯慕赤松	['赤松游', '留侯志', '伴赤松', '赤松意', '赤松期', '留侯慕赤松', '子房心', '子房辞留', '子房逃荣', '留侯却粒', '子房辟谷']
九五飞龙	['龙飞', '飞龙', '九五', '天飞2', '九五飞龙', '九五之尊', '九五之真']
乞墦	['乞墦', '忍耻墦间祭', '乞东郭', '齐人乞食', '乞祭人', '乞墦祭', '墦间得醉', '乞垅', '东墦', '东郭墦', '东郭祭馀', '乞墦人', '乞食齐人', '人乞祭馀']
碧纱笼	['饭后钟', '碧纱笼', '罩碧纱', '拂绀纱', '纱笼护', '护碧纱', '碧纱笼句', '拂笼纱', '碧纱笼护', '碧纱护', '纱碧笼', '笼纱诗', '红袖拂', '纱笼素壁', '纱为笼']
子路负米	['负米', '季路', '子路负米', '仲由负米', '负仲由米']
乘槎	['乘槎', '客星', '仙槎', '客槎', '寻源', '寻河', '支机女', '支机石', '星槎', '机石', '海查', '海槎', '犯斗槎', '海上乘槎客', '上汉查', '乘槎仙去', '乘槎使', '乘槎博望', '乘查博望', '乘槎客', '乘查人', '乘槎河汉', '乘槎云汉', '乘槎天汉', '犯斗', '乘槎犯斗牛', '乘槎霄汉', '乘牛斗槎', '仙查', '逐源', '仙石支机', '使槎', '使臣槎', '使者槎', '八月槎', '八月灵槎', '博望乘槎', '博望槎', '天女支机', '天汉浮槎', '天槎', '天河槎', '奉使槎', '客星槎', '寻河取石', '寻源使', '张骞泛槎', '支机', '支石', '斗楂', '斗边楂', '昆仑槎', '明河槎', '星河槎', '槎上张骞', '槎上汉', '槎客', '查客', '槎泛银河', '槎浮银汉', '汉使槎', '河汉乘槎', '河汉槎']
五车书	['五车书', '五车', '五车富', '五车经典', '五车经史', '五车读', '书富五车', '书五车', '书文五车', '书读五车', '五车二酉', '五车腹笥', '博览五车', '学富五车', '惠施书']
书同文，车同轨	['车书同', '车书', '车书混一', '文轨一']
势如破竹	['破竹之势']
人琴俱亡	['人琴', '痛绝人琴', '人琴两亡', '人琴俱亡', '子敬', '琴亡', '子敬琴', '王琴', '人琴俱绝', '人琴俱逝', '人琴去', '人琴双绝', '人琴已逝', '人琴并亡', '人琴并绝', '人琴恸', '人琴痛', '亡琴', '人琴感', '哭人琴', '怅人琴', '怆人琴', '惜人琴']
人面桃花	['桃花面', '桃花笑', '桃花人面', '人面桃花', '谒浆崔护', '前年崔护', '前度崔郎', '去年崔护', '去年人面', '崔护谒浆', '崔郎重到', '春风人面']
桃花源	['桃源', '武陵溪', '仙源', '桃源洞', '桃花源', '桃源1', '花源', '世外桃源', '桃花洞', '避秦', '桃源路2', '武陵桃花', '桃源路', '桃溪', '桃花流水', '桃花浔', '武陵川', '武陵源', '武陵滩', '武陵花', '秦源', '晋客', '入洞', '桃源人', '桃源士', '桃源客', '武陵客', '桃源想']
以莛撞钟	['以莛扣钟', '寸莛', '持寸莛', '莛撞', '撞钟以寸莛', '寸莛撞鸿钟', '用莛撞钟', '以筳撞钟', '以莛叩钟']
仲子灌园	['灌园', '於陵子', '三咽', '逃相', '仲子灌园', '李螬', '仲子守志', '仲子蔬园', '半李', '啖螬李', '守义辞三公', '於陵之操', '於陵仲子', '於陵', '於陵仲', '於陵偕隐', '於陵拾李螬']
伊尹荷鼎自进	['负鼎', '汤鼎', '干鼎', '身执鼎俎', '伊尹荷鼎自进', '伊尹佐治', '伊尹干汤', '伊尹心', '印以负鼎佩', '尹屈', '烹饪', '庖羞']
伍胥抉目	['抉目', '抉眼', '悬眼', '抉目胥门', '子胥抉眼', '子胥遗身', '子胥', '伍胥抉目', '东门眼', '悬目东门', '悬目', '悬眸', '悬门抉目', '悬首吴阙', '抉目吴门', '抉目东门']
伍胥潮	['素车白马', '灵胥', '灵涛', '子胥鸱夷', '涛', '伍胥涛', '子胥', '白马素车', '胥涛', '胥涛怒', '伍潮', '伍员涛', '子胥沈江', '伍胥潮', '伍员潮', '伍相怒潮', '伍相潮', '乘潮', '伍员白马', '伍子涛', '伍子', '伍相鸱夷', '伍胥神', '前胥后种', '弃江', '子胥潮', '子胥鼓浪', '寒潮泣子胥', '怒潮白马']
伏波聚米	['聚米', '聚米山川', '聚米为山川', '聚米为山谷', '伏波聚米', '伏波米', '画沙聚米', '画灰聚米', '山川米聚', '山形米聚', '山林聚米']
伏青蒲	['青蒲', '伏青蒲', '伏蒲', '伏蒲忠鲠', '谏伏', '谏青蒲', '史丹青蒲']
众口铄金	['铄金', '众口铄金', '众铄金', '谗口铄', '众口销金', '众毁铄黄金', '巧言铄金', '积毁销金', '谗口', '谤消金', '金被烁']
伯乐相马	['伯乐', '相马', '孙阳', '伯乐相马', '孙阳相马', '看']
