sentence	allusion	variation_number	allusion_index	transformed_allusion
十五好诗书，二十弹冠仕。	弹冠相庆	1	[[8, 9]]	[8, 9, 弹冠相庆]
城头鸡鸣声不恶，祖生夜舞司州幕。	闻鸡起舞	1	[[8, 11]]	[8, 9, 10, 11, 闻鸡起舞]
台防提镇亦伙矣，要皆自郐无讥，然且不相能以致败。	自郐无讥	1	[[10, 13]]	[10, 11, 12, 13, 自郐无讥]
顷有人年七十余，置一侍婢，年三十。东坡戏之曰：‘侍者方当而立岁，先生已是古稀年。’	而立岁	1	[[28, 30]]	[28, 29, 30, 而立岁]
恻恻泣路岐，哀哀悲素丝。路岐有南北，素丝易变移。	杨朱泣歧路	1	[[2, 4]]	[2, 3, 4, 杨朱泣歧路]
我们因谈起民族解放的重要，连带想到阻挡这个解放斗争的帝国主义。但同时不要忘却为虎作伥的封建残余的势力。	为虎作伥	1	[[38, 41]]	[38, 39, 40, 41, 为虎作伥]
令弟赠以诗，美言如隋珠。	隋侯之珠	1	[[9, 10]]	[9, 10, 隋侯之珠]
三千初击浪，九万欲抟空。	鲲鹏展翅; 鲲鹏展翅	2	[[0, 1], [3, 4]]	[0, 1, 鲲鹏展翅]; [3, 4, 鲲鹏展翅]
翻飞如可托，长愿在横汾。	汉武横汾	1	[[9, 10]]	[9, 10, 汉武横汾]
推此以论，百兽率舞，潭鱼出听，六马仰秣，不复疑矣。	伯牙鼓琴	1	[[15, 18]]	[15, 16, 17, 18, 伯牙鼓琴]
无复潘舆过院落，空留陶范在庭闱。	剪发待宾	1	[[10, 11]]	[10, 11, 剪发待宾]
便蜡阮孚屐，来登任公台。	阮孚蜡屐	1	[[2, 4]]	[2, 3, 4, 阮孚蜡屐]
勿疑蕉覆鹿，会见竹成龙。	杖化龙	1	[[8, 10]]	[8, 9, 10, 杖化龙]
郿坞久营，兔窟多术，安能根连株拔，风剪霆灭。	燃脐	1	[[0, 1]]	[0, 1, 燃脐]
如使芳执殳效命，早马革裹尸矣！	马革裹尸	1	[[9, 12]]	[9, 10, 11, 12, 马革裹尸]
登龙不敢怀他愿，只望为霖致太平。	傅说霖	1	[[10, 11]]	[10, 11, 傅说霖]
六月槐花飞，忽思莼菜羹。	莼羹鲈脍	1	[[8, 10]]	[8, 9, 10, 莼羹鲈脍]
载舟覆舟，所宜深慎，奔车朽索，其可忽乎?	朽索驭马	1	[[12, 13]]	[12, 13, 朽索驭马]
我醉欲眠便遣客，三年窥墙亦面壁。	东墙窥宋	1	[[8, 11]]	[8, 9, 10, 11, 东墙窥宋]
而臣窃谓耕而不堪其劳，是趣其变，既变而又杀之，则将为武安君之坑赵；禄之而浸不已，是与之权，权则可以有为，则将为慕容垂之归秦矣。	长平之祸	1	[[30, 31]]	[30, 31, 长平之祸]
共素娥青女，一笑相逢，人不见、悄悄霜宫月殿。	青女司霜	1	[[3, 4]]	[3, 4, 青女司霜]
光四十年来断绝此事，（以杜心中常时推敲之弊耳。	推敲	1	[[17, 18]]	[17, 18, 推敲]
将以为天堑不能飞渡，投鞭不足断流耶？	投鞭断流	1	[[10, 11]]	[10, 11, 投鞭断流]
坚辞羽葆与吹铙，翻向天涯困系匏。	匏瓜	1	[[13, 14]]	[13, 14, 匏瓜]
自从壮岁，便绝意于乘轩;况此暮年，益耽情于漱石。	漱石枕流	1	[[21, 22]]	[21, 22, 漱石枕流]
英魂久向兹埋玉，佛面今为汝削金。	埋玉树	1	[[5, 6]]	[5, 6, 埋玉树]
徒歌易水客，空老渭川人。	燕市悲歌	1	[[2, 4]]	[2, 3, 4, 燕市悲歌]
跑竹马的，四挂鸾铃响，扮就了王昭君出塞和亲。	昭君出塞	1	[[15, 18]]	[15, 16, 17, 18, 昭君出塞]
斯道之大域中，我独知之濠上。	濠上观鱼	1	[[11, 12]]	[11, 12, 濠上观鱼]
谁知济川楫，今作野人船。	傅说霖	1	[[2, 4]]	[2, 3, 4, 傅说霖]
庄叟虚悲雁，终童漫识鼮。	木雁; 木雁	2	[[0, 1], [3, 4]]	[0, 1, 木雁]; [3, 4, 木雁]
管个甚沧田桑海，水浅蓬莱。既有恁云霞根蒂，又何嫌土木形骸。	沧海桑田	1	[[3, 6]]	[3, 4, 5, 6, 沧海桑田]
绿蓑泛雨船双桨，紫陌看花杖百钱。	杖头钱	1	[[12, 14]]	[12, 13, 14, 杖头钱]
海客乘槎以登汉，姮娥窃药以奔月。	乘槎	1	[[0, 3]]	[0, 1, 2, 3, 乘槎]
就怕他初出茅庐，不懂规矩，当不来是真的。	三顾茅庐	1	[[3, 6]]	[3, 4, 5, 6, 三顾茅庐]
秋胡子下车，与之以金也。	秋胡戏妻	1	[[0, 1]]	[0, 1, 秋胡戏妻]
知略堪磨盾，文章工斫轮。	轮扁斫轮	1	[[8, 10]]	[8, 9, 10, 轮扁斫轮]
燕文贞公张说，其女嫁卢氏，尚为舅求官，候父朝下而问焉，父不语，但指搘床龟而示之。女拜而归室，告其夫曰：‘舅得詹事矣。’	支床龟	1	[[33, 35]]	[33, 34, 35, 支床龟]
不见裴宽瘗鹿，且看羊续悬鱼。	羊续悬鱼	1	[[9, 12]]	[9, 10, 11, 12, 羊续悬鱼]
今日新秋天气，寡人朝回无事，妃子学得《霓裳羽衣舞》，同往御园中沉香亭下，闲耍一番。	霓裳羽衣曲	1	[[19, 23]]	[19, 20, 21, 22, 23, 霓裳羽衣曲]
旧谙疏懒叔，须汝故相携。	嵇康七不堪	1	[[2, 4]]	[2, 3, 4, 嵇康七不堪]
夜出灞亭虽跌宕，也胜归作老冯唐。	灞陵呵夜	1	[[0, 3]]	[0, 1, 2, 3, 灞陵呵夜]
光武在滹沱有公孙豆粥之荐。至今西北州县有号粥为‘滹沱饭’者。	滹沱麦饭	1	[[24, 26]]	[24, 25, 26, 滹沱麦饭]
愿符千载寿，不羡五株封。	大夫松	1	[[8, 10]]	[8, 9, 10, 大夫松]
万象自觉销磨尽，懒向成都问姓严。	乘槎	1	[[12, 14]]	[12, 13, 14, 乘槎]
承示弃书读律，窃以吾丈机云才藻，燕许文章，鲲化鹏游，得时则驾，何遽无心青紫，转作抱牍依人计耶？	燕公视草	1	[[16, 17]]	[16, 17, 燕公视草]
芒鞋拄杖挂尘屋，神马尻轮歨飞转。	尻轮神马	1	[[8, 11]]	[8, 9, 10, 11, 尻轮神马]
真忧乌喙将无情，兔死狗烹肝脑裂。	烹狗藏弓	1	[[8, 11]]	[8, 9, 10, 11, 烹狗藏弓]
父病不能愈，祷于天，去衣，卧冰上一月。	王祥卧冰	1	[[13, 14]]	[13, 14, 王祥卧冰]
老去惟应思帝力，穷来只合掉书囊。	掉书袋	1	[[12, 14]]	[12, 13, 14, 掉书袋]
将次及赣，因晒书行迟，遂及于难。	晒腹	1	[[6, 7]]	[6, 7, 晒腹]
吾谓人才著书，不应取法于造物，当秋冬其始，而春夏其终，则是能以蔗境行文，而免于江淹才尽之诮矣。	渐入佳境; 江淹梦笔	2	[[31, 32], [39, 42]]	[31, 32, 渐入佳境]; [39, 40, 41, 42, 江淹梦笔]
只知茂陵女，不忆临邛琴。	琴挑文君	1	[[8, 10]]	[8, 9, 10, 琴挑文君]
李斯溷鼠心应动，庄叟泥龟意已坚。	曳尾泥涂	1	[[8, 11]]	[8, 9, 10, 11, 曳尾泥涂]
雨暗灵祠嘶铁骑，月明阴井泣银瓶。	瓶沉簪折	1	[[13, 14]]	[13, 14, 瓶沉簪折]
木雁才不才，吾知《养生主》。	木雁	1	[[0, 4]]	[0, 1, 2, 3, 4, 木雁]
蟾枝交彩清兰署，鸾珮排光映玉除。	蟾宫折桂	1	[[0, 3]]	[0, 1, 2, 3, 蟾宫折桂]
方壶岛客渺难逢，一饼凄凉话故宫。	方丈	1	[[0, 1]]	[0, 1, 方丈]
令亲人蔡儶作牧河济，厚相恩赡，以为东道主人。	东道主	1	[[17, 20]]	[17, 18, 19, 20, 东道主]
这几件东西，奉与姨娘为伐柯之敬。	执柯	1	[[11, 12]]	[11, 12, 执柯]
予丙子以奉使祭告西岳，过之，惜其命名非典，因为易名垫巾，以存林宗之旧，使后来知名流故迹。	林宗折巾	1	[[25, 26]]	[25, 26, 林宗折巾]
二疏散金，陆贾分橐。	疏傅散金	1	[[0, 3]]	[0, 1, 2, 3, 疏傅散金]
挥毫万字，举双白眼送飞鸿。	手挥目送	1	[[7, 11]]	[7, 8, 9, 10, 11, 手挥目送]
向带嵇康疾，意到笔懒从。	嵇康七不堪	1	[[2, 4]]	[2, 3, 4, 嵇康七不堪]
於戏!邦势若此，念积薪之已然;民力几何，惧奔驷之将败。	厝火积薪; 厝火积薪	2	[[9, 10], [12, 13]]	[9, 10, 厝火积薪]; [12, 13, 厝火积薪]
瓮眠思毕卓，糟藉忆刘伶。	瓮间吏部	1	[[0, 1]]	[0, 1, 瓮间吏部]
犹忆，梁鸿庑下，梅福门前，旧曾相识。	梁鸿赁庑	1	[[3, 6]]	[3, 4, 5, 6, 梁鸿赁庑]
须臾海运时，羊角抟风，垂云展翅。	鲲鹏展翅	1	[[11, 14]]	[11, 12, 13, 14, 鲲鹏展翅]
横制八极，克服两京。俗畜来苏之欢，人多徯后之望。	徯后之望	1	[[19, 22]]	[19, 20, 21, 22, 徯后之望]
置我佩衿于城阙，虽区处之未遑，藉卿弹压于京师，实观瞻之攸系。	青衿	1	[[2, 3]]	[2, 3, 青衿]
此必非事实也，留良之罪，在明亡以后，即不能首阳一饿，追迹夷齐，又不能戢影逃名，鸿冥世外，如真山民之比。	鸿飞冥冥	1	[[39, 42]]	[39, 40, 41, 42, 鸿飞冥冥]
缔交君赠缟，投分我忘筌。	缟纻	1	[[3, 4]]	[3, 4, 缟纻]
此心肯与南风竞，已向蒙庄悟木鸡。	纪渻木鸡	1	[[13, 14]]	[13, 14, 纪渻木鸡]
不用借他炊黍枕，何梦非空!	黄粱梦	1	[[4, 6]]	[4, 5, 6, 黄粱梦]
董氏者，其圣足以于百王之蛊，于丧躬亡嗣，谓之“不孝之{旈－方}”，其表曰绝祀，其中坚曰丧先人之智；于胪大山、祀爰居，谓之“渎乱”，其名曰僭越，其实曰惷愚而{艹炅}。	鲁禽情	1	[[54, 56]]	[54, 55, 56, 鲁禽情]
旋见衣冠就东市，忽遗弓剑不西巡。	乘龙出鼎湖	1	[[9, 11]]	[9, 10, 11, 乘龙出鼎湖]
当时带砺在何处，今日子孙无地耕。	河山带砺	1	[[2, 3]]	[2, 3, 河山带砺]
黄庭坚次韵师厚病间十首贝锦不足歌，请陈江汉诗。	贝萋	1	[[11, 12]]	[11, 12, 贝萋]
梦鸟富清藻，通经仍妙年。	罗含吞鸟	1	[[0, 1]]	[0, 1, 罗含吞鸟]
紫电青霜，王将军之武库。	当阳武库	1	[[9, 10]]	[9, 10, 当阳武库]
红輭满枝须作意，莫交方朔施偷将。	方朔偷桃	1	[[10, 13]]	[10, 11, 12, 13, 方朔偷桃]
十年老矣陈琳草，千里归欤张翰鲈。	檄医头疾	1	[[4, 6]]	[4, 5, 6, 檄医头疾]
教陪天子同眠易，要改狂奴旧态难。	狂奴故态	1	[[10, 13]]	[10, 11, 12, 13, 狂奴故态]
分知安樗栎，情忍恋鲈莼。	莼羹鲈脍	1	[[8, 10]]	[8, 9, 10, 莼羹鲈脍]
长缨系越在须臾，看扫蛮烟瘴雨。	终军请缨	1	[[0, 3]]	[0, 1, 2, 3, 终军请缨]
平君笑道：「庆翁又发牢骚了，你难道真要学那信陵君醇酒妇人，把自己身上最重要的国民职任便放弃了么？	醇酒妇人	1	[[24, 27]]	[24, 25, 26, 27, 醇酒妇人]
哲兄登塔日，贤妇下机时。	雁塔题名	1	[[2, 3]]	[2, 3, 雁塔题名]
末从选胜逢君乐，井底深寒六月霜。	六月飞霜	1	[[12, 14]]	[12, 13, 14, 六月飞霜]
何必一定要救我回来，做人家的眼中钉，肉中刺！	眼中钉; 眼中钉	2	[[14, 16], [18, 20]]	[14, 15, 16, 眼中钉]; [18, 19, 20, 眼中钉]
飞鸟吐火烧青松，鸣雨鸣风怪哉虫。	秦狱气	1	[[12, 14]]	[12, 13, 14, 秦狱气]
幸免如新分非浅，祝君长咏梦熊诗。	梦熊罴	1	[[12, 13]]	[12, 13, 梦熊罴]
相将菌阁卧青溪，且用藤杯泛黄菊。	东篱菊	1	[[13, 14]]	[13, 14, 东篱菊]
弹冠俟知己，知己谁不然?	弹冠相庆	1	[[0, 1]]	[0, 1, 弹冠相庆]
烟火七里曰东淘，淘上儒生饥拾橡……官长自顾室何如?生鱼釜中游荡荡。	甑尘釜鱼	1	[[25, 28]]	[25, 26, 27, 28, 甑尘釜鱼]
始信安期术，得尽养生年。	安期遗舄	1	[[2, 4]]	[2, 3, 4, 安期遗舄]
击壤翁知否，吾皇即帝尧。	击壤歌	1	[[0, 2]]	[0, 1, 2, 击壤歌]
词藻世传平子赋，园林人比郑公乡。	郑公乡	1	[[12, 14]]	[12, 13, 14, 郑公乡]
越王故国四围山，云气犹屯虎豹关。	九关虎豹	1	[[12, 14]]	[12, 13, 14, 九关虎豹]
若夫景公齐山，荆卿燕市，孟尝闻琴，马迁废史。	燕市悲歌	1	[[7, 10]]	[7, 8, 9, 10, 燕市悲歌]
他的质当从来饶本，有的是隋珠和玉，赤仄金银。	和氏之璧	1	[[12, 15]]	[12, 13, 14, 15, 和氏之璧]
《梁书》曰：沈约病，梦齐和帝剑断其舌，令巫视之，言如梦。	沈约瘦	1	[[6, 8]]	[6, 7, 8, 沈约瘦]
这冤怎伸，硬叠成曾参杀人。	曾参杀人	1	[[8, 11]]	[8, 9, 10, 11, 曾参杀人]
莫道长安近于日，升天却易到城难。	日近长安远	1	[[2, 6]]	[2, 3, 4, 5, 6, 日近长安远]
王母桃花千遍红，彭祖巫咸几回死。	王母蟠桃	1	[[0, 3]]	[0, 1, 2, 3, 王母蟠桃]
今世之醇酒妇人以求必死者，有几人哉!	醇酒妇人	1	[[3, 6]]	[3, 4, 5, 6, 醇酒妇人]
资尔屈伸功用毕，莫将良器等忘筌。	得鱼忘荃	1	[[13, 14]]	[13, 14, 得鱼忘荃]
人生相遇贵相知，孰谓世间无伯乐?	伯乐相马	1	[[10, 14]]	[10, 11, 12, 13, 14, 伯乐相马]
隋堤旧事无人问，两两垂杨系客舟。	隋堤; 隋堤	2	[[0, 1], [10, 11]]	[0, 1, 隋堤]; [10, 11, 隋堤]
翘材必定延枚叟，宣室终须记贾生。	东阁招贤	1	[[0, 1]]	[0, 1, 东阁招贤]
周瑜为居巢长，将数百人故过候肃并求资粮，肃家有两米各三千斛，肃乃指一与周瑜，瑜亦知其奇也，遂相亲结，定侨札之分。	缟纻	1	[[51, 54]]	[51, 52, 53, 54, 缟纻]
梁何逊拟轻薄篇曰：城东美少年，重身轻万亿，拓弹随珠丸，白马黄金饰，长安九逵上，青槐阴道植，毂击晨已喧，肩摩暗不息，走狗通西望，牵牛亘南直，相期百戏傍，去来三市侧，象床沓绣被，玉盘传绮食。	隋珠弹雀	1	[[22, 23]]	[22, 23, 隋珠弹雀]
抠衣无几何，叉手一韵成。	叉手吟	1	[[6, 10]]	[6, 7, 8, 9, 10, 叉手吟]
襟披胸可穿，沙射目且瞑。	含沙射影	1	[[6, 7]]	[6, 7, 含沙射影]
仙桃方照灼，人柳正蹁跹。	汉柳三眠	1	[[6, 7]]	[6, 7, 汉柳三眠]
按畋诗云；「终是圣明天子事，景阳宫井又何人？	景阳井	1	[[14, 17]]	[14, 15, 16, 17, 景阳井]
西笑君先听汉履，上供我未拍洪肩。	郑履	1	[[4, 6]]	[4, 5, 6, 郑履]
合沓饥鸱号，排荡飞鹢退。	六鹢风	1	[[8, 10]]	[8, 9, 10, 六鹢风]
只应七夕回天浪，添作湘妃泪两行。	湘妃竹	1	[[10, 12]]	[10, 11, 12, 湘妃竹]
东吴耗费钱粮，玄德公坐收渔人之利。	鹬蚌相持，渔人得利	1	[[12, 15]]	[12, 13, 14, 15, 鹬蚌相持，渔人得利]
酌以广州泉，不易伯夷志。	酌贪泉	1	[[2, 4]]	[2, 3, 4, 酌贪泉]
五湖纵与家山近，宣室还劳召贾生。	宣室召	1	[[12, 14]]	[12, 13, 14, 宣室召]
撰取良时作胜游，三人同载木兰舟。	木兰舟	1	[[12, 14]]	[12, 13, 14, 木兰舟]
趁绿鬓朱颜，须入凌烟画。	凌烟阁	1	[[8, 10]]	[8, 9, 10, 凌烟阁]
平生舐犊心，时时背灯笑。	老牛舐犊	1	[[2, 4]]	[2, 3, 4, 老牛舐犊]
两子合世扶身，李郭同心而兴唐室；子孙为将，世为国君。	李郭同舟	1	[[7, 8]]	[7, 8, 李郭同舟]
功成名遂，鸿飞冥冥，托以辟谷，自卜寿茔在徐州房山。	鸿飞冥冥	1	[[5, 8]]	[5, 6, 7, 8, 鸿飞冥冥]
妒杀避人闲道士，米家船上看秋山。	米家书画船	1	[[8, 10]]	[8, 9, 10, 米家书画船]
国内和国外尽管有一些吠尧桀犬，它们的狂吠只表现了它们的可怜。	桀犬吠尧	1	[[10, 13]]	[10, 11, 12, 13, 桀犬吠尧]
将仰止于乐冰，冀参差于卫玉。	冰清玉润	1	[[11, 12]]	[11, 12, 冰清玉润]
遥知送别处，醉墨争淋纸。我以病杜门，《商颂》空振履。	捉衿见肘; 捉衿见肘	2	[[19, 20], [23, 24]]	[19, 20, 捉衿见肘]; [23, 24, 捉衿见肘]
凭君寄谢江南叟，念我空见长安日。	日近长安远	1	[[12, 14]]	[12, 13, 14, 日近长安远]
野岸明媚山芍药，水田叫噪官虾蟆。	晋惠闻蛙	1	[[12, 14]]	[12, 13, 14, 晋惠闻蛙]
属叨金马署，又点铜龙门。	玉堂金马	1	[[2, 4]]	[2, 3, 4, 玉堂金马]
我醉欲眠君罢休，已教从事到青州。	青州从事	1	[[10, 14]]	[10, 11, 12, 13, 14, 青州从事]
树指甘棠爱，童骑竹马骄。	竹马交迎	1	[[6, 9]]	[6, 7, 8, 9, 竹马交迎]
举首长安知日近，肯留河上再迁延?	日近长安远	1	[[5, 6]]	[5, 6, 日近长安远]
字体整齐，凡十有二字头.「俗呼字母为字头.」及定鼎，遂分布各省，使其驻防，膏粱豢养，寖且惰弱，言文习惯，多与汉族同化矣。	问鼎	1	[[23, 24]]	[23, 24, 问鼎]
四围炮火，中天掣列缺之鞭;一片刀光，半夜射望诸之魄。蝟蜂立折，螳斧徒劳。	螳臂当车	1	[[31, 32]]	[31, 32, 螳臂当车]
不待金屏射，何劳玉手裁?	锦屏射雀	1	[[2, 4]]	[2, 3, 4, 锦屏射雀]
公虽自信清约，外人颇有公孙布被之讥。	公孙布被	1	[[11, 14]]	[11, 12, 13, 14, 公孙布被]
蜡屐寻山娴相地，缊袍入座侈谈天。	阮孚蜡屐	1	[[0, 1]]	[0, 1, 阮孚蜡屐]
内苑只知含凤嘴，属车无复插鸡翘。	续弦胶	1	[[5, 6]]	[5, 6, 续弦胶]
论者以妄责四皓，而欲买山于浯溪之间，不徒言哉!	支遁买山	1	[[10, 11]]	[10, 11, 支遁买山]
某久疏麈尾之诲，喜闻鹢首之来。	麈尾清谈	1	[[3, 6]]	[3, 4, 5, 6, 麈尾清谈]
老尉鸿飞隐市门，千年犹有旧巢痕。	吴市隐	1	[[4, 6]]	[4, 5, 6, 吴市隐]
济之以粉昆(指韩忠彦)，朋类错立。	傅粉何郎	1	[[3, 4]]	[3, 4, 傅粉何郎]
则笺简二字中，便有无穷本义，鱼书雁帛而外，不有竹刺之式可为乎?	雁足书	1	[[14, 17]]	[14, 15, 16, 17, 雁足书]
愿借酒杯，预贺看花之喜。	春风得意	1	[[7, 10]]	[7, 8, 9, 10, 春风得意]
庭树千花发，阶蓂七叶新。	蓂荚	1	[[6, 7]]	[6, 7, 蓂荚]
橘怀三个去，梅折一枝将。	陆凯传情	1	[[6, 9]]	[6, 7, 8, 9, 陆凯传情]
再寻畏迷误，明发更登历。笑谢桃源人，花红复来觌。	桃花源	1	[[14, 16]]	[14, 15, 16, 桃花源]
爱如寒炉火，弃若秋风扇。	班姬咏扇	1	[[8, 10]]	[8, 9, 10, 班姬咏扇]
分竹雄兼使，南方到海行。	分虎竹	1	[[0, 1]]	[0, 1, 分虎竹]
欲市金台骏，黄河又不冰。	黄金台	1	[[2, 4]]	[2, 3, 4, 黄金台]
掉头不肯书柿叶，酒酣起舞怒奋髯。	柿叶学书	1	[[4, 6]]	[4, 5, 6, 柿叶学书]
蝉声流别浦，鸦背入斜曛。	送君南浦	1	[[3, 4]]	[3, 4, 送君南浦]
江北江南，风貌崔徽在。	崔徽图画	1	[[7, 8]]	[7, 8, 崔徽图画]
自索东方米，谁多季子金?	索米长安	1	[[2, 4]]	[2, 3, 4, 索米长安]
一霎时情生景，境生情，伤心歧路泣亡羊。	歧路亡羊	1	[[13, 17]]	[13, 14, 15, 16, 17, 歧路亡羊]
精卫衔木石，谁能测幽微?	精卫填海	1	[[0, 4]]	[0, 1, 2, 3, 4, 精卫填海]
六国唯求客，千金遂筑台。	黄金台; 黄金台	2	[[6, 7], [9, 10]]	[6, 7, 黄金台]; [9, 10, 黄金台]
光光段生，出幽迁乔，资忠履信，武烈文昭。	出谷迁乔	1	[[5, 8]]	[5, 6, 7, 8, 出谷迁乔]
虽未通币帛之仪，料必作瑟琴之眷。	琴瑟	1	[[11, 12]]	[11, 12, 琴瑟]
儒林身负三朝望，廉吏家余四壁风。	家徒四壁	1	[[10, 14]]	[10, 11, 12, 13, 14, 家徒四壁]
金印明年如斗。向中州，锦衣行昼。	衣绣夜行	1	[[11, 14]]	[11, 12, 13, 14, 衣绣夜行]
其间旦暮闻何物?杜鹃啼血猿哀鸣。	望帝啼鹃	1	[[8, 11]]	[8, 9, 10, 11, 望帝啼鹃]
真罕，一霎儿向宫闱腹坦。	坦腹东床	1	[[9, 10]]	[9, 10, 坦腹东床]
从此定知年谷熟，姑山亲见雪肌肤。	姑射	1	[[12, 14]]	[12, 13, 14, 姑射]
射穿杨叶才兼武，智察秋毫判似神。	百步穿杨	1	[[0, 3]]	[0, 1, 2, 3, 百步穿杨]
燕歌远别，悲不自胜。	燕市悲歌	1	[[0, 1]]	[0, 1, 燕市悲歌]
举头西北浮云，倚天万里须长剑。人言此地，夜深长见，斗牛光焰。	丰城剑气	1	[[25, 28]]	[25, 26, 27, 28, 丰城剑气]
七处征它天外天，毫光直射阿难肩，瞿昙忒煞怜儿切，逼得鲇鱼上竹竿。	鲇鱼上竹竿	1	[[26, 30]]	[26, 27, 28, 29, 30, 鲇鱼上竹竿]
萧瑀非出于空桑，乃遵无父之教。	出空桑	1	[[3, 6]]	[3, 4, 5, 6, 出空桑]
主人灵圣尤难测，驱驾风云归顷刻，周游八极隘四溟，固知不是池中物。	非池中物	1	[[28, 30]]	[28, 29, 30, 非池中物]
谁信得、旧日风流，如今憔悴，换却五陵年少。	五陵年少	1	[[16, 19]]	[16, 17, 18, 19, 五陵年少]
对妆面、忍听羌笛，又还空断人肠。	梅花妆	1	[[1, 2]]	[1, 2, 梅花妆]
春光过也，风僝雨僽，一叶秋来。	一叶知秋	1	[[10, 12]]	[10, 11, 12, 一叶知秋]
白马素车江海上，依然潮汐撼西兴。	伍胥潮	1	[[0, 3]]	[0, 1, 2, 3, 伍胥潮]
君持苏生节，冒死决蒺藜。	苏武节	1	[[2, 4]]	[2, 3, 4, 苏武节]
每笑弹长铗，常嗟助揠苗。	揠苗助长; 冯驩弹铗	2	[[9, 10], [2, 4]]	[9, 10, 揠苗助长]; [2, 3, 4, 冯驩弹铗]
郭暧尝与升平公主琴瑟不调。	琴瑟	1	[[8, 11]]	[8, 9, 10, 11, 琴瑟]
暂烦淮阳卧，还卜颍川相。	卧治	1	[[2, 4]]	[2, 3, 4, 卧治]
兹乃乘逆贼稽诛，王师暂息，遂欲雄据江南，坐享渔人之利。	鹬蚌相持，渔人得利	1	[[22, 25]]	[22, 23, 24, 25, 鹬蚌相持，渔人得利]
九四：鼎折足，覆公𫗧，其形渥，凶。	折鼎覆𫗧	1	[[3, 4]]	[3, 4, 折鼎覆𫗧]
此诚不足患，却是吴三桂坐拥雄藩，将来必倡大乱，广西唇辅相连，但恐封疆延祸矣。	虢灭虞亡	1	[[25, 28]]	[25, 26, 27, 28, 虢灭虞亡]
文如翻水成，赋作叉手速。	叉手吟	1	[[8, 10]]	[8, 9, 10, 叉手吟]
或因属国老牧羝，端藉帛书詟蛮夷。	苏武节	1	[[5, 6]]	[5, 6, 苏武节]
昔有绝谷弃美，不畜妻妾，超然独往，浩然得意，顾影含欢，漱流忘味者，又难胜记也。	闻韶忘味; 漱石枕流	2	[[29, 30], [27, 28]]	[29, 30, 闻韶忘味]; [27, 28, 漱石枕流]
援毫犹记趋《南史》，誓墓还谁起右军。	羲之誓墓; 羲之誓墓	2	[[10, 11], [15, 16]]	[10, 11, 羲之誓墓]; [15, 16, 羲之誓墓]
