sentence	variation_number	allusion	allusion_index
屐履上层阁，披襟当九秋。	1	谢公屐	[[0, 2]]
聊学抽毫而进牍，岂追羡鱼以临川。	1	临河羡鱼	[[10, 11]]
三弄笛，岳阳楼外，天远霞红。	1	桓伊三弄	[[0, 2]]
惭余亦与山公札，抱病推迁累养生。	1	山公启事	[[4, 7]]
何劳问唐举，彻尾是清寒。	1	蔡泽年寿	[[2, 5]]
况蓝田美邑，黄绶清流，旋观冉冉之趋，倍庆怡怡之乐。	2	东方千骑, 东方千骑	[[13, 15], [16, 17]]
压篷大雪苦无饮，至今典却相如裘。	2	典鹔鹴裘, 典鹔鹴裘	[[-1, 1], [13, 15]]
黄花心事一帘尘。但频忆，小腰身。	1	樊素	[[12, 15]]
鸾辂已辞乌鹊渚，箫声犹绕凤凰台。	1	乌鹊填桥	[[4, 7]]
山中久不见神骏，世上人多好画龙。	1	叶公好龙	[[12, 15]]
星娥尺五，佳约误当年。	1	去天尺五	[[2, 3]]
他把满肚子救国强种的经纶都传授了儿子。	1	经纶	[[10, 12]]
生与哙等伍，背汗增愧耻。	1	耻与哙伍	[[2, 4]]
视彭韩之豹变，谓鸷猛致人爵。	1	变豹	[[4, 6]]
问：‘郎何之?’答云：‘为人作寄书邮。’	1	致书邮	[[15, 18]]
那小钻风见他坐在高处，弄獐弄智，呼呼喝喝的，没奈何，只得实说。	1	弄獐弄智	[[11, 14]]
有心思绿野，无意上青霄。	1	绿野堂	[[3, 4]]
在昔右丞妙诗画，《辋川》旧本留清风。	1	辋川	[[9, 11]]
赠我连城杂照乘，一夜空斋横白。	1	魏车委照	[[5, 6]]
栖托难高卧，饥寒迫向隅。寂寥相喣沫，浩荡报恩珠。	1	相濡以沫	[[14, 17]]
悬藜乙夜，长翻天禄之书。	1	青藜照阁	[[0, 4]]
一别十年无尺素，归时莫赠路旁金。	1	秋胡戏妻	[[11, 15]]
他们都是你舅舅的相识，你何无爱屋及乌情?	1	爱屋及乌	[[14, 18]]
鼎湖髯断去难攀，九五飞龙已御乾。	1	九五飞龙	[[8, 12]]
青霄直上云梯易，白首能坚铁壁难。	1	青云自致	[[0, 4]]
还以与妻，妻曰：闻志士不饮盗泉之水；廉者不受嗟来之食。	1	嗟来之食	[[22, 25]]
方回日长三十韵寄赵宾昫栗里渊明径，桤林子美堂。	1	陶潜三径	[[13, 15]]
定知春雨随车到，且喜秋风破浪归。	1	甘雨随车	[[2, 6]]
他年何必问谁健，但令不负持螯手。	1	持螯把酒	[[12, 15]]
重来一梦觉黄粱，空烟水微茫。	1	黄粱梦	[[2, 7]]
‘口蜜腹剑’却真成了小人了。	1	口蜜腹剑	[[1, 4]]
赤帝鞭车堕云衢，烛龙骈头浦还珠。	1	合浦珠还	[[12, 15]]
为访祖龙鞭石处，拇窠履迹定何如?	1	驱石驾沧津	[[2, 6]]
姑娘纵然不便一诺千金，一定是两心相印。	1	一诺千金	[[6, 10]]
不辜负三春雨露，才算得万里扶摇。	1	鲲鹏展翅	[[11, 15]]
闻喜宴游秋色雅，慈恩题记墨行清。	1	雁塔题名	[[8, 12]]
我亦陆沉斯世者，买邻何日许相陪?	1	陆沉	[[2, 4]]
归路芙蓉府，离堂瑇瑁筵。	1	莲幕	[[2, 5]]
凭他添个婵娟侍，未必金钗赛璧人。	2	看杀卫玠, 莫愁	[[13, 14], [10, 11]]
仆本恨人，强为排遣，飞鸿踏雪，动留爪痕，醇酒美人，前尘影事，麹尘如海，绿叶易阴，他日杜牧寻人，又添一番惆怅矣。	2	醇酒妇人, 鸿爪雪泥	[[20, 23], [10, 13]]
边生经笥，送炎气以濯缨;郝氏书囊，临秋光而曝背。	1	晒腹	[[12, 16]]
当时若只供香案，只好坐看峨眉六月霜。	1	六月飞霜	[[14, 16]]
大君先息战，归马华山阳。	1	归马放牛	[[6, 11]]
东北情形，好似个‘山河风景原无异，城郭人民已半非’。	0	nan	[]
岷峨凄怆百蛮秋，路折邛崃九坂愁。	1	王尊叱驭	[[12, 15]]
彼勿叹凤衰，此正歌鸿冥。	1	接舆歌凤	[[2, 5]]
古今诗人，间见层出，极有佳句，无人收拾，尽成遗珠。	1	沧海遗珠	[[22, 23]]
车鱼郑重知难报，吐握周旋不可论。	1	冯驩弹铗	[[0, 2]]
若过君平肆，究通可问焉。	1	成都卖卜	[[2, 5]]
文昌座下为文使，不赴蟠桃也是仙。	1	王母蟠桃	[[10, 11]]
不弱如待月张生，偷香韩寿，谒浆崔护。	1	贾女香	[[8, 12]]
今兹火用事，日永南风竞。	1	南风不竞	[[8, 10]]
卜良道：‘妙计安在?我当筑坛拜将。’	1	韩信登坛	[[12, 16]]
路迢迢，霜径迷荒草，险似王阳道。	1	王尊叱驭	[[12, 15]]
掷金换得天边桂，凿壁偷将榜上名。	1	掷地金声	[[0, 2]]
身到衡阳休北望，最关心处是鸿鱼。	1	鱼传尺素	[[13, 15]]
偶觉空群马，人疑泛月船。	1	乘槎	[[8, 11]]
幸遇英雄相救，指望托以终年，谁知事既不谐，反涉瓜李之嫌。	1	瓜田李下	[[23, 27]]
尚耽书味忘漂麦，未长诗功想揠苗。	1	高凤漂麦	[[4, 7]]
如曰不然，于此投笔，兄肥弟瘦，无复相见之期，让枣推梨，永罢欢愉之日。	2	推梨让枣, 兄肥弟瘦	[[22, 25], [10, 13]]
种瓜温处《儒林传》：新丰有愍儒乡，秦既焚书，拜诸生为郎七百人。	1	焚书坑儒	[[19, 20]]
便做些功业，胜穷措大，聚萤武子，吞凤君章。	1	罗含吞鸟	[[16, 18]]
昨宵梦夫婿，白马章台走。	1	走马章台	[[6, 11]]
乞浆崔护今憔悴，怕重寻、笑人桃靥 。	1	人面桃花	[[0, 4]]
玉堂人物今安在?纸尾题诗一慨然。	1	玉堂金马	[[0, 4]]
云何寂寥，跬步山川;负盐挽磨，泪湿九泉。	1	骥伏盐车	[[10, 12]]
重城傍水，中有吹箫俦侣。	1	乘鸾	[[7, 11]]
长安传坐，恩礼盛于西京;襄阳堕泪，悲恸喧于南北。	1	堕泪碑	[[12, 16]]
即此便是蓬莱客，绝胜王母宴皤桃。	1	蓬莱	[[4, 5]]
空遗运斤质，却吊断弦人。	1	伯牙鼓琴	[[8, 11]]
全凭仗金投暮夜，把一身离阱穴。	1	四知金	[[3, 7]]
身事何须问，余心正四愁。	1	平子四愁	[[9, 10]]
镇吏闲人散，看山拄笏。也同秋士，寂寞江滨。	1	拄笏看山	[[6, 10]]
晨昏风雨，随闻随述，非笺疏也。	1	晨昏定省	[[0, 1]]
已授一编圯下，却须三顾隆中。	1	圯桥进履	[[2, 6]]
幕府十年之未久，角巾两火之可逃。	1	角巾东路	[[8, 9]]
老去惟应思帝力，穷来只合掉书囊。	1	掉书袋	[[12, 14]]
若不仰投门馆，虔伫发扬，则永携疑玉以汍澜，长伴哑钟以泯默。	1	和氏之璧	[[15, 17]]
遥识湖湘清德在，有人堕泪岘碑前。	1	堕泪碑	[[10, 14]]
为问元戎窦车骑，何时反旆勒燕然?	1	勒铭燕然	[[4, 7]]
京兆画眉樊素口，风姿别是闺房秀。	1	樊素	[[4, 7]]
七宝团圞，周三万六千年内;一轮皎洁，满一千二百里中。	1	玉斧修月	[[0, 4]]
南犬固应多吠雪，夏虫那得解知冰。	2	粤犬吠雪, 夏虫语冰	[[5, 6], [13, 14]]
将怜其蛙蛤剖胎，只自回旋于皎月;螗螂奋臂，无辞殒碎于高车。	1	螳臂当车	[[16, 20]]
南郡传纱帐，东方让锦袍。	1	绛帐	[[2, 5]]
讵意变唐宋为骚雅，君臣笑辞辇登床；浸假改右相为丹青，父子叹含丹吮粉。	1	班妾辞辇	[[12, 13]]
天怜孝子帆无恙，海畏才人浪不狂。	1	布帆无恙	[[4, 7]]
昔人云：牡丹须着以翠楼金屋，玉砌雕廊，白鼻猧儿，紫丝步障，丹青团扇，绀绿鼎彝。	1	金屋藏娇	[[11, 12]]
胡威推缣，陆绩怀橘。	1	陆绩怀橘	[[5, 9]]
做数珠见，刻画毋盐唐突。	1	刻画无盐，唐突西施	[[5, 9]]
闻笛何人吹笛傍江干，木落淮南夜色寒。	1	山阳笛	[[0, 1]]
虚堂来清风，岩电炯相烛。	1	岩下电	[[6, 7]]
殉情奉倩空千古，愁绝安仁只悼亡。	1	荀令伤神	[[0, 4]]
铄金祗为招群忌，投杼何当慰母疑?	1	众口铄金	[[0, 2]]
明经入仕者，速升于青紫；服田力穑者，累溢于仓箱。	1	千仓万箱	[[21, 22]]
陆机之赋，虚握灵珠;孙绰之铭，空擅昆玉。	1	隋侯之珠	[[7, 9]]
听水听松方属我，灞桥风雪可寒盟。	1	骑驴索句	[[8, 11]]
正义曰：此乃迁动，而云安者，以狐死首丘，人生恋旧，往彼灵王逼徙，元情悉眷故居，平王今复从其所欲，民心获安，故云得安民之礼也。	1	狐死首丘	[[15, 18]]
多少行人被陆沉，至今几个眼无屑？	1	陆沉	[[5, 6]]
鹊巢比德，相夫益勉于晨昏;鸠养一心，鬻子无间于毛里。	1	鸤鸠之仁	[[13, 17]]
猫竹为墙杉作城，白日赤丸盗公行。	1	探丸借客	[[8, 12]]
夜深梦魂先飞去，风雨对床闻晓钟。	1	夜雨对床	[[8, 12]]
印氏式微之日，此女仆作董字赝本鬻之，颇得善价，因以为活。	1	歌式微	[[2, 3]]
可笑沉碑忧岸谷，谁能把酒对江山?	1	杜预沉碑	[[2, 7]]
要当食肉似班超，猛虎何曾窥案俎!	2	封侯万里, 封侯万里	[[2, 4], [5, 7]]
林石涧杂咏蓂荚阶前日月飞，羹墙惆怅望尧眉。	1	蓂荚	[[5, 6]]
十年萤案书连屋，八月龙湾浪拍天。	1	孙康映雪	[[2, 4]]
后游常州，会唐宰相马植谪官，量移常州刺史。	1	伯乐相马	[[8, 9]]
且谓蕞尔土司，即扫穴犁庭，不足示武。	1	犁庭扫穴	[[8, 12]]
馀胆罢含，断机尚在，未尝不指随心痛，目与云飞。	1	白云亲舍	[[18, 22]]
风尘日已远，郡枕子陵溪。始见神龟乐，优优尾在泥。	1	曳尾泥涂	[[14, 17]]
以满人窃位之私心，开汉族仇杀之惨祸，操戈同室，贻笑外人。	1	同室操戈	[[18, 22]]
伊浦凤翔，缑峰鹤至。	1	王乔控鹤	[[5, 8]]
鹊石文垂早建牙，归来长啸饵丹砂。	1	鹊石	[[0, 2]]
身塔不出虎溪，泪碑有同羊岘。	1	堕泪碑	[[11, 13]]
千里音书慰离索，莫言天远费鳞鸿。	1	鱼传尺素	[[13, 15]]
君诗高处古无师，岛瘦郊寒讵足差。	1	郊寒岛瘦	[[8, 11]]
或以前为后，以虚为实，移的就箭，曲取相谐，掩耳盗钟，自云无觉，讵知后生可畏，来者难诬者邪!	1	掩耳盗铃	[[21, 25]]
纱纬半卷。记云亸瑶山，粉融珍簟。	1	玉山	[[8, 10]]
且将扁鹊巧心手，去作双鸾系足人。	1	月下老人	[[12, 15]]
鲊酱胎卵兼油腻，陈臭腌藏皆阴类，老年切莫喜食之，是借寇兵无以异。	1	借寇恂	[[25, 26]]
望林止渴功就，不数夭桃繁杏。	1	望梅止渴	[[0, 4]]
夕冰承命出，昼锦过乡来。	1	饮冰内热	[[0, 2]]
这是他的一些前僚所望尘莫及的，这也正是山本之所以为陆军部器重之所在。	1	望尘莫及	[[9, 13]]
只宜清心细将养，庶乎二竖离身边。	1	病入膏肓	[[10, 11]]
文君新寡乍归来，羞怨春风不能哭。	1	琴挑文君	[[0, 4]]
《黄鹤》悲歌绝，《椒花》清颂余。	2	椒花颂, 椒花颂	[[9, 11], [12, 14]]
曷去化铁砚，静默而宁康。	1	磨穿铁砚	[[3, 4]]
赤绳子耳。以系夫妻之足，及其生，则潜用相系，虽仇敌之家，贵贱悬隔，天涯之宦，吴楚异乡，此绳一系，终不可易。	2	月下老人, 月下老人	[[-1, 1], [-1, 1]]
人臣之谬思乱者，乃螳臂之拒走轮耳。	2	螳臂当车, 螳臂当车	[[9, 11], [-1, 1]]
月纤张敞画，荷妖韩寿香。	1	张敞画眉	[[2, 5]]
党人多被迫逃散，革命大业，几功亏一篑。	1	功亏一篑	[[14, 17]]
大道冥冥不知处，那堪顿得羲和辔。	1	羲和驭日	[[12, 15]]
金悬秦市，扬子见而无言;纸贵洛城，陆生闻而罢笑。	1	一字千金	[[0, 4]]
于时曜灵俄景，继以望舒，极盘游之至乐，虽日夕以亡劬。	1	月御	[[9, 10]]
邹衍无罪，见拘于燕，当夏五月，仰天而叹，天为陨霜。	1	六月飞霜	[[20, 23]]
教知蔡妇潸然意，可比神仙噀酒神。	1	栾巴噀酒	[[12, 13]]
三冬辞裙布，万里隔荆株。	1	田家荆合	[[9, 11]]
金兰徒有契，玉树已埋尘。	2	埋玉树, 埋玉树	[[6, 8], [9, 11]]
那些个‘阳春白雪’调偏高，赋写甄神醉里邀，风流难过五陵豪。	1	洛神	[[15, 17]]
眼中堪恨埋琼树，天上徒闻有玉楼。	1	玉楼受召	[[13, 15]]
醉情啼枕冰，往事分钗燕。三月灞陵桥，心剪东风乱。	1	灞桥	[[14, 17]]
侠客珠弹垂杨道，倡妇银钩采桑路。	1	隋珠弹雀	[[2, 4]]
竟成黄犬叹，莫遂白鸥期。	1	叹黄犬	[[2, 5]]
鸟去悲良弓，弃置如遗垢。	1	烹狗藏弓	[[2, 5]]
昔刘宋杀檀道济，道济下狱，嗔目曰：「自坏汝万里长城！	1	长城自坏	[[21, 24]]
众口可以铄金，谗言三至，慈母不亲，愤愤俗间，不辨伪真。	1	曾参杀人	[[7, 11]]
虽有吞鸟梦花之心手，莫能追述。	1	罗含吞鸟	[[2, 5]]
王尊又上邛徕坂，刘秩真当曳落河。	1	王尊叱驭	[[4, 7]]
今臣之信行，未若曾参之著;而谗构沸腾，非徒三夫之对，外内扇助，为二五之应。	1	曾参杀人	[[21, 25]]
方倚世𪟝为长城，冀淮阳之卧治，何图积勚，遽遘沉疴，江水无情，大星竟陨。	1	卧治	[[9, 13]]
叶落永离，覆水不收，赤子何辜，罪我之由？	1	覆水难收	[[5, 8]]
再拜君之言，书绅戒荒怠。	1	书绅	[[6, 7]]
明眼空青，忘忧萱草，翠玉闲淡梳妆……难忘处，良辰美景，襟袖有余香。	1	萱草忘忧	[[5, 9]]
流萤尚作芜城梦，跨鹤真同华表归。	1	辽东鹤	[[12, 15]]
沧海桑田有时。海若未枯，愁应无已。	1	沧海桑田	[[0, 4]]
途殚泣西狩，望绝起东山。	1	东山再起	[[8, 11]]
风景不殊人不见，谢家飞絮满江南。	1	咏絮	[[8, 12]]
曾不闻吐珠衔环，效蛇雀之报。	1	隋侯之珠	[[9, 13]]
胸中马骏，握内蛇灵。	1	隋侯之珠	[[7, 9]]
西曹旧事多持法，慎莫吐他丞相茵。	2	醉吐相茵, 醉吐相茵	[[-1, 1], [13, 15]]
寂寞申公谢客时，自言已见穆生机。	1	楚筵辞醴	[[12, 15]]
嗟余忝载笔，鼠璞难自衒。	1	鼠璞	[[6, 7]]
即收《吕览》千金市，直换咸阳许座城。	2	一字千金, 一字千金	[[3, 5], [6, 9]]
不见凌波步。空忆如簧语。柳外重重叠叠山，遮不断愁来路。	1	巧言如簧	[[8, 9]]
空馀剪圭处，无复在孙枝。	1	桐叶之封	[[2, 3]]
恶少数群丸赤白，好官平日毂丹朱。	1	探丸借客	[[4, 7]]
咏雪才名争得似，调羹手段果谁能。	2	咏絮, 盐梅和鼎	[[0, 1], [8, 9]]
自谓。	1	榆枋之见	[[-1, 1]]
汉相家人尚苦疑，不言温室树何枝。	1	温室树	[[10, 12]]
夜深风露娟娟，抱琴谁和流泉。只有乘鸾仙子，见人愁绝无眠。	1	乘鸾	[[16, 20]]
重云不予荫，敢望滋九畹。	1	九畹	[[9, 10]]
甚矣，先生之言!无异杞人之忧天坠也。	1	杞人忧天	[[13, 16]]
尤善丹青，图写特妙。	0	nan	[]
爱而不见，立马章台空便面。	1	走马章台	[[5, 11]]
二物与人初不异，飘落高下随风花。	1	飘茵堕溷	[[12, 15]]
灵辄困桑下，於陵拾李螬。	1	仲子灌园	[[6, 11]]
鹤算龟龄，绛老休夸甲子。	1	绛县老人	[[5, 6]]
共是竹林贤，心从贝叶传。	1	竹林贤	[[2, 5]]
销萌无迹处，庶以固金汤。	1	金城汤池	[[8, 11]]
昔者舜作五弦之琴，以歌《南风》。	1	舜弦	[[12, 13]]
杨柳凋张绪，芙蓉落谢郎。	1	张绪风流	[[3, 4]]
少留青史笔，未敢赤松期。	1	留侯慕赤松	[[8, 11]]
自是霜娥偏爱冷，非关倩女亦离魂。	1	倩女离魂	[[10, 14]]
打鸳鸯分散韩朋，惊蝴蝶不逐庄生。	1	相思树	[[5, 7]]
谁遣离情相扰，要镜里藏春，雪中留爪。	1	鸿爪雪泥	[[13, 17]]
将调梅铉实，不正李园冠。	1	瓜田李下	[[6, 11]]
你若没有相当的聪明去调遣它，没有相当的力气去搬运它，结果只是画虎类狗而已。	1	画虎不成反类狗	[[30, 34]]
夫四序风驰，三光电卷，是以负山岳而舍故，扬舟壑以趋新。	1	藏舟去壑	[[21, 22]]
悔恨欲抉目，未几谢世。	1	伍胥抉目	[[3, 4]]
徙木威轻今不行，投梭谤急事谁明。	1	商鞅徙木	[[0, 1]]
四海方无事，三秋大有年……无穷菊花节，长奉柏梁篇。	1	柏梁宴	[[21, 24]]
但则要捉对儿云期雨约，便是俺师徒每全真了道。	1	巫山云雨	[[6, 10]]
敝庐未解相料理，枉被名卿妒范金。	1	范蠡扁舟	[[13, 15]]
笑子猷访戴，待到门，兴尽归休。	1	访戴	[[1, 5]]
男儿安在有家为，一喝成卢颇自奇。	1	百万呼卢	[[10, 11]]
送朝昏雪案萤灯，三绝韦编，万古群经。	1	囊萤照读	[[5, 7]]
又《哇吹》一册，幸为郢斧。	1	郢匠挥斤	[[10, 12]]
柴荆生事窄，宁忆二疏金。	1	疏傅散金	[[8, 11]]
竖子何劳一除扫，区区犹欲恃膏肓。	1	病入膏肓	[[0, 2]]
衰病复穷途，由来阮生涕。	2	哭穷途, 哭穷途	[[3, 4], [8, 10]]
龙虎一失险，洪波空荡漾。郁郁松柏枝，钟山日相望。	1	龙盘虎踞	[[0, 1]]
壮岁鼓盆，久虚琴瑟之乐。	1	鼓盆	[[2, 4]]
四海无家不说贫，饥来谁敢饭王孙?	1	一饭千金	[[12, 15]]
岂其梦寐也?	2	黄粱梦, 黄粱梦	[[-1, 0], [-1, 1]]
金乌欲上海如血，翠色一点蓬莱光。	1	三足乌	[[0, 2]]
波上精神，掌中态度。分明是、彩云团做。当年飞燕，从今不数。	1	掌上舞	[[5, 9]]
栋高每叹曰：‘便便之腹，真五经笥，但不为孝先便腹耳。’	1	孝先便腹	[[7, 11]]
仙蓬虽误到，残锦只虚名。	1	残锦	[[6, 7]]
有脚阳春司谳听，谩说道官清民靖。	1	有脚阳春	[[0, 4]]
君不见中原将相夸男儿，朝梁暮周皆逆旅。	1	长乐老	[[11, 14]]
盖经系手足三阴三阳之经，脉乃通五官四末之脉，元府则脉中流行，不舍昼夜之气血。	1	逝川	[[30, 33]]
未夕阳先着归鞭，只盼着箫台凤鸟，天边鸾鹤，云中鸡犬。	1	乘鸾	[[11, 13]]
迥过前殿曾学眉，回照长门惯催泪。	2	长门赋, 长门赋	[[10, 12], [13, 15]]
春雷谩说惊坯户，皎日何曾入覆盆。	1	覆盆	[[13, 15]]
陈室何曾扫，陶琴不要弦。	1	无弦琴	[[6, 8]]
仲尼在川上，子牟存阙下。	1	子牟恋魏阙	[[6, 11]]
锦瑟空弹五十弦，九疑数点烟中小。	1	素女弦	[[4, 6]]
余不能如玉叔也，况《史记》耶?夫苟能如玉叔，则亦里之捧心者也。	1	东施效颦	[[26, 28]]
《闽川名士传》曰：贞元中，杜黄裳知贡举试《珠还合浦赋》。	1	合浦珠还	[[21, 24]]
玉润犹沾玉参雪，碧鲜似染苌弘血。	1	苌弘化碧	[[12, 15]]
陈室何曾扫，陶琴不要弦。	1	陈蕃室	[[0, 2]]
雀屏射目夸连中，不劳丝幕更牵红。	1	锦屏射雀	[[0, 4]]
今夜觅，梦池秀句;明月动，探花芳绪。	1	梦惠连	[[4, 8]]
你便能勾片言折狱，一语兴邦，不肯去兰省一朝登北阙，便想这茅庐三顾到南阳。	1	三顾茅庐	[[28, 32]]
周访器兼文武，任在折冲，戡定湘、罗，克清江、汉，谋孙翼子，杖节拥旄，西蜀仰其威风，中兴推为名将，功成名立，不亦美乎！	1	折冲樽俎	[[9, 10]]
多谢吹藜翁，《七略》今有归。	1	青藜照阁	[[2, 5]]
便做医经獭髓，弦觅鸾胶，怎济得鄂被炉烟冷？	1	鄂君被	[[15, 16]]
梅福佯狂名字改，子山流落鬓毛侵。	1	吴市隐	[[0, 4]]
骑驴导从两黥挟，罗爵门庭几客来。	1	门可罗雀	[[8, 12]]
何意凶臣郭图，妄画蛇足，曲辞谄媚，交乱懿亲。	1	画蛇添足	[[8, 11]]
墨子哭于练丝，杨子哭于歧道，盖伤失本，悲离其实也。	2	墨子悲染丝, 墨子悲染丝	[[2, 3], [4, 6]]
自怜成叔夜，谁与荐相如。	1	狗监揄扬	[[8, 10]]
第八十七阴裹详称怪尔曹，舟中敌国笑中刀。	1	笑里藏刀	[[16, 18]]
『大将征南胆气豪，腰悬秋水吕虔刀。	1	吕虔刀	[[13, 15]]
漫以鹓鸱争腐鼠，任教凫乙认归鸿。	1	越凫楚乙	[[10, 11]]
楚歌四面，战旗一片，岁岁江东。	1	四面楚歌	[[0, 4]]
’始皇既坑儒焚典，乃发孔子墓，欲取经传，圹既启，悉如谣者之言。	1	焚书坑儒	[[4, 5]]
泣连三献玉，疮惧再伤弓。	1	和氏之璧	[[2, 5]]
试寻黄屋左纛旧霸业，《阴符》发箧温韬钤。	2	悬梁刺股, 悬梁刺股	[[11, 13], [14, 16]]
韩凭恨魄如长在，青骨香销亦见寻。	1	相思树	[[0, 4]]
梁庾肩吾赠周处士诗曰：九丹开石室，三径没荒林，仙人翻可见，隐士更难寻，篱下黄花菊，丘中白雪琴，方欣松叶酒，自和游山吟。	1	蒋生径	[[17, 18]]
爱人怀树，甘棠且犹勿剪。	1	召公棠	[[2, 4]]
余方喜母旧疴痊，君亦早晚着祖鞭。	1	祖鞭先著	[[12, 15]]
胁从百姓，残忍一方。积恶成殃，擢发难数。	1	擢发难数	[[15, 19]]
今日还珠守，何年执戟郎?	1	合浦珠还	[[2, 5]]
愿因骑鲸李，追此御风列。丈夫贵出世，功名岂人杰?	1	列子御风	[[8, 11]]
临岐苦勉三馀学，痛饮难为十日留。	1	平原十日饮	[[12, 15]]
因为周急，愚兄故斗胆而来；今贤妹出此言语，?！	1	胆大如斗	[[8, 9]]
疑觞王母池，误攀织女津。	1	牛郎织女	[[8, 11]]
妙识屠龙之道，深体亨鲜之术。	1	烹小鲜	[[9, 11]]
君独一麾去，欲赓五袴歌。	1	歌五袴	[[8, 11]]
多君一片活人心，三绝韦编字字金。	1	韦编三绝	[[8, 11]]
望夷宫中鹿为马，秦人半死长城下。	1	指鹿为马	[[4, 7]]
任公蹲海滨，一钓饱千里。	1	钓东海	[[6, 11]]
暂脱锦袍悬翠壁，忽抽彤管拂青缃。	1	青箱传学	[[13, 14]]
嗟乎!时运不济，命途多舛，冯唐易老，李广难封。	1	冯唐易老	[[13, 17]]
身似庞公不入城，东阡南陌饯余生。	1	鹿门采药	[[2, 7]]
一杯归诵此，万事邯郸枕。	1	黄粱梦	[[8, 11]]
舞席纷何就，歌梁俨未倾。	1	馀音绕梁	[[6, 8]]
若赤松之游，五湖之泛，是以功名自足；彭泽琴书，孤山梅鹤，是以道德自足者也。	1	范蠡扁舟	[[6, 7]]
南渡江山气不雄，钱塘苏小可怜虫。	1	苏小小	[[10, 12]]
予以薄劣，缪见赏，临别赠予诗云：“末班匏系亦何心，独有骊歌别恨深。	1	歌骊驹	[[27, 28]]
炀帝好大喜功，每事自恃有才，及至征蛮草诏，便觉江郎才掩。	1	江淹梦笔	[[23, 27]]
余于国朝前辈名家，亦偶窥一斑，聊附于此，以当鼓腹。	1	击壤歌	[[22, 23]]
雁影参差入瑞烟，荆花烂熳开仙圃。我闻大中咸通真令主，相惟大杜兼小杜。	1	田家荆合	[[8, 12]]
喜旋坤转乾，旋坤转乾，牛放桃林，马息华山。	1	归马放牛	[[11, 15]]
苍狗浮云，平日惯开青眼。	1	白衣苍狗	[[0, 4]]
风流人不见，锦绣夜间行。	2	衣绣夜行, 衣绣夜行	[[6, 8], [-1, 1]]
当时早化剑双飞，四面楚歌那慷慨。	1	四面楚歌	[[8, 12]]
曳履朝堂傍晚回，竹梢压地鹤毰毸。	1	郑履	[[0, 4]]
几分汉廷竹，夙拥文侯篲。	1	分虎竹	[[1, 5]]
惟当过渡时代，则如鲲鹏图南，九万里而一息，江汉赴海，百千折以朝宗。	1	鲲鹏展翅	[[9, 13]]
蟾宫须展志，渔艇莫牵心。	2	蟾宫折桂, 蟾宫折桂	[[0, 2], [3, 5]]
《柏舟》两髦犹可仪，陶婴《黄鹄》曾双飞。	1	柏舟2	[[1, 2]]
《二郎搜山卷》，吾乡豸史吴公家物，失去五十年，今其裔孙醴泉子，复于参知李公家得之。青毡再见，宝剑重合，真奇事也。	1	丰城剑气	[[46, 50]]
自秋已来，勿尔婴疹，坐朝既阙，逾旬未瘳。六疾斯侵，万机多旷，医和无验，以致弥留。	1	上医医国	[[30, 32]]
