sentence	variation_number	allusion	allusion_index
怪莺儿乱啼，惊蝶梦初回，正春风草满谢家池。	1	梦惠连	[[17, 20]]
无成来往过，折尽谢亭松。	1	谢亭	[[8, 9]]
又别王谦诗曰：严光不遂世，流转任飞蓬，欲还天台岭，不狎甘泉宫，离歌玉弦绝，别酒金卮空，傥遗故人念，仆在东山东。	1	飞蓬	[[16, 17]]
论盲从西医之害国医界中有一股投机份子，眼见这个年头，西医十分时髦，十分神气，大为社会所重视，不免因羡生慕，不惜降志辱身，做起效颦的东施来，他那种做作，攒眉蹙额。	1	东施效颦	[[62, 63]]
虽知尊仲景矣，亦未尝不欲效之也，徒以捧心效西施尔。	1	东施效颦	[[18, 19]]
雄按：此释甚明白，何以第二章释为因地制宜？而讥他人效颦也。湿遏热伏，必先用辛开苦降以泄其湿，湿开热透，故防舌干，再用苦辛甘凉从里而透于外，则胃气化而津液输布，舌即变润，自能作汗，而热邪亦可随汗而解。	1	东施效颦	[[25, 26]]
里，挟风，挟湿，挟热，挟寒，挟虚，明着经络，堤防传变，大概发明滞下证治，元为切要，有行血则便自安，调气则后重自除，此实盲者之日月，聋者之雷霆也，无或曰：局方治法，将终不能彷佛仲景之方耶，予曰：圆机活法，内经具举，与经意合者，仲景之书也，仲景因病以制方，局方制药以俟病，若之何，其能彷佛也，宋命近臣，雠校方书，彼近臣者，术业素异，居养不同，焉知为医之事哉，虽然知尊仲景矣，亦未尝不欲效之也，徒以捧心效西施尔，观桃花丸一方可见矣，即要略桃花汤也。	1	东施效颦	[[196, 197]]
嚬眉之忧，不得所欢，长思忧叹。	1	东施效颦	[[0, 1]]
在他人，欲不论星辰，是不知有下学工夫，而遽欲躐等上达，正所谓欲以效颦，适增其丑。	1	东施效颦	[[32, 33]]
余曰：此乃占地穴之形势耳，非关吉凶祸福，余笑前贤以一卦而断父子弟兄妻财官禄，余岂效颦耶。	1	东施效颦	[[40, 41]]
近见东垣、丹溪之书大行，世医见其不用古方也，率皆效颦治病，辄自制方。	1	东施效颦	[[24, 25]]
一会出来，秋华堂坐席，李夫人首座，问起凤来仪酒令，秋痕一一告诉。三位太太都十分赞赏。李夫人道：‘我们何不做个东家效颦。’	1	东施效颦	[[54, 57]]
姑女告吏验治，孝妇自诬服狱，具上府，于公争之，不能得，竟论杀孝妇，郡中枯旱三年。	1	东海孝妇	[[29, 31]]
惊心赤地三年旱，慰眼黄云八月天。	1	东海孝妇	[[4, 6]]
北燕漫说邹生哭，东海谁明孝妇冤？	2	东海孝妇, 邹生哭	[[12, 14], [4, 6]]
<巨仁>愤怨，书于狱壁曰：<于公>恸哭三年旱，<邹衍>含悲五月霜。	1	东海孝妇	[[19, 21]]
微风敢喜北窗卧，大旱恐非东海冤。	2	东海孝妇, 北窗高卧	[[12, 14], [4, 6]]
又问：「如杀孝妇，天为之旱，如何？	1	东海孝妇	[[5, 7]]
民谣有云：东海杀孝妇，大旱三年。	1	东海孝妇	[[7, 9]]
人言杀尔三年旱，应是巢成更不忧。	1	东海孝妇	[[4, 6]]
昔者东海枉杀孝妇，旱者久之，一吏不明，匹妇非命，则天为之旱，以昭其冤。	1	东海孝妇	[[5, 7]]
古时东海辟孝妇，草木枯瘁连三冬。	1	东海孝妇	[[4, 6]]
劳神空觅三年艾，妄想休乘八月槎。	2	三年艾, 求艾	[[4, 6], [4, 7]]
时乎东篱之下，菊可采也，千古南山，悠悠见之，何高风隐德，举世不见元亮？	1	东篱菊	[[2, 3]]
采菊篱边，种瓜圃内，都只到邙山一土丘，惺惺汉，皮囊扯破。	1	东篱菊	[[0, 1]]
九日雨中重阳风雨里，此际忆陶渊，篱菊采盈把，白衣酒自添，孟嘉曾落帽，桓景佩萸鲜，时节无空过，烹茗胜绮筵。	5	东篱菊, 孟嘉落帽, 孟嘉落帽, 重九登高, 重九登高	[[16, 17], [28, 29], [31, 32], [34, 35], [36, 37]]
相将菌阁卧青溪，且用藤杯泛黄菊。	1	东篱菊	[[13, 14]]
潇洒东篱，浑学汉宫妆。	1	汉宫娇额	[[7, 9]]
尝戴布帽，曳长领袍，履穿踵决，拂袖蹁跹行。	1	东郭履	[[10, 11]]
所言实者，内解备故，行无缺故，衣弊履穿，谦光晦迹，外若不肖，名大丈夫。	1	东郭履	[[17, 18]]
雪中东郭履，堂上老莱衣。	2	东郭履, 老莱娱亲	[[2, 4], [8, 10]]
从今借书数还往，不惜踏穿东郭履。	1	东郭履	[[12, 14]]
惠虚自此慕道，好丹石，虽衣弊履穿，不以为陋。	1	东郭履	[[14, 15]]
隐居山林，衣弊履穿，以为冠，莫测其名。	1	东郭履	[[7, 8]]
同一衣服，群从丽都而孤子垢敝褴褛，或且裋褐不完，肘见履穿矣。	1	东郭履	[[26, 27]]
卧病表安自愁绝，履穿谁与问先生。	1	东郭履	[[8, 9]]
履穿羞路雪，盖敝怯京埃。	1	东郭履	[[0, 1]]
忽有一行脚僧，自大理府鸡足山来，衣敝履穿，面目&lt；皮干&gt；&lt；黑每&gt；，言语不伦，若有狂易之疾。	1	东郭履	[[18, 19]]
履穿谁复问，新进竞青緺。	1	东郭履	[[0, 1]]
履穿袍敝突不墨，辞币与粟甘清贫。	1	东郭履	[[0, 1]]
士有道德不能行，惫也；衣弊履穿，贫也，非惫也。	1	东郭履	[[13, 14]]
自笑东郭履，侧惭狐白温。	2	东郭履, 一狐之腋	[[2, 4], [8, 10]]
若不扬州何逊宅，定是西湖处士家。	1	东阁官梅	[[2, 5]]
送何研孙同年省亲扬州官梅诗兴动扬州，巢父东游悔掉头！	1	东阁官梅	[[10, 13]]
若非扬州何逊宅，定是西湖处士家。	1	东阁官梅	[[2, 5]]
卷226_33杜甫东阁官梅动诗兴，还如何逊在扬州。	1	东阁官梅	[[9, 12]]
老杜诗：东阁官梅动诗兴，还如何逊在扬州。	1	东阁官梅	[[4, 7]]
同严公子大用东园赏梅东阁官梅要洗妆，青云公子不相忘。	1	东阁官梅	[[10, 13]]
卷十六老杜诗云：“东阁官梅动诗兴，还如何逊在扬州。	1	东阁官梅	[[9, 12]]
寂寥聊似，扬州何逊，不为江梅。	1	东阁官梅	[[5, 8]]
便唤取何郎，一尊同醉，东阁官梅。	1	东阁官梅	[[11, 14]]
正是：何逊梅花知在否，仲舒礼药竟安归。	1	东阁官梅	[[3, 6]]
老杜《桃竹杖引》云：“江心蟠（《历代诗话》本作卷十六老杜诗云：“东阁官梅动诗兴，还如何逊在扬州。	1	东阁官梅	[[32, 35]]
扬州何逊在，政用小诗催。	1	东阁官梅	[[0, 3]]
扬州好花非不多，奈尔绝品无双何，水沈香渍素玉蘂，琉璃滑叶青瑶柯，东风二月花时节，二十四桥香浸月，小山丛桂避芳尘，东阁官梅褪残雪，向来名士多品题，括香御史今亦知，何日移春献天子，不负此花天下奇。	1	东阁官梅	[[56, 59]]
当年东阁诗兴，夫岂吾欺。	1	东阁官梅	[[2, 5]]
《和裴迪登蜀州东亭送客逢早梅相忆见寄》杜甫东阁官梅动诗兴，（起句即拗，今俗云必拗第三字方可，误也。	1	东阁官梅	[[21, 24]]
自去何郎无好咏，东风愁寂几回开？	1	东阁官梅	[[2, 3]]
陋彼孤山翁，徒夸疎影横，官梅与野梅，固难一例评。	1	东阁官梅	[[12, 13]]
惟江阴缪氏《云自在龛丛书》，多补刻故书阙文，亦单刻宋元旧本，虽平津馆、士礼居不能过之。	1	东阁招贤	[[31, 33]]
至八月，澄使弟子十人斋于别室，澄时暂入东阁。	1	东阁招贤	[[19, 20]]
何到任后，卒于官，黄挽以联云：「清慎勤万口成碑，即今宦橐萧然，剩有西台留谏草；诗书画一朝绝笔，令我征帆到此，不填东阁吊官梅。	2	东阁官梅, 东阁官梅	[[56, 57], [59, 60]]
归平津之馆，时闻枥马之嘶；舍广城之传，裁见诸侯之客。	2	东阁招贤, 老骥伏枥	[[1, 2], [8, 9]]
君不见，邵平东陵时，何若瓜田心自如。	1	东陵瓜	[[6, 7]]
梦里曾作南柯守，少时元是东陵侯。	2	东陵瓜, 南柯梦	[[12, 14], [4, 5]]
一泓秋水泛蒹葭，最赏心安枣邵瓜。	2	东陵瓜, 枣大如瓜	[[13, 14], [11, 12]]
游平圃以长望兮，乘修水之华旗。	0		[]
及秦氏灭学，其道浸微。	1	焚书坑儒	[[1, 5]]
隋江总让吏部尚书表曰：窃以汉置五曹，方今六尚，魏隆八凯，拟古六卿，延喻喉舌，远膺枢斗，至如东京许郭，西晋裴王，仰首伸眉，可得论列此矣，但臣门基世绪，晋宋已来，内侍帷扆，入尸衡尺，或年甫将立，或岁未强仕，是以退思弱冠，追伤畴昔，早尘华位，见知名辈，常谓忝窃，匪朝伊夕，岂期梁室多故，有志无时，平生意气，飒尔零落，特由邀奉嘉运，千载一时，惟奋宠灵，遂臻于此。	1	匪朝伊夕	[[128, 131]]
当时才子，竞著黄衫；命世清流，为牵红线。	1	丝幕牵红	[[16, 18]]
耕云曰：‘古人有射屏、牵丝、设席等事，皆所以择婿也。’	1	丝幕牵红	[[11, 13]]
屏间孔雀人难中，幕里红丝谁敢牵。	2	丝幕牵红, 锦屏射雀	[[8, 14], [0, 4]]
两处红丝千里系，一条黑路六人忙。	2	丝幕牵红, 月下老人	[[2, 6], [2, 6]]
哥哥心狠毒嫂嫂不仁，暗使机谋苦逼我再招夫，闪得我一似丧家狗。	1	丧家之狗	[[26, 28]]
陆游贫居即事意绪丧家狗，形骸槁木枝。	1	丧家之狗	[[8, 10]]
及其失事也，嗒焉丧志，皇皇然如丧家之犬。	1	丧家之狗	[[15, 18]]
收去干之魂，虽知甚幸；若丧家之犬，私窃自怜。	1	丧家之狗	[[12, 15]]
夫诸侯有暂垒以遏寇，有甲兵以御侮，而小白犹能为辞其耻，而终为霸主以救之，矧夫子累然若丧家之狗，无堑垒，无甲兵，脱载为宋卫所暴，匡季陵劫，则由也不得施。	1	丧家之狗	[[42, 45]]
仲尼以丧家之狗，公旦类朴斲之材，咎繇面如蒙箕，伊尹形若槁骸。	1	丧家之狗	[[3, 6]]
循墙如丧狗，俯颈似饥鸢。	1	丧家之狗	[[3, 4]]
又意绪丧家狗，形骸槁木枝。	1	丧家之狗	[[3, 5]]
与韩国人李容机笔谈有感而作累若丧家犬，飘蓬一李生！	1	丧家之狗	[[15, 17]]
独自冒雨归，茫茫丧家狗。	1	丧家之狗	[[8, 10]]
向为鸳班贵客、今为鹄形丧狗，哀苦万状，生不如死矣。	1	丧家之狗	[[11, 12]]
归妹失时无友，覆家出走，何如丧狗。	1	丧家之狗	[[14, 15]]
公既丧明，而责知随州，寻窜永州，答子厚必欲置之死地。	1	丧明之痛	[[2, 3]]
上军王嗣位之后，其母丧明。	0		[]
已经有许多人知道他遭了‘丧明之痛’。	1	丧明之痛	[[12, 15]]
一子令珍，早亡，朝夕温清者四女。公慨然有丧明之痛。	1	晨昏定省	[[10, 11]]
归妹之大有）既济逐鹿南山，知我入门。	0		[]
只今汉上烽烟满，慷慨中流忆祖生。	1	中流击楫	[[8, 11]]
长江涨绿冯夷舞，击楫东来亲一鼓。	1	中流击楫	[[8, 9]]
千年销尽英雄气，留与吾侪击楫吟。	1	中流击楫	[[12, 13]]
壮志渡江叻击楫，老怀寻壑愿巾车。	1	中流击楫	[[5, 6]]
虚期万里风，徒愧中流楫。	2	中流击楫, 乘风破浪	[[8, 10], [2, 4]]
玉帐分兵赋采薇，梅华吹雪上戎衣。将军意气中流楫。丞相功名采石矶。	1	中流击楫	[[20, 22]]
已从击楫悲荒垒，更想沉舟听鼓鼙。	1	中流击楫	[[2, 4]]
晋庾阐闲居赋曰：于是宅邻京郊，宇接华郭，聿来忘怀，兹焉是讬，鸟栖庭林，燕巢子幕，既乃青阳结荫，木瑾开荣，森条霜重，绿叶云倾，阴兴则暑退，风来则气清，前临塘中，眇目长洲，晨渠吐溜，归潮夕流，顾有崇台高观，凌虚远游，若夫左瞻天宫，右盻西岳，甍飞彤素，岭敷翠绿，朝霞时清，沧浪靡浊，黄绮絜其云栖，渔父欣其濯足，至于体散玄风，神陶妙象，静因虚来，动率化往，萧然忘览，豁尔遗想，荣悴靡期，孰测幽朗，故细无形骸之狭，巨非天地之广，音兴于万韵，理绝乎一响。	2	沧浪濯缨, 沧浪濯缨	[[145, 146], [149, 150]]
失令岂能埋剑戟，得时方可用镃基；漫夸印旺兼多合，不遇刑冲总不宜。	3	丰城剑气, 虽有镃基。不如待时, 虽有镃基。不如待时	[[4, 5], [9, 9], [13, 14]]
与太乙并称，则阿衡指玉衡，服箱指牵牛，言太乙居中御斗牛以行也。	0		[]
沧海骊珠能几见，酆城龙劒不终藏。	1	探骊得珠	[[0, 3]]
年事推兄忝，人才觉弟优。经过辨酆剑，意气逐吴钩。	1	丰城剑气	[[15, 16]]
空讽平津好珠玉，不知更得及门么？	1	东阁招贤	[[2, 3]]
政拙催科，自占阳城之考；奸容狱市，敢师齐相之言。	4	阳城拙, 阳城拙, 曹参为相, 曹参为相	[[0, 1], [7, 10], [12, 15], [19, 22]]
雅好辞赋，允登高之才；藉章隶书，均临池之敏。	1	临池学书	[[17, 18]]
墨池涌出金泉格食神生是。墨池涌出金泉水，辛巳生逢癸巳傍，灿烂文章如锦绣，高攀仙桂紫薇郎。	2	临池学书, 蟾宫折桂	[[0, 1], [38, 39]]
作此法不能依样葫芦，拘泥成法，必须多游名山，留心生石，胸中先有会趣，庶免临池窒笔。	1	依样画葫芦	[[5, 8]]
神采奕然，传流有绪，岂非墨池奇遘耶。	1	临池学书	[[12, 13]]
工诗赋，善古文词，临池得二王神理，该博古今典籍，百家诸子，靡不淹贯。	1	临池学书	[[9, 10]]
阿纲学书蚓满幅，阿绘学语莺啭木。	1	春蚓秋蛇	[[2, 6]]
又答陈思王曹植书曰：信到，奉所惠贶，发函伸纸，是何文采之巨丽，而慰喻之绸缪乎，夫登东岳者，然后知众山之迤逦也，奉至尊，然后知百里之卑微也，身贱犬马，德轻鸿毛，至乃历玄关，排金门，升玉堂，伏棂槛于前殿，临曲池而行觞，既威仪亏替，言辞漏泄，虽恃平原养士之懿，愧无毛遂耀颖之才，深蒙薛公折节之礼，而无冯谖三窟之效，屡获信陵虚左之德。	4	兰亭会, 毛遂自荐, 狡兔三窟, 信陵虚左	[[100, 105], [131, 134], [147, 150], [156, 159]]
舂鉏貌闲暇，羡鱼情至骨。	1	临河羡鱼	[[6, 7]]
见弹曾求炙，临川复羡鱼。	1	临河羡鱼	[[9, 10]]
不逐浮云不羡鱼，杏花茅屋向阳居。	1	临河羡鱼	[[5, 6]]
不羡鱼虾利，惟寻鸥鹭盟。	1	鸥鹭忘机	[[8, 10]]
人皆退而结网，我独临渊羡鱼；合全局而统计熟筹，臣又有不能不皇然改图、翻然决计者。	1	临河羡鱼	[[9, 12]]
谁欤羡鱼者，独自钓寒烟。	1	临河羡鱼	[[2, 3]]
是以川上不归，皆顾羡鱼之网。	1	临河羡鱼	[[9, 12]]
结网羡鱼容可及，覆巢完卵敢多求！	2	临河羡鱼, 巢倾卵破	[[2, 3], [8, 11]]
羡鱼虽迹似，匪钓却心闲。	1	临河羡鱼	[[0, 1]]
孰云垂钓叟，徒是羡鱼情。	1	临河羡鱼	[[8, 9]]
力挽狂澜吾辈事，区区田舍犹轻，思将恨海总填平；临流踯躅，岂是羡鱼情。	1	临河羡鱼	[[30, 31]]
聊学抽毫而进牍，岂追羡鱼以临川。	1	临河羡鱼	[[10, 11]]
霎时间石火冰寒，早办个凤想仙缘。休等待临渊结网，只落得月缺花残。	1	临河羡鱼	[[19, 22]]
临川感流以叹逝兮，登山怀远而悼近。	1	逝川	[[5, 7]]
梁沈约为临川王九日侍太子宴诗曰：凉风比起，高雁南翻，叶浮楚水，草折梁园，凄清霜野，惆怅晨鹍，云轻寒树，日丽秋原，三金广设，六羽高陈，寒英始献，凉酎初醇，靡靡神襟，锵锵群彦，思媚储猷，洽和奉宴，恩畅兰席，欢同桂殿，景遽乐推，临风以眷，丽景天枝，位非德举，任伍辰阶，祚均河楚，负岳未胜，瞻云难侣，望古兴惕，心焉载伫。	2	梁园赋雪, 白云亲舍	[[33, 34], [141, 142]]
羡鱼犹未已，临水欲垂钩。	1	临河羡鱼	[[0, 1]]
所以早登甲第，一生有吉无凶，仕至观察，后退归优游林下，生六子皆登科第，夫妇齐眉，寿越八旬。	1	举案齐眉	[[37, 38]]
论吉凶格返首乘龙之婿，跌穴百两之娘，虎狂龙走男女相伤，天遁人遁齐眉孟光，三诈五假过舍填房，得使而鸾妆耀日，守户而女男掌纲，蛇妖而妇女激聒，投江而媒妁不良，伏干飞干多应刚悍，伏宫飞宫彼此狼当，大格小格鳏寡孤独，刑格悖格男女暴强，岁月格而公姑不利，时日格而夫妻不长，入荧入白各怀私意，不遇兮有变，刑击兮性狂，入墓罗网定受屈，返伏门迫恐招殃，男女年命乘生合，白发儿孙满画堂。	2	举案齐眉, 乘龙快婿	[[31, 32], [6, 9]]
相生相合，必然偕老齐眉；相克相冲，决定终朝反目。	1	举案齐眉	[[9, 10]]
应带勾陈兼值福，盂德耀复产于斯时；（勾陈主黑丑，子孙主贤淑，故应爻旺相临之而无损伤者，其妻必如孟光，貌虽不扬而其德则美也。	1	举案齐眉	[[9, 10]]
既荐巫山枕，又奉齐眉食。	2	巫山云雨, 举案齐眉	[[2, 4], [7, 11]]
凡六十以上齐眉命妇，均得邀彩缎珍品之赐。	1	举案齐眉	[[5, 6]]
小娟直与院判齐眉而终。	1	举案齐眉	[[6, 7]]
一挥斵鼻斤，便举齐眉案。	1	郢将挥斤	[[2, 4]]
魏陈王曹植与吴质书曰：前日虽因常调，得为密坐，虽宴饮弥日，其于别远会稀，不尽其劳积也，若夫觞酌凌波于前，笳箫发音于后，足下鹰扬其体，凤翔虎视，谓萧曹不足俦，卫霍不足侔也，左顾右盻，谓若无人，岂若吾子之壮志哉，过屠门而大嚼，虽不得肉，贵且快意，当斯之时，原举太山以为肉，齐东海以为酒，伐云梦之竹以为笛，斩泗滨之梓以为筝，食若填巨壑，饮若灌漏卮，其乐固难量，岂非大丈夫之乐哉，然日岁不我与，曜灵急节，面有逸景之速，别有参商之阔，思抑六龙之首，顿羲和之辔，折若木之华，闭蒙汜之谷，天路高邈，良无由缘。	1	洛神	[[47, 48]]
嗷嗷晨乌，其子反哺，我岂不如，郁其谁诉？	1	乌哺	[[7, 8]]
慈乌返哺犹怀感，鸿雁才飞便着行。	1	乌哺	[[0, 1]]
附斗母天尊肥亲丸方世上只有肥儿丸，并无肥亲丸，揆之乌鸟反哺之，私可以，人而不如鸟乎。	1	乌哺	[[25, 26]]
嗷嗷林乌，受哺于子。	2	乌哺, 乌哺	[[0, 3], [5, 9]]
诗曰：南国行周化，稽山秘夏图，百王岂殊轨，千载协前谋，肆觐遵时豫，顺动悦来苏，安流进玉舳，戒道翼金吾，龙旗焕辰象，凤吹溢川涂，封唐昔敷锡，分陕被荆吴，沐道咸知让，慕义久成都，冬律初飞管，阳乌正衔芦，严飚肃林薄，暖景澹江湖，鸿私浃幽远，厚泽润凋枯，虞琴起歌咏，汉筑动巴歈，多幸霑行苇，无庸类散樗。	2	衔芦, 舜弦	[[93, 97], [123, 124]]
反哺日未足，非是惜微躬。	1	乌哺	[[0, 1]]
应为嗷嗷鸟反哺，真成落落蛇安足。	2	乌哺, 画蛇添足	[[5, 6], [12, 14]]
乌程有高树，逾百尺，旁无附枝，上有鹤巢，民欲取之，不可上，乃伐其根；鹤恐杀其子，自拔氅毛投于地，时人或称以为瑞，曰：“天子造羽仪，鸟兽自献羽毛。”	1	鸿渐	[[62, 63]]
声中如告诉，未尽反哺心。	1	乌哺	[[8, 9]]
世言荆轲，其称太子丹之命，‘天雨粟，马生角’也，太过。	2	天粟马角, 天粟马角	[[14, 16], [18, 20]]
白马故人，青鸟送往。	1	范张鸡黍	[[0, 3]]
男女既及冠笄，尚犹中门未出，家之僮仆并未少识乌衣，而红颜者更无论已。	1	乌衣门第	[[22, 23]]
其兄病，有乌衣人令杀之，向其请乞，终不下手。	1	乌衣门第	[[5, 6]]
户复开，一人有八尺许，乌衣帽，持杖坐床下，与之熟相视，吐舌至膝。	1	乌衣门第	[[11, 12]]
《齐书》曰：王僧处迁御史中丞，甲族由来多不居宪职，王氏分枝居乌衣者位宦微减。	1	乌衣门第	[[30, 31]]
乌衣门巷，百两迎归；龙藻文章，三星并咏。	1	乌衣门第	[[0, 1]]
王谢居址刘禹锡诗：「朱雀桥边野草花，乌衣巷口夕阳斜。	1	乌衣门第	[[18, 20]]
少年不学稼，朝出乌衣巷，暮饮青楼下。	1	乌衣门第	[[8, 10]]
其风流蕴藉，真有王谢家风气，若斯人之徒，顾岂易得哉！	1	乌衣门第	[[8, 10]]
乌衣垂盼：郗选述其从弟用宾，尝谕予只有两地可以相处，遇则弭笔承明；否则碧山紫府点校青瑶矣。	1	乌衣门第	[[0, 1]]
骓马乌衣如北斗，黑旗玄武队前行，贼将势摧倾。	1	北斗	[[5, 6]]
鹿尾漱拂是王谢家许，汝不须捉此。	2	乌衣门第, 鹿尾清谈	[[5, 7], [0, 3]]
颜真卿之笔，凛然如社稷臣；虞世南之笔，卓乎如廊庙之器；以至王僧虔之字若王谢家子弟：是岂独由外人之学？	1	乌衣门第	[[35, 37]]
潘郎寓直生秋兴，韩子长歌忆短檠，惊鹊绕枝巢未稳，幽虫临砌隐馀声。	1	乌鹊南飞	[[16, 17]]
碧梧萧索。正绕南枝鹊。宝瑟尘生，金雁空零落。	1	乌鹊南飞	[[7, 9]]
几时得似宾鸿北归，倒做了乌鹊南飞。	1	乌鹊南飞	[[12, 15]]
玉兔秋毫可数，疏星外、乌鹊南飞。	1	乌鹊南飞	[[11, 14]]
惊鹊绕枝风满幌，寒钟送晓月当楹。	1	乌鹊南飞	[[0, 1]]
繁星入疏树，惊鹊倦秋风。	1	乌鹊南飞	[[6, 7]]
得坎浮槎应有命，投林惊鹊且安枝。	1	乌鹊南飞	[[10, 11]]
谁念江海飘零，不堪回首，惊鹊南枝冷。	1	乌鹊南飞	[[12, 13]]
道人身似南枝鹊，更尽秋宵一再飞。	1	乌鹊南飞	[[4, 6]]
可堪到处，乌惊鹊绕，一寸此时心折。	1	乌鹊南飞	[[6, 7]]
王褒、庾信之徒既覊旅关中，亦当有南枝之思耳。	1	陆凯传情	[[16, 17]]
踟蹰历阳道，乡思满南枝。	1	陆凯传情	[[9, 10]]
愿及南枝谢，早随北雁翩。	1	陆凯传情	[[2, 3]]
越客初投分，南枝得寄栖。	1	陆凯传情	[[6, 7]]
相思试折南枝寄，东阁官梅尚有无。	1	陆凯传情	[[4, 5]]
章台杨柳绿如云，忆折南枝早赠君。	1	陆凯传情	[[10, 11]]
岂为行吟来楚泽，终期结绶到南枝。	1	陆凯传情	[[13, 14]]
你休得要怨波涛，却不道时来自有鹊填桥。	1	乌鹊填桥	[[15, 18]]
岂能无意酬乌鹊，惟与蜘蛛乞巧丝。	1	乞巧	[[12, 13]]
灵鹊填河，犹无定期。	1	乌鹊填桥	[[0, 4]]
鹊灵此夕填桥，支机不畔经纶手。	1	乌鹊填桥	[[0, 5]]
凤凰翼以翳车兮，命乌鹊以筑梁。	1	乌鹊填桥	[[9, 13]]
灵鹊飞秋夕，香车驾暮烟。	1	乌鹊填桥	[[3, 4]]
倥偬搭面，送神女于巫山；仓猝催妆，迎天孙于鹊渡。	2	乌鹊填桥, 巫山云雨	[[21, 22], [5, 10]]
乘桴嗟尼父，把钓思任公。	2	乘桴浮海, 钓思任公	[[0, 1], [6, 10]]
昔公孙氏承藉父兄，世居东裔，拥带燕胡，凭陵险远，讲武游盘，不供职贡，内傲帝命，外通南国，乘桴沧海，交酬货贿，葛越布于朔土，貂马延于吴会；自以控弦十万，奔走之力，信能右折燕、齐，左震扶桑，𫐓轹沙漠，南面称王。	0		[]
闻之国王，蒙召见，问及履历，谦光云系生员，王笑曰：“道不行，乘桴浮于海耶！	1	乘桴浮海	[[30, 31]]
惟杜恕惎闻之，而云：“己得此辈，当乘桴蹈仓海，不能自谐在其间也。	1	乘桴浮海	[[17, 18]]
远海乘桴意，高山伐木情。	1	乘桴浮海	[[2, 3]]
南征问悬榻，东逝想乘桴。	2	乘桴浮海, 陈蕃榻	[[9, 10], [3, 4]]
又云：“裘马清狂锦水滨，最繁华地作闲人。	1	乘肥衣轻	[[4, 5]]
紫鸳等辈难为侣，无题千金买笔亦何妨，裘马沽来亦可狂。	1	乘肥衣轻	[[18, 19]]
仙姑谈休咎，验若合符，来者云蒸霞涌，轩盖裘马，连络不绝。	1	乘肥衣轻	[[20, 21]]
《读百一诗》：家中陈谷换新丝，肥马轻裘富贵时。	1	乘肥衣轻	[[15, 18]]
乘肥衣轻，会酒徒，征丝管，歌舞于倡楼，不复以治生为意。	1	乘肥衣轻	[[0, 3]]
敬伯所乐，将下山乘肥衣轻，听歌玩色，游于京洛，意足然后求达，垂功立事，以荣耀人寰，纵不能憩三山，饮瑶池，骖龙衣霞，歌鸾飞凤，与仙翁为侣，且腰金拖紫，图影凌烟，厕卿大夫之间，何如哉？	3	乘肥衣轻, 三神山, 瑶池	[[8, 11], [45, 46], [49, 50]]
多少长安美公子，翩翩裘马惜芳春。	1	乘肥衣轻	[[10, 11]]
况尔得此身价，不仅宿逋顿清，依然裘马翩翩之佳公子矣。	1	乘肥衣轻	[[16, 17]]
