sentence	author	title	allusion	allusion_index
圣朝思贾谊，应降紫泥书。	李白	送别得书字	长沙谪（贾谊）	[[8, 9, 10]]
圣朝思贾谊，应降紫泥书。	李白	送别得书字	紫泥	[[]]
秋坟鬼唱鲍家诗，恨血千年土中碧。	李贺	秋来	鲍参军（鲍照）	[[4, 5, 6]]
秋坟鬼唱鲍家诗，恨血千年土中碧。	李贺	秋来	苌弘血（苌弘）	[[]]
黄公酒炉处，青眼竹林前。	卢照邻	哭明堂裴主簿	青眼（阮籍）	[[6, 7]]
黄公酒炉处，青眼竹林前。	卢照邻	哭明堂裴主簿	黄公（王戎）	[[0, 1]]
难为子猷志，虚负文君名。	田娥	寄远	文君（卓文君，卓王孙，司马相如）	[[8, 9]]
难为子猷志，虚负文君名。	田娥	寄远	子猷	[[2, 3]]
箫奏秦台里，书开鲁壁中。	宋之问	宴安乐公主宅得空字	吹箫（弄玉，秦穆公，萧史）	[[0, 1, 2, 3]]
箫奏秦台里，书开鲁壁中。	宋之问	宴安乐公主宅得空字	藏书壁（刘馀，孔子）	[[8, 9]]
王事行春外，题诗寄远公。	周繇	送江州薛尚书	远公（释慧远）	[[9, 10]]
为郎从白首，卧病数秋天。	杜甫	历历	冯唐	[[]]
非思鲈鱼脍，且弄五湖船。	李群玉	将之吴越留别坐中文酒诸侣	鲈鱼（张翰）	[[1, 2, 3, 4]]
非思鲈鱼脍，且弄五湖船。	李群玉	将之吴越留别坐中文酒诸侣	五湖心（范蠡，勾践）	[[8, 9, 10]]
避马台中贵，登车岭外遥。	孙逖	送杜侍御赴上都	骢马（桓典）	[[0, 1]]
南图终铩翮，北上遽催辕。	骆宾王	早秋出塞寄东台详正学士	大鹏（庄子）	[[0, 1]]
未成鸿鹄姿，遽顿骅骝趾。	权德舆	哭李晦群崔季文二处士	骅骝	[[8, 9]]
未成鸿鹄姿，遽顿骅骝趾。	权德舆	哭李晦群崔季文二处士	鸿鹄（陈涉）	[[2, 3]]
山路远怀王子晋，诗家长忆谢玄晖。	杜牧	怀紫阁山	谢朓	[[12, 13, 14]]
山路远怀王子晋，诗家长忆谢玄晖。	杜牧	怀紫阁山	子晋（王子乔）	[[4, 5, 6]]
兰桡思无限，为感濯缨歌。	李德裕	春暮思平泉杂咏二十首东溪	沧浪（屈原）	[[8, 9]]
盈手入怀皆不见，阳春曲丽转难酬。	李端	和李舍人直中书对月见寄	白雪（宋玉）	[[8, 9, 10]]
芜漫藏书壁，荒凉悬剑枝。	崔融	哭蒋詹事俨	悬剑（季札，徐君）	[[8, 9]]
芜漫藏书壁，荒凉悬剑枝。	崔融	哭蒋詹事俨	藏书壁（刘馀，孔子）	[[2, 3, 4]]
粉署见飞鵩，玉山猜卧龙。	温庭筠	秘书刘尚书挽歌词二首之一	长沙鵩（贾谊）	[[9, 10]]
粉署见飞鵩，玉山猜卧龙。	温庭筠	秘书刘尚书挽歌词二首之一	卧龙（徐庶，诸葛亮）	[[]]
退鹢已经三十载，登龙曾见一千人。	许棠	献独孤尚书	龙门	[[8, 9]]
退鹢已经三十载，登龙曾见一千人。	许棠	献独孤尚书	鹢路	[[0, 1]]
轻如控鲤初离岸，远似乘槎欲上天。	韦庄	和侯秀才同友生泛舟溪中相招之作	乘槎	[[10, 11]]
轻如控鲤初离岸，远似乘槎欲上天。	韦庄	和侯秀才同友生泛舟溪中相招之作	控鲤（琴高）	[[2, 3]]
忆昔南阳顾草庐，便乘雷电捧乘舆。	李山甫	代孔明哭先主	三顾（刘备，诸葛亮）	[[]]
不堪风雨夜，转枕忆鸿妻。	权德舆	中书夜直寄赠	梁鸿（孟光，梁鸿）	[[9, 10]]
画地终难入，书空自不安。	骆宾王	畴昔篇	书空（殷浩）	[[6, 7]]
莫学嵇康懒，且安原宪贫。	王维	山中示弟	原宪贫（原宪）	[[8, 9, 10]]
莫学嵇康懒，且安原宪贫。	王维	山中示弟	嵇康懒（山涛，嵇康）	[[2, 3, 4]]
鲁圣虚泣鳞，楚狂浪歌凤。	鲍溶	寓兴	楚狂（孔子，楚狂）	[[6, 7]]
鲁圣虚泣鳞，楚狂浪歌凤。	鲍溶	寓兴	获麟（孔子，鲁哀公）	[[9, 10]]
悲作楚地囚，何日秦庭哭。	李白	流夜郎半道承恩放还兼欣克复之美书怀示息秀才	新亭举目（王导）	[[]]
呜呼五歌兮歌正长，魂招不来归故乡。	杜甫	乾元中寓居同谷县作歌七首	魂招（屈原，宋玉）	[[9, 10]]
错简记铅椠，阅书移玉镇。	皎然	奉和颜使君真卿修韵海毕会诸文士东堂重校	怀铅（扬雄）	[[3, 4]]
池边写字师前辈，座右题铭律后生。	高骈	寄鄠杜李遂良处士	临池（张芝）	[[0, 1, 2, 3]]
游吴累夏讲，还与虎溪同。	张蠙	赠可伦上人	虎溪（陶潜，僧慧远）	[[8, 9]]
黄祖不怜鹦鹉客，志公偏赏麒麟儿。	李山甫	赴举别所知	天上麒麟（徐陵）	[[]]
已似王恭披鹤氅，凭栏仍是玉栏干。	王初	望雪	鹤氅	[[5, 6]]
直矜鹦鹉赋，不贵芳桂枝。	钱起	送李四擢第归觐省	桂枝（郤诜）	[[8, 9, 10]]
直矜鹦鹉赋，不贵芳桂枝。	钱起	送李四擢第归觐省	鹦鹉赋	[[2, 3, 4]]
陶潜岂是铜符吏，田凤终为锦帐郎。	韦庄	九江逢卢员外	陶潜	[[0, 1]]
陶潜岂是铜符吏，田凤终为锦帐郎。	韦庄	九江逢卢员外	题柱（田凤）	[[8, 9]]
磻溪有心者，垂白肯湮沦。	杜牧	梁秀才以早春旅次大梁将归郊扉言怀兼别示亦蒙见赠凡二十韵走笔依韵	磻溪（吕尚，周文王）	[[0, 1]]
席上客知蓬岛路，坐中寒有柏台霜。	韦庄	和集贤侯学士分司丁侍御秋日雨霁之作	柏台	[[12, 13]]
席上客知蓬岛路，坐中寒有柏台霜。	韦庄	和集贤侯学士分司丁侍御秋日雨霁之作	蓬山	[[4, 5]]
岂唯垂堂戒，兼以临深惧。	耿湋	发南康夜泊赣石中	履冰	[[8, 9, 10]]
班笔行看掷，黄陂莫漫澄。	元稹	纪怀赠李六户曹崔二十功曹五十韵	投笔（班超）	[[]]
才力似风鹏，谁能算升斗。	李群玉	赠方处士兼以写别	大鹏（庄子）	[[3, 4]]
非熊从渭水，瑞翟想陈仓。	魏知古	从猎渭川献诗	非熊（周文王）	[[0, 1]]
谢朓每篇堪讽诵，冯唐已老听吹嘘。	杜甫	寄岑嘉州	谢朓	[[0, 1]]
谢朓每篇堪讽诵，冯唐已老听吹嘘。	杜甫	寄岑嘉州	冯唐	[[8, 9, 10, 11]]
自洛非才子，游梁得主人。	祖咏	酬汴州李别驾赠	贾谊	[[6, 7]]
自洛非才子，游梁得主人。	祖咏	酬汴州李别驾赠	游梁	[[]]
今宵难作刀州梦，月色江声共一楼。	雍陶	宿嘉陵驿	刀州（王浚）	[[4, 5, 6]]
连手窥潘掾，分头看洛神。	陈嘉言	上元夜效小庾体	洛浦（宓妃，曹植）	[[9, 10]]
连手窥潘掾，分头看洛神。	陈嘉言	上元夜效小庾体	潘郎（潘岳）	[[2, 3, 4]]
不知山吏部，墓作石桥东。	顾况	经徐侍郎墓作	山涛	[[2, 3, 4]]
鲍壶冰皎洁，王佩玉丁东。	李商隐	今月二日不自量度辄以诗一首四十韵干渎尊严伏蒙仁恩俯赐披览奖逾其实	玉壶冰（鲍照）	[[0, 1, 2]]
便欲寻河汉，因之犯斗牛。	李群玉	登蒲涧寺后二岩三首	乘槎	[[8, 9, 10]]
绣衣黄白郎，骑向交河道。	杜甫	送长孙九侍御赴武威判官	绣衣	[[0, 1]]
从来北地誇羊酪，自有纯羹味可人。	韩翃	送客之江宁	千里莼（王济，陆机）	[[4, 5, 6]]
解榻皆五侯，结交尽群英。	岑参	送许子擢第归江宁拜亲因寄王大昌龄	解榻（周璆，徐稚，陈蕃）	[[0, 1]]
解榻皆五侯，结交尽群英。	岑参	送许子擢第归江宁拜亲因寄王大昌龄	五侯	[[3, 4]]
伯伦嗜酒还因乱，平子归田不为穷。	韦庄	将卜兰芷村居留别郡中在仕	刘伶（刘伶）	[[0, 1]]
伯伦嗜酒还因乱，平子归田不为穷。	韦庄	将卜兰芷村居留别郡中在仕	平子赋（张衡）	[[8, 9, 10, 11]]
网已袪三面，歌因守四方。	常衮	奉和圣制麟德殿燕百僚应制	大风歌（刘邦）	[[8, 9, 10]]
网已袪三面，歌因守四方。	常衮	奉和圣制麟德殿燕百僚应制	解网（汤）	[[]]
荆璞献多还得售，桂堂恩在敢轻回。	翁承赞	喜弟承检登科	桂枝（郤诜）	[[0, 1]]
荆璞献多还得售，桂堂恩在敢轻回。	翁承赞	喜弟承检登科	卞和	[[]]
莫奏武溪笛，且登仲宣楼。	李群玉	将之京国赠薛员外	仲宣楼（王粲，刘表）	[[8, 9, 10]]
望尽素车秋草外，欲将身赎返魂香。	窦巩	哭吕衡州八郎中	返魂香	[[12, 13, 14]]
穷途行泣玉，愤路未藏金。	骆宾王	畴昔篇	卞和	[[3, 4]]
三千里外布干戈，果得鲸鲵入网罗。	朱冲和	遗临平监吏	鲸鲵（楚王）	[[10, 11]]
网已袪三面，歌因守四方。	常衮	奉和圣制麟德殿燕百僚应制	大风歌（刘邦）	[[8, 9, 10]]
网已袪三面，歌因守四方。	常衮	奉和圣制麟德殿燕百僚应制	解网（汤）	[[]]
请问汉家功第一，麒麟阁上识酂侯。	杨巨源	元日含元殿下立仗丹凤楼门下宣赦相公称贺二首之二	酂侯（刘邦，萧何）	[[13, 14]]
数奇何以托，桃李自无言。	骆宾王	早秋出塞寄东台详正学士	成蹊（李广）	[[0, 1]]
数奇何以托，桃李自无言。	骆宾王	早秋出塞寄东台详正学士	未封侯（李广）	[[]]
回潮迎伍相，骤雨送湘君。	李端	幽居作	湘妃（唐尧，女英，娥皇，舜，虞舜）	[[9, 10]]
回潮迎伍相，骤雨送湘君。	李端	幽居作	伍员涛（伍员，文种）	[[3, 4]]
挂席樵风便，开轩琴月孤。	孟浩然	寻张五回夜园作	樵风（郑弘）	[[2, 3]]
封缄托双鲤，于焉来远求。	唐彦谦	索虾	双鱼	[[3, 4]]
倚炉便得睡，横瓮足堪眠。	王绩	过酒家五首	瓮间卧（毕卓）	[[]]
老人骖驭往，童子狎雏嬉。	张说	送乔安邑备	长者车（陈平）	[[0, 1, 2, 3, 4]]
老人骖驭往，童子狎雏嬉。	张说	送乔安邑备	鲁恭（刘馀）	[[6, 7, 8, 9]]
时称谢康乐，别事汉平津。	李嘉祐	送王谏议充东都留守判官	平津（公孙弘，薛泽）	[[9, 10]]
时称谢康乐，别事汉平津。	李嘉祐	送王谏议充东都留守判官	康乐（谢灵运）	[[2, 3, 4]]
绿珠犹得石崇怜，飞燕曾经汉皇宠。	骆宾王	绝情代郭氏答卢照邻	绿珠（石崇，绿珠）	[[0, 1]]
绿珠犹得石崇怜，飞燕曾经汉皇宠。	骆宾王	绝情代郭氏答卢照邻	飞燕（赵飞燕）	[[8, 9]]
顾己文章非酷似，敢将幽劣俟洪炉。	卢纶	敬酬大府二十四舅览诗卷因以见示	洪炉	[[13, 14]]
顾己文章非酷似，敢将幽劣俟洪炉。	卢纶	敬酬大府二十四舅览诗卷因以见示	酷似（何无忌，刘牢之，刘裕）	[[5, 6]]
寂寥我对先生柳，赫奕君乘御史骢。	李商隐	喜闻太原同院崔侍御台拜兼寄在台三二同年之什	骢马（桓典）	[[12, 13, 14]]
寂寥我对先生柳，赫奕君乘御史骢。	李商隐	喜闻太原同院崔侍御台拜兼寄在台三二同年之什	五柳（陶潜）	[[4, 5, 6]]
穿针楼上闭秋烟，织女佳期又隔年。	李群玉	秋登涔阳城二首	织女（武丁，牛郎，织女）	[[8, 9]]
五车堆缥帙，三径阖绳枢。	温庭筠	病中书怀呈友人	三径（求仲，羊仲，蒋诩）	[[6, 7]]
五车堆缥帙，三径阖绳枢。	温庭筠	病中书怀呈友人	五车（惠施，庄子）	[[0, 1]]
昔岁曾为萧史伴，今朝应作宋家邻。	方干	赠美人四首之四	吹箫（弄玉，秦穆公，萧史）	[[4, 5, 6]]
昔岁曾为萧史伴，今朝应作宋家邻。	方干	赠美人四首之四	宋玉墙（司马相如，宋玉）	[[12, 13, 14]]
再入龙楼称绮季，应缘狗监说相如。	刘禹锡	酬宣州崔大夫见寄	紫芝（刘邦，夏黄公，东园公，甪里先生，绮里季，四皓）	[[5, 6]]
再入龙楼称绮季，应缘狗监说相如。	刘禹锡	酬宣州崔大夫见寄	献赋（刘彻，司马相如，扬雄，杨得意）	[[10, 11, 12, 13, 14]]
解佩空怜郑交甫，吹箫不逐许飞琼。	李康成	玉华仙子歌	飞琼（西王母，许飞琼）	[[12, 13, 14]]
不应同逐鹿，讵肯比从禽。	张正元	临川羡鱼	逐鹿（蒯通）	[[3, 4]]
凤雏终食竹，鹤侣暂巢松。	李端	奉和秘书元丞杪秋忆终南旧居	凤雏	[[0, 1]]
而笑独醒者，临流多苦辛。	李颀	渔父歌	独醒（屈原）	[[2, 3]]
杨宫先上赋，柏殿几连诗。	张说	李工部挽歌三首	柏梁	[[6, 7]]
卧多共息嵇康病，才劣虚同郭隗尊。	秦系	山中枉皇甫温大夫见招书	黄金台（燕昭王，郭隗）	[[12, 13, 14]]
卧多共息嵇康病，才劣虚同郭隗尊。	秦系	山中枉皇甫温大夫见招书	叔夜（嵇康）	[[4, 5]]
时攀小山桂，共挹大王风。	张易之	侍从过公主南宅侍宴探得风字应制	小山（刘安，王逸）	[[2, 3, 4]]
时攀小山桂，共挹大王风。	张易之	侍从过公主南宅侍宴探得风字应制	大王风（宋玉，楚王）	[[8, 9, 10]]
始酌文君酒，新吹弄玉箫。	李百药	少年行	吹箫（弄玉，秦穆公，萧史）	[[8, 9, 10]]
始酌文君酒，新吹弄玉箫。	李百药	少年行	当垆（卓文君，司马相如）	[[2, 3, 4]]
曾参与游夏，达者得升堂。	杜甫	又示宗武	曾参	[[0, 1]]
恶木人皆息，贪泉我独醒。	温庭筠	过孔北海墓二十韵	贪泉（吴隐之）	[[6, 7]]
霄汉惭联步，貂蝉愧并簪。	武元衡	奉酬中书李相公早朝于中书候传点偶书所怀	貂蝉	[[6, 7]]
陶潜岂是铜符吏，田凤终为锦帐郎。	韦庄	九江逢卢员外	陶潜	[[0, 1]]
陶潜岂是铜符吏，田凤终为锦帐郎。	韦庄	九江逢卢员外	题柱（田凤）	[[8, 9]]
莫便五湖为隐沦，年年三十升仙人。	刘商	姑苏怀古送秀才下第归江南	五湖心（范蠡，勾践）	[[]]
季江留被在，子敬与琴亡。	窦蒙	题弟暨述书赋后	琴声断（王徽之）	[[6, 7, 8, 9, 10]]
郑声久乱雅，此道稀能尊。	吴筠	听尹炼师弹琴	郑卫	[[0, 1]]
囧囧抱瑚琏，飞飞联鹡鸰。	韩愈	答张彻	鹡鸰	[[9, 10]]
囧囧抱瑚琏，飞飞联鹡鸰。	韩愈	答张彻	瑚琏（子贡，孔子）	[[3, 4]]
犹喜故人先折桂，自怜羁客尚飘蓬。	温庭筠	春日将欲东归寄新及第苗绅先辈	桂枝（郤诜）	[[5, 6]]
还将今夜意，西海话苏君。	司空曙	夜闻回雁	苏武（刘彻，苏武）	[[9, 10]]
不胜庾信乡关思，遂作陶潜归去吟。	李群玉	请告南归留别同馆	庾信哀（庾信）	[[12, 13, 14]]
不胜庾信乡关思，遂作陶潜归去吟。	李群玉	请告南归留别同馆	归去来（陶潜）	[[]]
据鞍遥指长安路，须刻麟台第一功。	李九龄	代边将	麟阁（丙吉，刘德，刘洵，张安世，杜延年，梁丘贺，萧望之，苏武，赵充国，霍光，韩增，魏相）	[[]]
腹中无一物，高话羲皇年。	储光羲	同王十三维偶然作十首之三	傲羲皇（陶潜，伏羲氏，羲和）	[[]]
朝朝饮酒黄公垆，脱帽露顶争叫呼。	李颀	别梁锽	黄公（王戎）	[[4, 5, 6]]
谢公留赏山公唤，知入笙歌阿那朋。	李郢	上元日寄湖杭二从事	山简	[[0, 1]]
谢公留赏山公唤，知入笙歌阿那朋。	李郢	上元日寄湖杭二从事	谢公（谢安）	[[]]
状瑶台之微月，点巫山之朝云。	陈子昂	彩树歌	阳台（宋玉，楚襄王，瑶姬）	[[1, 2]]
状瑶台之微月，点巫山之朝云。	陈子昂	彩树歌	瑶台	[[]]
尧舜至今万万岁，数子将为倾盖间。	李贺	相劝酒	倾盖（邹阳）	[[12, 13]]
